,한컴위드,A054920,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,32.11,132.74,34.19,35.89,32.17,94.31,45.68,42.53,38.64,86.95,36.14,44.67,33.42,67.16,28.06,39.41,33.02,44.82,31.93,35.62
,영업이익,-1.74,28.04,1.14,-2.35,-4.9,12.68,0.61,2.08,-3.91,10.54,0.21,0.2,-7.23,7.7,-5.17,0.38,-7.66,3.49,-1.1,2.46
,순이익,-5.72,159.44,2.04,0.79,-5.69,5.43,6.37,-1.83,-6.61,4.27,11.45,23.36,-0.59,-37.75,-4.32,-21.12,-5.36,-6.37,7.86,0.18
,영업이익율(%),-5.42,21.12,3.33,-6.55,-15.23,13.45,1.34,4.89,-10.12,12.12,0.58,0.45,-21.63,11.47,-18.42,0.96,-23.2,7.79,-3.45,6.91
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,29.16,48.04,20.13,32.84,42.85,68.07,22.33,24.38,23.61,86.71,21.01,40.49,28.41,65.02,46.21,58.56,63.96,82.78,0,
,영업이익,0.79,2.9,-11.78,-5.79,-3.97,22.48,-12.14,-11.54,-8.07,36.8,-14.18,2.26,-11.22,18.69,-2.81,4.38,13.33,13.01,0,
,순이익,3.79,-12.94,-2.68,3.68,-2.28,14.99,-2.83,-2.4,-2.2,10.24,-18.52,26.69,-6.82,335.52,4.5,26.85,32.21,15.94,0,
,영업이익율(%),2.71,6.04,-58.52,-17.63,-9.26,33.02,-54.37,-47.33,-34.18,42.44,-67.49,5.58,-39.49,28.74,-6.08,7.48,20.84,15.72,0,
