,Unnamed: 0,name,code,class,market_cap,reg_day,per
20,20,쌍용C&E,A003410,kospi,37991,1975-05-03,27.52
10,10,KCC,A002380,kospi,24349,1973-06-25,4.08
1,1,동화기업,A025900,kosdaq,12262,1995-08-07,52.24
21,21,LG하우시스,A108670,kospi,7775,2009-04-20,-11.24
29,29,한일현대시멘트,A006390,kospi,7132,1975-12-26,11.36
