,Unnamed: 0,name,code,class,market_cap,reg_day,per
35,35,POSCO,A005490,kospi,286845,1988-06-10,17.9
48,48,현대제철,A004020,kospi,65055,1987-05-23,-15.13
7,7,동국제강,A001230,kospi,14601,1988-05-09,22.43
18,18,KG동부제철,A016380,kospi,14601,1986-02-03,21.86
8,8,세아베스틸,A001430,kospi,6796,1991-03-12,-2.76
