,Unnamed: 0,name,code,class,market_cap,reg_day,per
12,12,현대글로비스,A086280,kospi,67125,2005-12-26,11.07
14,14,CJ제일제당,A097950,kospi,62550,2007-09-28,9.93
6,6,CJ대한통운,A000120,kospi,40606,1956-07-02,33.01
5,5,한진,A002320,kospi,6084,1974-08-12,70.91
8,8,CJ제일제당 우,A097955,kospi,2529,2007-09-28,4.55
