,Unnamed: 0,name,code,class,market_cap,reg_day,per
15,15,삼성전기,A009150,kospi,145279,1979-02-27,24.99
20,20,LG이노텍,A011070,kospi,50766,2008-07-24,21.5
40,40,일진머티리얼즈,A020150,kospi,33246,2011-03-04,77.78
23,23,고영,A098460,kosdaq,16326,2008-06-03,178.26
69,69,대주전자재료,A078600,kosdaq,6494,2004-12-10,127.49
