,Unnamed: 0,name,code,class,market_cap,reg_day,per
47,47,삼성전자,A005930,kospi,4984768,1975-06-11,21.74
95,95,SK하이닉스,A000660,kospi,1004643,1996-12-26,21.13
32,32,삼성전자우,A005935,kospi,618811,1975-06-11,19.58
85,85,DB하이텍,A000990,kospi,24464,1975-12-12,14.77
96,96,리노공업,A058470,kosdaq,24159,2001-12-18,43.63
