,Unnamed: 0,name,code,class,market_cap,reg_day,per
11,11,한국가스공사,A036460,kospi,30648,1999-12-15,-17.81
1,1,SK가스,A018670,kospi,9646,1997-08-27,3.64
10,10,부산가스,A015350,kospi,6270,1997-06-23,3.5
7,7,대성홀딩스,A016710,kospi,4843,1999-12-22,11.36
4,4,서울가스,A017390,kospi,4580,1995-08-18,3.5
