,Unnamed: 0,name,code,class,market_cap,reg_day,per
2,2,코웨이,A021240,kospi,50331,2001-08-07,12.43
5,5,경동나비엔,A009450,kospi,6966,1993-08-31,15.84
7,7,위닉스,A044340,kosdaq,4218,2000-10-24,9.95
1,1,파세코,A037070,kosdaq,3528,2000-01-04,24.9
3,3,신성델타테크,A065350,kosdaq,2776,2004-08-06,29.36
