,Unnamed: 0,name,code,class,market_cap,reg_day,per
3,3,제일기획,A030000,kospi,25021,1998-03-03,15.9
4,4,SM C&C,A048550,kosdaq,1793,2001-01-18,-12.63
1,1,지투알,A035000,kospi,1012,1999-08-11,11.19
2,2,오리콤,A010470,kosdaq,705,2000-10-24,91.54
