,Unnamed: 0,name,code,class,market_cap,reg_day,per
9,9,하이트진로,A000080,kospi,25213,2009-10-19,29.56
4,4,롯데칠성,A005300,kospi,12072,1973-06-21,-96.28
1,1,네이처셀,A007390,kosdaq,6468,1992-11-30,-34.25
8,8,하이트진로홀딩스,A000140,kospi,3806,1973-09-19,6.02
13,13,풍국주정,A023900,kosdaq,2552,1994-11-23,31.11
