,Unnamed: 0,name,code,class,market_cap,reg_day,per
5,5,SK,A034730,kospi,198064,2009-11-11,105.43
2,2,LG,A003550,kospi,157717,1970-02-13,10.97
11,11,CJ,A001040,kospi,27105,1973-06-29,38.23
3,3,효성,A004800,kospi,18437,1973-06-30,-34.94
6,6,SK네트웍스,A001740,kospi,13849,1977-06-30,40.14
