,Unnamed: 0,name,code,class,market_cap,reg_day,per
42,42,다우기술,A023590,kospi,12765,1997-08-27,4.63
56,56,NHN한국사이버결제,A060250,kosdaq,11555,2002-01-08,41.06
50,50,포스코 ICT,A022100,kosdaq,11099,2000-11-28,128.07
39,39,KG이니시스,A035600,kosdaq,5762,2002-11-22,13.58
10,10,다날,A064260,kosdaq,5633,2004-07-23,32.04
