,Unnamed: 0,name,code,class,market_cap,reg_day,per
98,98,셀트리온제약,A068760,kosdaq,51425,2006-02-03,250.61
10,10,신풍제약,A019170,kospi,48746,1990-01-20,"1,010.99"
23,23,유한양행,A000100,kospi,44993,1962-11-01,23.74
63,63,한미약품,A128940,kospi,40040,2010-07-30,334.85
122,122,녹십자,A006280,kospi,39793,1989-08-01,49.10
