,Unnamed: 0,name,code,class,market_cap,reg_day,per
117,117,현대모비스,A012330,kospi,285801,1989-09-05,18.75
106,106,한온시스템,A018880,kospi,96351,1996-07-31,87.20
120,120,현대위아,A011210,kospi,21076,2011-02-21,34.57
116,116,한국앤컴퍼니,A000240,kospi,16976,1968-12-27,10.02
44,44,에스엘,A005850,kospi,11786,1988-11-08,17.95
