,Unnamed: 0,name,code,class,market_cap,reg_day,per
64,64,휠라홀딩스,A081660,kospi,25972,2010-09-28,18.7
38,38,F&F,A007700,kospi,23716,1984-10-04,27.64
30,30,영원무역,A111770,kospi,17813,2009-07-30,12.06
71,71,한섬,A020000,kospi,10098,1996-07-03,11.87
7,7,한세실업,A105630,kospi,8480,2009-03-20,18.88
