day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,18150,18350,17350,17500,-750,146279,13712,0,0.11,0,0,0,0,0,0,0
20210325,17850,18600,17750,18250,200,224516,13712,2857,0.11,0,18150,18150,18050,18050,-200,2485
20210324,17500,18400,17200,18050,500,352014,10855,5164,0.09,0,18000,18000,17700,17700,-350,4768
20210323,17900,18450,17400,17550,600,566945,5691,-3822,0.05,0,17500,17500,17350,17400,-150,6244
20210322,16500,20550,16250,18150,1800,3171875,9513,-15778,0.08,-1944,18150,18150,17950,17950,-200,21408
20210319,16000,16550,15800,16350,200,66877,25291,277,0.2,0,16350,16500,16350,16500,150,293
20210318,16500,16900,16200,16550,250,84844,25014,2298,0.2,0,16600,16600,16500,16500,-50,200
20210317,16200,16650,16150,16300,0,87837,22716,5781,0.18,0,16350,16350,16300,16300,0,352
20210316,16450,16750,15850,16300,200,100728,16935,-3626,0.14,-15500,16300,16400,16300,16350,50,328
20210315,15850,16750,15550,16100,150,156631,20561,-12586,0.17,-13174,16000,16200,16000,16150,50,2274
20210312,15650,16250,15400,15950,600,108346,33147,25346,0.27,0,16000,16000,15850,15850,-100,1610
20210311,15150,15850,15000,15350,0,91293,7801,1955,0.05,-5700,15350,15350,15300,15350,0,1015
20210310,16400,16600,15300,15350,850,173784,5846,734,0.05,-38228,15350,15350,15200,15250,-100,1179
20210309,17150,17200,15950,16200,700,137359,5112,-24494,0.04,0,16250,16300,16250,16300,100,1524
20210308,16800,17350,16700,16900,350,144696,29606,6344,0.23,0,16900,16900,16750,16800,-100,2039
20210305,16850,17000,16300,16550,600,152038,23262,3856,0.19,0,16550,16600,16550,16550,0,726
20210304,17550,17600,16800,17150,450,122972,19406,12043,0.16,0,17150,17150,17100,17150,0,920
20210303,18200,18350,17450,17600,200,119121,7363,421,0.05,-400,17500,17750,17500,17650,50,1479
20210302,18200,18300,17700,17800,200,107375,6942,-3685,0.05,0,17800,18400,17700,18250,450,4458
20210226,18100,18100,17350,18000,700,232152,10627,6901,0.09,0,18000,18000,17900,18000,0,880
20210225,18950,19250,18700,18700,50,134187,3726,1281,0.02,0,18700,18800,18700,18750,50,1428
