day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,237000,243000,229000,242000,6500,395061,2808810,0,7.88,28865,241500,241500,241500,241500,-500,799
20210325,219000,235500,218500,235500,16500,306749,2808330,17608,7.88,4562,234500,235500,234500,235000,-500,5236
20210324,221000,225500,216000,219000,3000,144804,2790722,10909,7.83,-29102,219000,220000,218500,220000,1000,2076
20210323,232000,234500,220000,222000,8000,182932,2779717,611,7.8,-20775,222000,223000,222000,222500,500,1648
20210322,227500,234500,226500,230000,4000,202809,2779042,1309,7.8,17104,230500,230500,230000,230000,0,1230
20210319,228500,231500,223000,226000,8000,211070,2777733,-20221,7.8,-36215,227000,227500,227000,227500,1500,1226
20210318,232000,235500,230000,234000,3000,255292,2797874,9151,7.85,22096,233500,233500,231000,231000,-3000,4599
20210317,220000,234000,220000,231000,12000,387484,2788563,-2170,7.83,17143,231000,231000,230500,231000,0,2288
20210316,221000,223000,216000,219000,1000,181446,2790653,-19483,7.83,-2586,219000,219000,218500,218500,-500,1700
20210315,220000,226500,214000,218000,10000,355512,2810136,-39886,7.89,-1365,219000,219000,218000,219000,1000,1401
20210312,215000,228500,214500,228000,16500,461596,2850022,16950,8.0,62555,227000,227000,226000,226000,-2000,3937
20210311,194500,213500,193000,211500,18500,446049,2833072,-78272,7.95,68289,211500,212000,211500,212000,500,1238
20210310,203500,204000,192500,193000,7000,215289,2911776,-20513,8.17,-16749,193000,193000,192000,192500,-500,2147
20210309,209500,211000,197000,200000,8000,303435,2932289,-99256,8.23,9783,200000,200000,199000,199000,-1000,2619
20210308,209500,215500,206000,208000,500,283093,3031545,-94421,8.51,40006,209000,209000,207000,207000,-1000,3218
20210305,209500,210000,204500,207500,5500,166537,3125966,-30410,8.77,-12169,207000,207000,206500,207000,-500,1140
20210304,209500,217000,209000,213000,500,235437,3156376,-38879,8.86,-4796,212500,212500,212000,212000,-1000,2615
20210303,210000,214500,208000,212500,5500,726953,3195312,-39509,8.97,5146,212500,212500,212500,212500,0,1663
20210302,213000,216500,206000,207000,500,176498,3234401,-16252,9.08,3517,207000,207000,205000,205000,-2000,3343
20210226,202500,209000,200500,206500,5500,274114,3250653,8207,9.12,-25656,206000,207000,205500,207000,500,4272
20210225,215000,216500,205000,212000,1000,385862,3242026,-23854,9.1,-24360,212500,212500,211000,211500,-500,2803
20210224,234500,239500,210000,211000,17500,572749,3265880,-24949,9.17,-62967,211000,212500,211000,212000,1000,4924
20210223,227500,234500,221000,228500,1500,209046,3290829,-9487,9.24,-2813,229000,230000,229000,230000,1500,3228
20210222,236000,236500,226500,227000,7500,225597,3300112,-16534,9.26,-16177,228000,228000,226000,226000,-1000,2852
20210219,242500,246000,229000,234500,7000,342692,3316646,-45314,9.31,-38186,234500,234500,233500,234000,-500,3180
