day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210323,32500,32750,32100,32200,-400,274686,8291318,29486,8.98,-37243,32200,32250,32200,32250,50,499
20210322,32900,33000,32500,32600,500,234654,8261600,-7658,8.95,-3551,32650,32650,32600,32650,50,470
20210319,32700,33100,32150,33100,150,353208,8265290,-19241,8.95,-51686,32850,32900,32850,32900,-200,1542
20210318,33250,33300,32900,32950,150,257474,8279015,-22118,8.97,-26996,33100,33150,32950,33050,100,2306
20210317,33450,33500,32850,33100,350,233210,8299251,-62804,8.98,-6485,33050,33100,33050,33050,-50,781
20210316,32300,33600,32300,33450,1200,574351,8361765,221049,9.06,143021,33450,33550,33450,33550,100,1339
20210315,32150,32400,31800,32250,150,208978,8140716,-5006,8.82,-10398,32250,32350,32250,32300,50,717
20210312,31950,32300,31950,32100,200,284030,8145722,39491,8.82,-66864,32150,32150,31900,31900,-200,3532
20210311,32100,32350,31800,31900,200,404212,8106231,15428,8.78,-115067,31900,32000,31900,32000,100,1883
20210310,33000,33050,31900,32100,850,395474,8092369,-50064,8.77,-59115,32050,32050,31900,31950,-150,3092
20210309,33050,33300,32300,32950,100,361540,8142433,-50844,8.82,-2950,32900,32900,32800,32850,-100,3373
20210308,33800,33900,32950,33050,350,355070,8193277,-36049,8.88,32250,33050,33050,32900,32900,-150,2951
20210305,33700,34100,33150,33400,0,495105,8229326,-25075,8.91,55174,33450,33450,33400,33400,0,3330
20210304,33900,34250,32950,33400,550,563112,8254370,-115591,8.93,-12374,33400,33450,33400,33450,50,1582
20210303,33300,34350,33300,33950,1250,826625,8370102,115298,9.07,146683,33950,34000,33900,34000,50,3120
20210302,32500,33250,32400,32700,850,479843,8253208,121586,8.93,36258,32700,32750,32700,32700,0,902
20210226,32500,32500,31550,31850,1100,546943,8131622,-28080,8.81,-22996,31800,32000,31800,32000,150,2818
20210225,32950,33200,32750,32950,300,261864,8158106,-39049,8.84,6956,33000,33000,32950,33000,50,1327
20210224,33500,33900,32600,32650,700,416713,8197155,-6431,8.88,31835,32650,32700,32550,32650,0,2336
20210223,32900,33500,32550,33350,400,342495,8203586,3888,8.89,95227,33400,33400,33350,33400,50,707
20210222,33250,33650,32850,32950,50,284343,8198954,-5189,8.88,9050,32900,32900,32750,32750,-200,2860
20210219,33650,33850,32400,33000,600,427544,8204143,-73531,8.89,30663,33000,33100,33000,33050,50,1001
20210218,34150,34800,33600,33600,700,362524,8276930,-42551,8.97,25749,33600,33700,33600,33600,0,2688
20210217,33450,34800,33350,34300,1000,888645,8319481,86004,9.01,103190,34400,34500,34400,34400,100,10962
20210216,33700,33800,33150,33300,400,313413,8233477,8921,8.92,27634,33350,33350,33250,33300,0,3427
20210215,33200,34000,32700,33700,700,358487,8224556,-10695,8.91,60136,33650,33700,33650,33700,0,949
20210210,33300,33350,32650,33000,400,339517,8235251,34366,8.92,-638,33000,33050,33000,33000,0,1354
20210209,33600,33650,33000,33400,300,374990,8200885,-36301,8.88,15653,33400,33400,33300,33350,-50,1672
20210208,32100,33700,32000,33700,1700,720646,8237186,36128,8.92,180203,33700,33700,33650,33650,-50,4112
20210205,31850,32000,31500,32000,250,285097,8201058,-30596,8.88,9935,32000,32050,32000,32050,50,2695
20210204,31600,32050,31050,31750,250,375282,8231654,21676,8.92,-33112,31750,31900,31750,31900,150,1755
20210203,32150,32250,31350,31500,400,356013,8209978,-29151,8.89,-46175,31500,31550,31450,31450,-50,2567
20210202,31700,32200,31450,31900,350,360329,8239129,14455,8.93,-17833,31950,32000,31900,32000,100,3031
20210201,31000,31600,30050,31550,550,392850,8224674,-18843,8.91,22945,31600,31600,31500,31600,50,948
20210129,32550,32600,30850,31000,1300,645236,8243517,50300,8.93,-51894,31000,31000,30950,31000,0,5007
20210128,33000,33150,32100,32300,1500,785981,8193217,-27091,8.88,-130211,32300,32300,32150,32150,-150,3048
20210127,34550,34550,33800,33800,550,415151,8220308,-19385,8.9,-916,33700,33800,33700,33700,-100,1096
20210126,34250,34600,33650,34350,350,570895,8238961,87577,8.93,-29044,34300,34300,34250,34300,-50,1621
20210125,34200,34350,33600,34000,100,392888,8151384,6761,8.83,20364,34050,34150,34000,34150,150,1576
20210122,33550,34600,32950,34100,400,848907,8144623,104893,8.82,-78406,34000,34100,33950,34050,-50,4209
20210121,34150,34250,33550,33700,600,608401,8039730,-9532,8.71,-47839,33650,33700,33550,33700,0,3530
20210120,35250,35300,33950,34300,700,709057,8049262,-80728,8.72,-49430,34300,34300,34150,34150,-150,2430
20210119,34250,35150,33700,35000,900,834947,8124715,-9103,8.8,131957,35100,35150,35000,35150,150,4041
20210118,33300,34650,32750,34100,300,897647,8133818,-7311,8.81,29014,34050,34050,33950,33950,-150,4053
20210115,34900,35150,33700,33800,800,1103227,8141129,-99656,8.82,14552,33800,33850,33750,33800,0,3166
20210114,33150,34700,32600,34600,2050,1723659,8240785,79443,8.93,179137,34650,34800,34650,34800,200,11227
20210113,33100,33300,32000,32550,150,809253,8156155,-54023,8.84,35238,32700,33000,32600,32900,350,11024
20210112,31150,33700,31100,32700,1750,2376805,8210178,58036,8.89,49915,32700,32850,32700,32850,150,9668
20210111,32200,32300,30650,30950,950,938032,8152142,-65670,8.83,-115521,30950,31000,30950,30950,0,3890
20210108,32350,32350,31550,31900,0,761929,8215177,56202,8.9,-127716,31900,31950,31850,31950,50,4730
20210107,32300,32550,31600,31900,50,658690,8158975,-96207,8.84,22431,31900,32000,31900,32000,100,3020
20210106,31500,32300,31250,31950,900,1210887,8255182,192982,8.93,67266,32200,32200,32000,32150,200,4529
20210105,30700,31250,30500,31050,250,476912,8062200,28290,8.73,-38591,31050,31100,31050,31100,50,2602
20210104,31300,31350,30500,30800,100,532969,8033910,19385,8.69,-120068,30900,31000,30900,31000,200,4199
20201230,30500,31300,30400,30900,550,498802,8014525,23370,8.68,-14437,30900,31000,30900,31000,100,1857
20201229,31150,31150,29950,30350,450,452857,7991155,-32637,8.66,-115987,30350,30350,30300,30350,0,1250
20201228,30650,30850,30400,30800,500,376027,8023792,30124,8.69,4926,30800,30850,30800,30800,0,898
20201224,30300,30550,30000,30300,0,267791,7999408,1479,8.67,5591,30300,30350,30200,30350,50,1052
20201223,30100,30600,29700,30300,250,405777,7998825,-22852,8.66,-38834,30400,30400,30300,30350,50,930
20201222,31000,31000,29950,30050,1000,574600,8023765,17044,8.69,-24701,30100,30100,30050,30050,0,4523
20201221,32450,32500,30750,31050,950,812055,8005024,-45669,8.67,-26587,31150,31150,30800,30800,-250,4233
20201218,31400,32500,31350,32000,1000,2025014,8054807,77144,8.73,106505,32000,32000,31950,32000,0,6502
20201217,29850,31050,29800,31000,1100,844422,7981751,39019,8.64,156833,31050,31300,31050,31300,300,12659
20201216,29800,30000,29550,29900,250,288569,7948516,-27519,8.61,24194,29900,29900,29850,29900,0,1172
20201215,30300,30500,29500,29650,350,537434,7983635,-100144,8.64,-107891,29650,29700,29650,29650,0,708
20201214,31050,31100,30000,30000,900,545689,8086053,-135526,8.76,-21546,30100,30100,30000,30100,100,1624
20201211,29700,31000,29650,30900,1550,1314524,8226671,180976,8.91,391170,30950,31000,30850,30850,-50,7259
20201210,28500,29650,28250,29350,800,823382,8047885,-29698,8.72,109625,29450,29500,29400,29500,150,2702
20201209,28150,28600,28150,28550,500,254220,8077583,24777,8.75,22426,28600,28600,28550,28600,50,898
20201208,28750,28750,28050,28050,700,364485,8053616,-18075,8.72,-117086,28100,28100,28000,28100,50,1604
20201207,29150,29200,28350,28750,400,277326,8069449,-42238,8.74,-27739,28750,28750,28650,28700,-50,1359
