day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210401,14400,14515,14300,14500,120,22610,357346,0,2.35,0,0,0,0,0,0,0
20210331,14475,14560,14375,14380,105,46077,357346,-4239,2.35,-1184,14380,14380,14380,14380,0,0
20210330,14460,14570,14450,14485,25,58905,361585,2517,2.38,1379,14485,14485,14485,14485,0,0
20210329,14575,14585,14405,14460,65,80800,359068,-3730,2.36,4660,14460,14460,14460,14460,0,0
20210326,14550,14550,14410,14525,15,101223,362798,-271,2.37,-2934,14520,14520,14520,14520,-5,100
20210325,14500,14570,14395,14540,30,117176,363069,-2966,2.36,3078,14540,14540,14540,14540,0,0
20210324,14335,14595,14310,14570,145,121044,366035,-661,2.37,4860,14590,14590,14590,14590,20,200
20210323,14585,14670,14345,14425,45,493505,366696,-286,2.39,10684,14425,14425,14425,14425,0,0
20210322,14435,14545,14310,14470,35,328074,366982,9314,2.39,-8311,14470,14470,14470,14470,0,1516
20210319,14215,14510,14215,14435,10,91750,357668,-9050,2.34,8550,14450,14450,14450,14450,15,400
20210318,14465,14600,14405,14445,30,97903,366718,14940,2.39,3566,14500,14500,14500,14500,55,20
20210317,14345,14455,14215,14415,10,273099,351778,-18204,2.29,22805,14415,14415,14415,14415,0,0
20210316,14130,14415,14110,14405,345,107060,369982,3580,2.4,14414,14550,14550,14550,14550,145,30
20210315,14140,14160,14035,14060,80,116542,366402,-29003,2.36,22065,14060,14060,14060,14060,0,0
20210312,13910,14185,13910,14140,240,319463,395405,-3580,2.53,20544,14115,14115,14115,14115,-25,353
20210311,13625,13940,13600,13900,285,155954,398985,19483,2.6,-1842,13900,13910,13900,13910,10,1839
20210310,13900,13945,13545,13615,10,488290,399502,16159,2.62,-12664,13615,13615,13615,13615,0,0
20210309,13705,13760,13320,13625,125,780887,383343,18778,2.52,-18223,13625,13625,13625,13625,0,0
20210308,14205,14205,13720,13750,315,239054,364565,34642,2.39,-30173,13765,13765,13760,13760,10,206
20210305,13860,14125,13770,14065,0,325605,329923,-5803,2.14,9491,14065,14065,14065,14065,0,0
20210304,13990,14140,13850,14065,95,250496,335726,8092,2.18,6592,14100,14105,14100,14105,40,7
20210303,13980,14225,13960,14160,110,169921,327634,171,2.13,9428,14175,14175,14175,14175,15,772
20210302,13965,14285,13800,14050,330,263435,327463,-2262,2.13,8616,14050,14050,14050,14050,0,0
20210226,13780,13915,13630,13720,445,438312,329725,-22472,2.17,14001,13720,13720,13720,13720,0,0
20210225,13800,14185,13685,14165,605,147717,352197,25037,2.31,10465,14100,14200,14100,14200,35,71
20210224,13990,14220,13490,13560,395,298054,327160,1918,2.14,-16776,13570,13600,13570,13600,40,376
20210223,14120,14300,13935,13955,345,136189,325242,357,2.14,-11866,13995,13995,13955,13955,0,273
20210222,14630,14660,14255,14300,290,68137,324885,-19322,2.13,21359,14400,14400,14300,14300,0,11
20210219,14560,14605,14225,14590,40,117403,344207,3359,2.22,1156,14590,14590,14590,14590,0,0
20210218,14690,14780,14550,14550,180,90558,340848,-10333,2.2,1482,14550,14550,14550,14550,0,14
20210217,14765,14825,14580,14730,100,389412,351181,6811,2.25,7849,14730,14730,14710,14725,-5,536
20210216,15090,15165,14775,14830,260,80150,344370,-4687,2.17,-12260,14840,14845,14830,14830,0,140
20210215,14900,15140,14860,15090,225,172776,349057,1803,2.14,13992,15090,15090,15090,15090,0,0
20210210,14755,14890,14620,14865,65,305356,347254,-12673,2.13,11042,14865,14865,14865,14865,0,200
20210209,14805,14950,14765,14800,100,109603,359927,1543,2.18,-454,14800,14800,14800,14800,0,50
20210208,14970,15080,14805,14900,135,39275,358384,557,2.13,-2250,14915,14915,14900,14900,0,11
20210205,15015,15100,14875,15035,50,271612,357827,-72565,2.12,81505,15035,15035,15035,15035,0,0
20210204,15035,15065,14810,14985,175,282828,430392,34458,2.56,-35493,14985,14985,14985,14985,0,5
20210203,15120,15160,14860,15160,65,227895,395934,-29277,2.37,30204,15160,15160,15150,15150,-10,110
20210202,15145,15265,14910,15095,20,480913,425211,-54200,2.54,57795,15095,15095,15095,15095,0,0
20210201,14475,15075,14470,15075,600,1106576,479411,-56996,2.81,72888,15075,15075,15075,15075,0,29
20210129,15010,15065,14355,14475,500,450094,536407,136985,3.14,-146609,15045,15045,15030,15030,555,38
20210128,14890,15250,14860,14975,275,541319,399422,-12242,2.33,3976,14975,14975,14975,14975,0,0
20210127,15465,15545,15200,15250,235,258624,411664,-12655,2.36,14011,15250,15250,15250,15250,0,0
20210126,15600,15785,15340,15485,115,665682,424319,23876,2.35,-35137,15485,15485,15485,15485,0,0
20210125,15075,15615,15075,15600,480,772146,400443,-21247,2.22,43966,15600,15605,15600,15600,0,68
20210122,15165,15220,14990,15120,45,294929,421690,-52588,2.31,44497,15120,15120,15120,15120,0,1
20210121,15270,15320,15040,15165,20,441554,474278,53804,2.6,-74463,15165,15995,15165,15995,830,148
20210120,14875,15285,14875,15185,380,615792,420474,-145677,2.25,164821,15185,15185,15185,15185,0,0
20210119,14625,14955,14450,14805,250,722139,706151,63927,3.7,-59856,16190,16190,16190,16190,1385,35
20210118,14830,15090,14520,14555,455,807812,642224,36731,3.37,-13551,14555,14555,14555,14555,0,0
20210115,15270,15375,14925,15010,325,560011,605493,-49485,3.13,66570,15010,15080,15010,15080,70,28
20210114,15360,15460,15265,15335,170,424643,654978,15557,3.29,-45799,15335,15335,15335,15335,0,0
20210113,15480,15595,15365,15505,25,1128650,639421,-16852,3.15,29693,15505,15505,15505,15505,0,2
20210112,15430,15625,15175,15480,60,1104005,656273,24190,3.27,-4824,15480,16700,15480,16500,1020,223
20210111,15625,15905,15130,15540,5,2566350,632083,-11735,3.13,-2467,15540,15545,15540,15545,5,31
20210108,15535,15570,15335,15535,80,351864,643818,12196,3.2,-1821,15535,15535,15535,15535,0,0
20210107,15365,15575,15290,15455,90,582705,631622,48065,3.02,39192,15455,15455,15455,15455,0,30
20210106,15495,15575,15320,15365,115,1357030,583557,-45853,2.75,39996,15365,15365,15365,15365,0,0
20210105,15325,15555,15125,15480,15,3296388,629410,40253,2.92,-1460,15480,15480,15480,15480,0,10
20210104,15525,15545,15240,15465,60,2507774,589157,111998,2.79,28157,15465,15465,15465,15465,0,0
20201230,15500,15675,15415,15525,5,3006770,477159,-137716,2.25,151793,15525,15525,15525,15525,0,85
20201229,15235,15550,15160,15520,450,1785120,614875,136947,2.87,-76817,15500,15550,15500,15550,30,156
20201228,14985,15160,14940,15070,155,1712921,477928,21823,2.25,-85892,15100,15150,15100,15120,50,1887
20201224,14785,15035,14670,14915,165,976790,456105,-47205,2.17,-68098,14915,14915,14915,14915,0,0
20201223,14920,15060,14660,14750,115,863367,503310,94619,2.4,-107422,14755,14755,14750,14750,0,70
20201222,15260,15355,14865,14865,455,840004,408691,-108792,1.94,90243,14865,14865,14865,14865,0,0
20201221,15080,15350,14975,15320,245,1062831,517483,43787,2.47,-112308,15320,15320,15320,15320,0,0
20201218,15060,15100,14975,15075,40,993727,473696,-82989,2.28,76911,15200,15200,15200,15200,125,4
20201217,14885,15185,14885,15035,70,716363,556685,70929,2.71,-69953,15035,15035,15035,15035,0,5
20201216,14890,15035,14765,14965,140,820101,485756,58847,2.36,-46973,14965,14965,14965,14965,0,1
20201215,14915,14920,14605,14825,0,302739,426909,35233,2.07,-40630,14825,14825,14825,14825,0,0
20201214,14845,15055,14715,14825,35,948052,391676,-6682,1.9,16866,14835,14835,14835,14835,10,278
20201211,14720,14870,14700,14790,115,1140719,398358,-76049,1.94,76906,14790,14790,14790,14790,0,4
20201210,14125,14710,14125,14675,190,236487,474407,33468,2.31,-9403,14910,14910,14910,14910,235,93
20201209,14540,14580,14235,14485,105,1064658,440939,-20690,2.21,14044,14485,14485,14485,14485,0,1
20201208,14930,15065,14300,14380,565,1558469,461629,11914,2.31,-39231,14900,14900,14400,14400,20,49
20201207,14530,14945,14450,14945,510,1110714,449715,-51941,2.19,52694,14935,14935,14935,14935,-10,3
20201204,14180,14450,14165,14435,280,837347,501656,3655,2.35,12411,14700,14750,14700,14750,315,125
20201203,13875,14160,13875,14155,220,2056146,498001,-23665,2.25,47469,14150,14150,14150,14150,-5,30
20201202,13790,13935,13695,13935,180,1479444,521666,24926,2.31,-7761,13950,13950,13950,13950,15,289
20201201,13720,13815,13580,13755,125,1630809,496740,28954,2.33,-41728,13755,13755,13755,13755,0,2
20201130,13740,13850,13630,13630,35,660760,467786,120596,2.28,-108473,13745,13745,13745,13745,115,217
20201127,13445,13750,13445,13665,190,2804997,347190,13532,1.66,-26135,13675,13675,13670,13670,5,243
20201126,13265,13515,13120,13475,230,2685235,333658,-86050,1.58,81284,13475,13475,13475,13475,0,0
20201125,13390,13545,13095,13245,5,980770,419708,-27861,1.98,56027,13245,13245,13245,13245,0,0
20201124,13455,13455,13205,13250,140,567306,447569,-51986,2.11,48295,13250,13250,13250,13250,0,0
20201123,13325,13505,13285,13390,45,361286,499555,-33726,2.35,17299,13390,13390,13390,13390,0,74
20201120,13195,13390,13160,13345,155,653667,533281,59977,2.33,-55257,13345,13345,13345,13345,0,0
20201119,12955,13190,12865,13190,190,193659,473304,-48230,2.08,59817,13190,13190,13190,13190,0,0
20201118,12815,13050,12765,13000,185,762564,521534,178874,2.13,-172184,13000,13000,13000,13000,0,0
