day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210324,21600,22800,20150,20450,500,272386,198649,0,1.74,-32,20450,20450,20250,20250,-200,211
20210323,20200,20250,19600,19950,400,63893,198649,-4819,1.74,125,20100,20150,20000,20000,50,883
20210322,19750,20550,19450,20350,900,167238,203468,-12918,1.78,-9819,20300,20300,20050,20200,-150,1099
20210319,18950,19800,18700,19450,500,112186,216386,4733,1.9,-1267,19600,19600,19400,19450,0,117
20210318,18600,19300,18450,18950,100,115513,211653,6460,1.85,9,18900,18950,18900,18950,0,478
20210317,19000,19200,18750,19050,50,34595,205193,-946,1.8,-14,19000,19150,18900,18950,-100,230
20210316,18950,19300,18750,19000,200,55686,206139,8438,1.81,27,19000,19250,19000,19150,150,69
20210315,19100,19100,18500,18800,300,70233,197701,8875,1.73,23,18800,18800,18800,18800,0,219
20210312,18450,19150,18400,19100,550,52601,188826,9479,1.65,-38,19100,19100,19050,19050,-50,361
20210311,18100,18650,18050,18550,250,44616,179347,3416,1.57,7,18500,18500,18500,18500,-50,2504
20210310,18550,18600,18200,18300,50,45461,175931,476,1.54,28,18550,18550,18300,18500,200,178
20210309,18600,18700,17900,18350,450,83808,175455,537,1.54,-16,18350,18350,18350,18350,0,100
20210308,18950,19100,18600,18800,200,61364,174918,2272,1.53,19,18900,18900,18500,18650,-150,1038
20210305,19050,19100,18600,19000,250,51302,172646,-4628,1.51,88,19000,19000,19000,19000,0,131
20210304,19150,19250,18650,19250,0,51730,177274,2960,1.55,-1,19150,19200,19050,19200,-50,861
20210303,18750,19250,18750,19250,350,55149,174314,6200,1.53,-16,19250,19300,19250,19300,50,1703
20210302,19100,19700,18650,18900,100,62843,168114,365,1.47,59,19200,19200,18850,18900,0,149
20210226,19100,19100,18400,19000,250,83849,167749,-4799,1.47,56,19050,19050,18950,18950,-50,641
20210225,19150,19450,18650,19250,250,87995,172548,5594,1.51,172,19200,19400,19200,19250,0,184
20210224,19600,20350,19000,19000,550,178741,166954,-199,1.46,0,19000,19100,18950,18950,-50,1097
20210223,20000,20150,19300,19550,700,190908,167153,-12096,1.46,9,18650,19600,18650,19600,50,818
20210222,20650,21400,20000,20250,1650,664942,179249,4476,1.57,60,20400,20400,20250,20250,0,3049
20210219,21850,27850,21800,21900,450,3892193,174773,12680,1.53,-21,21000,21000,19750,20200,-1700,254292
20210218,22550,22600,21250,21450,1050,115051,162093,-3386,1.42,14,21450,21450,21450,21450,0,257
20210217,20250,24000,20000,22500,2000,475847,165479,-1712,1.45,-148,22500,22800,22500,22800,300,3735
20210216,20450,20700,19700,20500,100,109577,167191,-11356,1.46,123,20500,20500,20350,20350,-150,319
20210215,19300,20650,19100,20400,1100,148186,178547,1847,1.56,20,20450,20450,20250,20400,0,446
20210210,19050,19350,18850,19300,100,43266,176700,250,1.55,124,19250,19300,19200,19300,0,656
20210209,18900,19650,18900,19200,300,42719,176450,1676,1.55,76,19250,19300,19250,19300,100,151
20210208,19000,19000,18250,18900,150,48662,174774,1285,1.53,42,18900,18900,18800,18850,-50,713
20210205,18850,19400,18800,19050,50,62662,173489,-1747,1.52,62,18850,19050,18850,19050,0,264
20210204,19600,19600,18950,19100,500,74335,175236,-2048,1.54,71,19000,19200,19000,19200,100,744
20210203,19950,20200,19450,19600,300,77261,177284,95,1.55,102,19600,19600,19600,19600,0,631
20210202,19700,20550,19600,19900,300,161569,177189,4414,1.55,20,20000,20000,19900,19900,0,1750
20210201,19050,19800,17850,19600,300,372736,172775,18742,1.51,-23,19600,19600,19550,19550,-50,1269
20210129,23200,23650,19050,19300,5900,1298067,154033,-4304,1.35,50,19300,19300,19000,19000,-300,6174
20210128,25550,25550,24800,25200,700,53136,158337,806,1.39,159,25200,25200,25200,25200,0,22
20210127,26300,26400,25550,25900,100,39069,157531,-2400,1.38,51,25900,25900,25900,25900,0,6
20210126,25050,26950,24950,26000,950,119646,159931,-9175,1.4,12,26300,26300,25900,26300,300,366
20210125,25150,25200,24500,25050,50,47145,169106,4815,1.48,165,25100,25150,25100,25150,100,61
20210122,25600,25650,24800,25100,500,44699,164291,-3744,1.44,172,25100,25350,25000,25000,-100,416
20210121,25500,26300,25100,25600,500,90858,168035,-5076,1.47,24,25600,25600,25350,25400,-200,158
20210120,24000,25400,23900,25100,1100,94624,173111,1274,1.52,276,25100,25400,25100,25300,200,214
20210119,23500,24400,22450,24000,500,120660,171837,9348,1.51,147,24200,24200,24200,24200,200,266
20210118,25100,25450,23450,23500,2000,173251,162489,1311,1.42,30,23450,23600,23450,23450,-50,2122
20210115,26000,26150,25350,25500,500,95939,161178,246,1.41,203,25500,25500,25350,25350,-150,292
20210114,26200,26250,25700,26000,250,59606,160932,-904,1.41,70,25900,26100,25900,26100,100,356
20210113,26600,26800,25600,26250,400,137804,161836,-3507,1.42,43,26250,26350,26250,26250,0,640
20210112,26000,27250,25500,26650,1600,264237,165343,3710,1.45,-50,26650,26650,26500,26500,-150,495
20210111,29000,29000,28050,28250,800,142115,161633,-6169,1.42,-73,28300,28350,28300,28350,100,104
20210108,29200,29250,28850,29050,100,99663,167802,2212,1.47,157,29050,29050,28900,29050,0,1270
20210107,29350,29400,29000,29150,100,71998,165590,-5504,1.45,-4,29150,29200,29150,29200,50,37
20210106,29100,29600,29100,29250,50,79238,171094,5701,1.5,-47,29250,29350,29250,29300,50,325
20210105,29250,29500,28950,29300,200,67928,165393,-595,1.45,438,29300,29400,29300,29350,50,241
20210104,29050,29600,28750,29500,450,95145,165988,428,1.45,579,29700,29700,29500,29500,0,353
20201230,29000,29300,28650,29050,0,60698,165560,-424,1.45,-54,29250,29250,29000,29050,0,572
20201229,28650,29500,28650,29050,450,93070,165984,7575,1.45,-349,29050,29150,29000,29150,100,75
20201228,29150,29250,28550,28600,600,82625,158409,-1454,1.39,286,28600,28700,28600,28600,0,205
20201224,29350,29350,28700,29200,0,91952,159863,2718,1.4,480,29200,29200,29200,29200,0,203
20201223,29100,29750,29050,29200,50,62917,157145,-4159,1.38,293,29250,29250,29150,29150,-50,380
20201222,29850,30150,29150,29250,1000,139313,161304,-5839,1.41,103,29250,29450,29250,29450,200,229
20201221,31150,31150,29950,30250,950,151236,167143,3883,1.46,-556,30400,30400,30250,30300,50,440
20201218,32650,33000,30900,31200,700,470968,163260,-494,1.43,138,31200,31200,31150,31150,-50,675
20201217,29950,30500,29700,30500,550,115556,163754,2090,1.43,105,30500,30700,30500,30600,100,656
20201216,29400,30950,29300,29950,900,128955,161664,6452,1.42,79,29950,30000,29950,29950,0,679
20201215,29400,29550,28950,29050,400,65156,155212,-4637,1.36,169,31050,31050,29050,29050,0,1924
20201214,29800,29800,28650,29450,350,60841,159849,-2252,1.4,27,29700,29700,29450,29450,0,20
20201211,29650,29950,29500,29800,250,86722,162101,6323,1.42,-103,29850,29850,29600,29700,-100,241
20201210,28850,34900,28700,29550,450,852298,155778,-24380,1.36,43,29550,29600,29450,29500,-50,1369
20201209,29000,29300,28700,29100,0,73383,180158,1894,1.58,544,28950,29150,28950,29100,0,231
20201208,30200,30500,29000,29100,1800,216308,178264,-29813,1.56,404,29150,29250,29100,29250,150,139
20201207,30300,31400,29450,30900,1500,288146,208077,23169,1.82,-55,31200,31600,30550,31300,400,7319
20201204,29850,30100,29300,29400,450,73410,184908,-259,1.62,-615,29450,29800,29450,29600,200,1632
20201203,29450,30200,29150,29850,400,85482,185167,4316,1.62,-594,29850,29950,29850,29900,50,399
20201202,28800,30800,28750,29450,500,148526,180851,4885,1.58,-1254,29550,29600,29550,29600,150,171
20201201,29200,29350,28800,28950,250,63201,175966,6688,1.54,-256,29000,29000,28950,28950,0,453
20201130,29350,29500,28950,29200,50,67875,169278,-3638,1.48,-303,29200,29450,29150,29150,-50,1206
20201127,28750,29300,28500,29250,500,67085,172916,8356,1.52,21,29250,29350,29250,29350,100,246
20201126,28200,28750,28200,28750,150,58519,164560,2283,1.44,226,28750,28750,28700,28700,-50,164
20201125,29000,29050,28400,28600,250,80182,162277,-8322,1.42,-1039,28550,28600,28350,28600,0,259
20201124,29100,29250,28600,28850,150,85457,170599,-5511,1.49,191,29000,29000,28700,28850,0,205
20201123,29700,29750,28950,29000,650,102175,176110,-7522,1.54,-98,29000,29000,28900,28950,-50,745
20201120,29150,29750,29050,29650,500,69954,183632,8279,1.61,-93,29700,29700,29650,29650,0,1831
20201119,28900,29300,28600,29150,300,63903,175353,4056,1.54,-196,29150,29150,29150,29150,0,209
20201118,29000,29100,28650,28850,150,51158,171297,4319,1.5,-44,28850,28850,28750,28750,-100,21
20201117,29050,29300,28550,28700,250,51559,166978,-208,1.46,108,29000,29000,28700,28750,50,81
