day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20110221,76500,76500,70000,70200,6300,2335275,1158154,-331002,4.5,-168894,70200,70400,70200,70200,0,2748
20110222,68000,70600,65800,69900,300,862076,1003940,-154214,3.9,-12101,69500,69500,69400,69500,-400,3042
20110223,69500,72600,69200,71600,1700,441504,961956,-41984,3.74,28012,71600,71600,71500,71500,-100,646
20110224,71200,72600,71200,71300,300,215507,954925,-7031,3.71,28533,71300,71300,70700,70900,-400,575
20110225,71500,71700,69700,70800,500,175787,944516,-10409,3.67,22660,70800,70800,70800,70800,0,172
20110228,70000,70000,67100,67500,3300,394760,887517,-56999,3.45,-133767,67600,67700,67500,67500,0,810
20110302,66700,68100,66100,66300,1200,196862,885942,-1575,3.44,-28433,66300,66600,66300,66600,300,425
20110303,66800,69800,66300,69500,3200,363268,875069,-10873,3.4,37650,69500,69500,69400,69500,0,629
20110304,70000,70800,68200,69000,500,230771,868450,-6619,3.37,-18219,69000,69000,68900,69000,0,273
20110307,68600,72500,68300,72200,3200,507726,765845,-102605,2.98,222777,72000,72200,72000,72200,0,376
20110308,72200,75300,71800,74300,2100,469300,730145,-35700,2.84,52273,74300,74300,74300,74300,0,163
20110309,74600,74900,72900,73300,1000,218451,729683,-462,2.84,-1602,73200,73200,73200,73200,-100,18
20110310,73300,74400,72200,73900,600,182397,705417,-24266,2.74,39823,73700,73900,73700,73700,-200,145
20110311,72800,75600,71500,74900,1000,245314,677726,-27691,2.63,78173,74900,74900,74100,74100,-800,1531
20110314,75800,75900,72700,73500,1400,212813,667089,-10637,2.59,-1338,73800,73800,73500,73700,200,299
20110315,73500,73900,67000,70800,2700,251682,667621,532,2.59,7753,70200,70500,70200,70200,-600,219
20110316,70600,71900,69400,70800,0,126781,664939,-2682,2.58,10279,70800,70900,70700,70800,0,128
20110317,68400,70000,68300,69400,1400,187319,665309,370,2.59,-10493,69400,69400,69400,69400,0,0
20110318,69900,71600,69500,70500,1100,160801,659557,-5752,2.56,40073,70500,70800,70500,70800,300,431
20110321,70000,70700,69300,70000,500,402010,662725,3168,2.58,-253803,70000,70300,70000,70300,300,260
20110322,70600,70600,68800,69000,1000,407412,663018,293,2.58,-164908,69000,69400,69000,69400,400,803
20110323,69200,75100,69200,74600,5600,745943,654524,-8494,2.54,133537,74600,74600,74100,74200,-400,717
20110324,75300,77300,74600,76500,1900,687119,652951,-1573,2.54,119959,76900,76900,76800,76900,400,649
20110325,77000,77400,74700,75400,1100,268996,652882,-69,2.54,35262,75700,75700,75400,75400,0,676
20110328,75800,78900,74600,77800,2400,337829,649315,-3567,2.52,24380,77300,77800,77300,77800,0,295
20110329,77800,79700,77300,77900,100,351791,642425,-6890,2.5,-44882,77800,77800,77600,77600,-300,730
20110330,77500,79200,76800,77800,100,310478,647445,5020,2.52,-4597,77500,77700,77500,77700,-100,350
20110331,78500,78600,77200,77300,500,190636,646038,-1407,2.51,-30575,77300,77300,77000,77300,0,156
20110401,77300,77400,76000,76400,900,213434,653944,7906,2.54,-46367,76500,76500,76300,76300,-100,230
20110404,77000,78000,76300,76700,300,122437,654493,549,2.54,-18167,76700,76700,76700,76700,0,137
20110405,76900,77000,74400,75700,1000,237967,654561,68,2.54,-25113,75700,75700,75400,75400,-300,231
20110406,76300,80000,75700,79000,3300,518298,672111,17550,2.61,122963,79300,79300,79100,79300,300,276
20110407,79900,82900,78900,82900,3900,477569,781416,109305,3.04,21524,83100,83200,83000,83200,300,975
20110408,82800,85900,81900,84200,1300,360461,779454,-1962,3.03,-17242,84200,84200,84100,84200,0,291
20110411,84000,85700,83400,84200,0,209438,747414,-32040,2.9,-3289,84400,84600,84400,84600,400,419
20110412,85200,88400,84800,87800,3600,347292,759315,11901,2.95,29425,87800,87800,87600,87800,0,425
20110413,88000,94500,87100,94500,6700,650373,725218,-34097,2.82,47962,95400,95600,95400,95500,1000,894
20110414,97300,108500,97200,108500,14000,1271165,666143,-59075,2.59,-192811,108500,108500,108500,108500,0,376
20110415,106000,115500,102000,110000,1500,1659745,662454,-3689,2.57,-136493,110500,111000,110500,110500,500,2046
20110418,111500,126000,109000,123000,13000,1459911,619863,-42591,2.41,-19200,122000,122000,120500,121500,-1500,4686
20110419,120000,132500,116000,121000,2000,2095138,532257,-87606,2.07,-162705,121500,122000,121000,121000,0,2772
20110420,125500,127000,116500,119500,1500,844497,527149,-5108,2.05,-40296,119500,121000,119500,120500,1000,1826
20110421,121000,126000,116000,122000,2500,974833,510148,-17001,1.98,27633,123000,123500,123000,123500,1500,1760
20110422,124000,129000,122000,126000,4000,765675,472533,-37615,1.84,13587,127000,127500,127000,127500,1500,3449
20110425,129500,144500,127000,144500,18500,1340060,486881,14348,1.89,8969,144500,144500,144500,144500,0,1408
20110426,148500,164500,148000,153500,9000,2269957,462600,-24281,1.8,-105471,153000,153000,152000,152000,-1500,6364
20110427,158500,162000,131000,136000,17500,2480026,466222,3622,1.81,-121898,135000,135000,134000,134000,-2000,15707
20110428,134000,143500,133000,142000,6000,1267237,456278,-9944,1.77,1661,144000,144500,144000,144500,2500,8161
20110429,146000,147500,127000,130000,12000,1307550,376649,-79629,1.46,-21513,131000,131000,130500,130500,500,4551
20110502,130500,137000,124000,136000,6000,1049505,421006,44357,1.64,25560,137500,138000,137500,138000,2000,10196
20110503,135500,138500,130000,133000,3000,556962,414674,-6332,1.61,-546,133000,133000,132000,132000,-1000,1881
20110504,133000,137500,131000,131000,2000,446695,410662,-4012,1.6,1550,132500,133000,132500,133000,2000,7796
20110506,132000,137500,127500,137000,6000,578035,383185,-27477,1.49,16187,136500,136500,136000,136000,-1000,1884
20110509,139500,145000,137500,141500,4500,724343,376909,-6276,1.46,-3963,141500,141500,141500,141500,0,940
20110511,146000,147000,139500,142000,500,516094,386803,9894,1.5,248,142500,142500,142000,142500,500,2063
20110512,139000,141500,135000,135500,6500,367317,352936,-33867,1.37,-2987,136000,136000,135500,135500,0,2042
20110513,138000,140000,130500,140000,4500,448073,376976,24040,1.47,12960,140500,140500,140500,140500,500,2294
20110516,138500,142000,136000,139500,500,276048,398822,21846,1.55,17897,139500,140000,139500,139500,0,2531
20110517,142000,145000,140000,145000,5500,621250,444486,45664,1.73,5959,144500,145000,144500,145000,0,3882
20110518,145500,147000,143000,146000,1000,532582,445248,762,1.73,15805,146000,146500,146000,146500,500,2393
20110519,147500,148500,139000,140000,6000,400346,462452,17204,1.8,21770,141000,141000,141000,141000,1000,1939
20110520,142500,143500,138000,140000,0,230467,480314,17862,1.87,6203,140500,141500,140500,141500,1500,2159
20110523,136500,137500,133000,133000,7000,607906,562152,81838,2.18,-221238,132000,132500,131500,132000,-1000,2323
20110524,131500,136000,127500,133500,500,453106,555981,-6171,2.16,18371,134000,134000,133500,134000,500,2376
20110525,135000,138000,130000,132000,1500,305604,613475,57494,2.38,-9588,132000,132500,132000,132500,500,661
20110526,134000,138500,133500,138500,6500,351317,678870,65395,2.64,-2324,138500,139000,138000,138500,0,715
20110527,139000,141000,137000,140000,1500,270591,724046,45176,2.81,25095,140000,140500,140000,140500,500,950
20110530,141500,142000,139000,141000,1000,210407,726264,2218,2.82,22446,141000,141000,140500,140500,-500,339
20110531,142000,150000,140000,150000,9000,1396678,1138118,411854,4.42,-21529,148500,149000,148500,149000,-1000,15230
20110601,149000,151000,144500,145000,5000,461507,1158693,20575,4.5,4437,145000,145000,144500,145000,0,2031
20110602,139500,147500,138500,147500,2500,318447,1188470,29777,4.62,6828,148000,148500,147500,148500,1000,1054
20110603,149000,150000,144500,146000,1500,203392,1195222,6752,4.65,24801,146000,146000,145500,145500,-500,1448
20110607,145000,147500,142500,143500,2500,125601,1203886,8664,4.68,-5940,144000,144500,144000,144000,500,664
20110608,145000,148500,141500,148000,4500,231435,1216410,12524,4.73,32387,148000,148000,147500,147500,-500,1538
20110609,148500,150500,145500,149000,1000,292504,1219863,3453,4.74,50060,149000,149500,149000,149500,500,2492
20110610,152000,155000,149500,151000,2000,411101,1256700,36837,4.88,62544,151000,151500,151000,151500,500,862
20110613,150000,152000,147500,150500,500,209204,1248792,-7908,4.85,20815,151000,151500,151000,151500,1000,547
20110614,152000,154000,150500,154000,3500,331001,1254775,5983,4.88,67006,154500,155000,154500,155000,1000,2826
20110615,154500,159500,154000,159000,5000,489546,1271941,17166,4.94,76116,159000,159000,158000,158000,-1000,996
20110616,157000,163000,156000,157000,2000,587945,1272823,882,4.95,26851,157500,158000,157500,158000,1000,1633
20110617,160000,162000,152500,158500,1500,480481,1292781,19958,5.02,37817,158500,158500,158500,158500,0,1661
20110620,160500,164000,159500,161500,3000,308176,1293070,289,5.03,50836,161000,161500,161000,161000,-500,686
20110621,164000,164000,154000,159500,2000,383672,1298154,5084,5.05,-21602,159500,159500,159000,159500,0,791
20110622,160000,161000,156000,156500,3000,285134,1308430,10276,5.09,18218,156500,156500,156500,156500,0,2828
20110623,155000,158000,154000,157000,500,177257,1312267,3837,5.09,15739,157000,157000,157000,157000,0,254
20110624,157500,158500,152000,158000,1000,387821,1305561,-6706,5.07,3851,157500,157500,157500,157500,-500,1090
20110627,156500,157000,153500,154000,4000,125362,1311203,5642,5.09,-10911,154000,155500,154000,155500,1500,482
20110628,157000,157500,154000,154000,0,141658,1317763,6560,5.12,-2158,154000,154000,153000,153000,-1000,897
20110629,156000,160000,154500,160000,6000,288734,1330200,12437,5.17,82020,160000,161000,160000,161000,1000,853
20110630,161500,163500,158000,162500,2500,361386,1351403,21203,5.25,53216,162500,162500,162500,162500,0,241
20110701,164000,168500,161500,168000,5500,446996,1364059,12656,5.3,142554,168000,168500,168000,168000,0,905
20110704,170500,171000,167000,168000,0,238746,1349339,-14720,5.24,11845,167500,168000,167500,168000,0,219
20110705,168500,170000,165000,166500,1500,185662,1352396,3057,5.26,-25063,167000,167000,166500,166500,0,1461
20110706,165000,167500,163000,167500,1000,128445,1353152,756,5.26,1558,167500,167500,166500,166500,-1000,404
20110707,166500,170500,166000,169500,2000,194299,1354623,1471,5.26,6977,169500,169500,169500,169500,0,323
20110708,170500,170500,168000,169000,500,140092,1360481,5858,5.29,40483,169000,170000,169000,169500,500,232
20110711,168500,168500,165500,167000,2000,98134,1364948,4467,5.3,1703,167000,167000,166000,166500,-500,369
20110712,164500,165000,160000,162000,5000,238468,1364893,-55,5.3,-8811,162000,162000,160500,161000,-1000,371
20110713,163500,169000,162500,167500,5500,156658,1374954,10061,5.34,49316,168500,169000,168500,169000,1500,360
20110714,167500,170000,165500,169000,1500,132255,1363872,-11082,5.3,37536,169000,169500,169000,169500,500,259
20110715,169500,170000,167000,170000,1000,138363,1398512,34640,5.44,22785,171000,171000,170000,170000,0,541
