day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210325,40600,40900,40250,40300,-600,45100,1225884,-7515,11.71,-14534,40300,40300,40250,40300,0,170
20210324,41100,41100,40100,40900,300,56610,1233399,2486,11.78,-9214,40900,40900,40600,40600,-300,154
20210323,41450,42350,40600,41200,100,105975,1230913,-3946,11.75,-13383,41250,41250,41000,41200,0,188
20210322,42300,42400,40950,41100,900,60173,1234859,-10786,11.79,-13655,41200,41200,41150,41200,100,530
20210319,40400,42000,39750,42000,1150,65091,1245645,23926,11.89,2262,42000,42000,41550,41750,-250,2081
20210318,40550,41100,40200,40850,550,51174,1221719,6883,11.67,-21062,40850,40900,40800,40800,-50,121
20210317,40100,40300,39800,40300,250,29462,1214836,6301,11.6,-6432,40300,40300,40000,40300,0,74
20210316,39900,40150,39700,40050,350,34985,1208535,3719,11.54,-3364,40100,40100,40050,40050,0,175
20210315,40000,40150,39450,39700,300,50367,1204816,10273,11.51,-31342,39550,39800,39550,39800,100,42
20210312,39450,40050,38950,40000,800,63913,1194543,-11628,11.41,3948,40000,40000,39900,39900,-100,378
20210311,38550,39350,38550,39200,750,51216,1206171,13261,11.52,-15424,39250,39300,39250,39300,100,129
20210310,38950,39200,38150,38450,50,79099,1192910,104,11.39,1159,38450,38750,38450,38650,200,270
20210309,39300,39700,37700,38500,850,128274,1192806,32590,11.39,-73057,38500,38600,38000,38600,100,1265
20210308,40950,41050,39150,39350,1700,105129,1160216,83,11.08,-52680,39500,39500,39300,39300,-50,305
20210305,41000,41500,40450,41050,600,50960,1160133,-3537,11.08,-13806,41150,41150,41000,41000,-50,77
20210304,41450,41850,41250,41650,300,26434,1163670,7135,11.11,-2664,41700,41700,41650,41650,0,15
20210303,41750,42000,41250,41950,200,31164,1156535,2007,11.04,-2333,41950,42000,41950,41950,0,34
20210302,42200,42400,41300,41750,150,71507,1154528,6908,11.02,-17799,41750,41800,41750,41800,50,225
20210226,41000,42400,40600,41600,550,70860,1147620,202,10.96,-3227,41600,41750,41600,41750,150,211
20210225,41650,42500,41400,42150,1300,75235,1147418,21435,10.96,-17301,42150,42200,42050,42050,-100,222
20210224,42750,43050,40400,40850,1650,96851,1125983,1264,10.75,-18465,40850,40850,40200,40600,-250,906
20210223,41300,42850,41300,42500,50,46929,1124719,12493,10.74,4897,42300,42500,42200,42450,-50,153
20210222,42700,43300,41950,42450,350,74357,1112226,15471,10.62,-15653,42100,42200,41700,41850,-600,738
20210219,43300,43800,42000,42800,950,104729,1096755,13434,10.47,-22911,42900,43000,42900,43000,200,212
20210218,44300,44400,43300,43750,550,92835,1083321,14699,10.34,1794,43750,43850,43700,43850,100,937
20210217,43800,44400,42700,44300,550,120017,1068622,10414,10.19,-11030,44300,44300,44150,44150,-150,409
20210216,43800,44550,43500,43750,1300,285375,1058208,-16365,10.11,-47808,43600,43750,43600,43700,-50,1740
20210215,42100,42700,41750,42450,1850,179870,1074573,-10892,10.26,13033,42500,42550,42450,42500,50,1481
20210210,40350,40650,39700,40600,350,106987,1085465,-5846,10.37,-16457,40450,40600,40450,40600,0,638
20210209,40150,41750,39950,40250,750,227539,1091311,-6261,10.42,-25265,40250,40250,40100,40200,-50,724
20210208,40400,40400,39050,39500,1400,228217,1097572,-25826,10.48,-49066,39550,39900,39550,39900,400,1910
20210205,42050,42200,40300,40900,800,226624,1123398,-19862,10.73,-74408,40900,40900,40850,40850,-50,1600
20210204,45100,45100,41350,41700,4650,653082,1143260,-59647,10.92,-273876,41850,41850,41700,41850,150,2684
20210203,45150,46700,44200,46350,1350,226910,1202907,12190,11.49,-49773,45550,45550,45300,45450,-900,9351
20210202,44700,45400,43100,45000,500,143242,1190717,757,11.37,-44072,45000,45000,44800,44950,-50,319
20210201,44000,44600,42500,44500,300,150481,1189960,23919,11.36,-54281,44500,44650,44500,44650,150,135
20210129,46500,46500,43650,44200,1800,81016,1166041,-228,11.13,-13327,44250,44250,43750,43800,-400,109
20210128,46750,47850,45700,46000,1550,64671,1166269,-1245,11.14,-13112,46000,46200,46000,46000,0,74
20210127,48400,48700,46800,47550,950,95399,1167514,12502,11.15,-8477,47800,47800,47550,47550,0,98
20210126,49950,51200,47750,48500,400,131769,1155012,-13626,11.03,-14023,48550,48750,48550,48750,250,259
20210125,47850,49500,47350,48900,800,119038,1168638,-4193,11.16,7848,48900,49100,48900,49100,200,349
20210122,46100,50800,44600,48100,2000,314537,1172831,-2122,11.2,61307,48750,48750,48050,48600,500,429
20210121,42700,46700,42350,46100,3400,269512,1174953,8624,11.22,64239,46200,46600,46100,46600,500,2126
20210120,44550,44850,41500,42700,250,192207,1166329,-24698,11.14,3338,42700,42700,42600,42650,-50,597
