day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,6800,6920,6750,6840,10,532739,787064,0,2.3,0,0,0,0,0,0,0
20210325,6720,6860,6720,6830,30,458488,787064,7750,2.3,-20004,6800,6830,6800,6810,-20,5277
20210324,6890,6970,6790,6800,0,600477,779314,5949,2.28,13784,6800,6800,6720,6760,-40,66208
20210323,7160,7240,6790,6800,320,1198081,773365,4546,2.25,-33000,6800,6980,6800,6980,180,32446
20210322,7260,7360,7100,7120,100,707205,768819,-6216,2.25,0,7120,7140,7100,7140,20,22023
20210319,7210,7440,7150,7220,210,961880,775035,-14712,2.27,-27966,7220,7260,7220,7260,40,11046
20210318,7720,7760,7360,7430,170,2412091,789747,-51847,2.31,-97036,7450,7450,7390,7390,-40,18119
20210317,7350,7940,7220,7600,170,8372917,841594,-63341,2.46,-22399,7600,7600,7530,7530,-70,40224
20210316,7320,7460,7060,7430,180,3458653,904935,-149918,2.65,-50445,7430,7430,7360,7360,-70,48669
20210315,6870,7440,6800,7250,450,4686612,1054853,249726,3.09,239087,7280,7290,7270,7290,40,40916
20210312,6820,6940,6700,6800,60,1559613,805127,22494,2.35,-11305,6800,6800,6770,6770,-30,29758
20210311,7000,7030,6730,6740,380,2596949,782633,25945,2.29,-51729,6730,6780,6730,6780,40,25124
20210310,6480,7800,6450,7120,670,17743474,756688,-12952,2.21,151176,7120,7120,7040,7080,-40,121310
20210309,6680,6680,6360,6450,210,710655,769640,9950,2.25,-2254,6450,6450,6450,6450,0,7217
20210308,6800,6880,6660,6660,60,690605,759690,-5774,2.22,-6053,6650,6650,6610,6620,-40,11564
20210305,6510,6890,6510,6720,50,1621489,765464,-2658,2.24,6053,6720,6730,6720,6720,0,10717
20210304,6660,6850,6630,6670,70,1032898,768122,-93262,2.25,-28433,6670,6700,6670,6680,10,12365
20210303,6410,7230,6410,6740,290,4800222,861384,56668,2.52,41877,6780,6790,6750,6790,50,21095
20210302,6850,6890,6440,6450,270,1172750,804716,-21766,2.35,21635,6450,6460,6420,6430,-20,23527
20210226,6900,6980,6660,6720,380,1758327,826482,-17317,2.42,-168939,6720,6720,6660,6680,-40,31950
20210225,6900,7290,6730,7100,530,5097956,843799,50168,2.47,119771,7130,7140,7100,7100,0,35777
20210224,6970,7300,6570,6570,340,3585669,793631,-37239,2.31,39057,6580,6620,6580,6610,40,19249
20210223,6270,7830,6220,6910,560,21485223,830870,-134093,2.43,103428,6950,6960,6930,6960,50,84720
20210222,6390,6450,6300,6350,40,439979,964963,-33187,2.82,0,6350,6360,6350,6350,0,13987
20210219,6510,6550,6300,6390,110,517946,998150,-33154,2.92,0,6400,6410,6390,6410,20,4673
20210218,6540,6700,6490,6500,30,976181,1031304,-98870,3.02,33000,6500,6520,6500,6510,10,4476
20210217,6290,6560,6240,6470,180,1099569,1130174,-67602,3.31,-91,6470,6500,6460,6500,30,13111
20210216,6340,6340,6250,6290,50,557930,1197776,21507,3.5,0,6280,6290,6270,6290,0,5929
20210215,6500,6500,6240,6340,70,1478038,1176269,-52538,3.44,0,6340,6350,6320,6340,0,14111
20210210,6340,6420,6230,6410,80,412795,1228807,17155,3.59,0,6410,6450,6410,6410,0,2456
20210209,6390,6430,6280,6330,50,428507,1211652,-6728,3.54,-3447,6330,6330,6290,6300,-30,6952
20210208,6610,6620,6340,6380,240,757013,1218380,30423,3.56,0,6380,6380,6360,6360,-20,7850
20210205,6650,6750,6610,6620,30,464436,1187957,-20426,3.47,0,6620,6630,6610,6620,0,4342
20210204,6740,6820,6590,6650,90,622573,1208383,-80382,3.53,0,6650,6650,6630,6640,-10,4815
20210203,6900,6900,6570,6740,40,851765,1288765,6396,3.77,-6878,6750,6750,6710,6750,10,6097
20210202,7000,7100,6520,6780,120,842870,1282369,-96716,3.75,-1865,6760,6800,6760,6800,20,12082
