day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210325,10350,10500,10200,10350,-50,183732,475494,9686,1.36,433,10400,10450,10350,10450,100,5822
20210324,10250,10700,10100,10400,100,290817,465808,9147,1.33,52,10350,10450,10350,10450,50,5275
20210323,10700,10900,10300,10300,150,456417,456661,-26432,1.3,346,10300,10400,10300,10350,50,2985
20210322,10850,10850,10400,10450,350,334313,483093,-776,1.38,180,10450,10550,10400,10450,0,3813
20210319,10600,10800,10500,10800,0,301703,483869,5609,1.38,690,10900,10900,10800,10900,100,6466
20210318,10900,10950,10550,10800,0,517392,478260,825,1.36,-25003,10800,10900,10800,10900,100,26093
20210317,10300,11200,10200,10800,500,1881971,477435,-70181,1.36,27014,10800,10850,10800,10800,0,8049
20210316,9860,10350,9840,10300,550,679908,547616,28932,1.56,505,10250,10300,10200,10250,-50,4052
20210315,9570,9780,9450,9750,180,328515,518684,-54029,1.48,-33,9750,9780,9750,9780,30,1638
20210312,9260,9590,9220,9570,520,656170,572713,-28688,1.62,-952,9550,9580,9470,9490,-80,7636
20210311,8950,9110,8950,9050,100,276394,601401,41652,1.71,-4528,9150,9160,9050,9160,110,9785
20210310,9400,9480,8950,8950,310,388562,559749,-31551,1.6,1609,9000,9000,8940,8940,-10,3772
20210309,9310,9380,8840,9260,50,744360,591300,99055,1.68,145,9240,9300,9240,9270,10,2784
20210308,9750,9760,9310,9310,440,521589,492245,-24903,1.4,94,9310,9310,9220,9220,-90,8060
20210305,9530,9970,9420,9750,130,833070,517148,7235,1.47,153,9760,9760,9700,9740,-10,3965
20210304,9940,9960,9620,9620,430,709048,509913,-2476,1.45,-39281,9620,9640,9620,9630,10,2152
20210303,9800,10100,9800,10050,80,467552,512389,28880,1.46,734,10000,10100,10000,10100,50,3800
20210302,10400,10400,9910,9970,180,794539,483509,-32615,1.38,-3384,9930,9970,9900,9900,-70,13961
20210226,10250,10300,10000,10150,550,793703,516124,35889,1.47,-545,10150,10250,10150,10250,100,7595
20210225,10600,10700,10250,10700,250,794398,480235,11718,1.37,-43317,10700,10750,10650,10700,0,6804
20210224,11250,11350,10350,10450,850,1163440,468517,19105,1.34,-5028,10450,10500,10450,10500,50,10625
20210223,11450,11550,11250,11300,350,533033,449412,16044,1.28,850,11300,11300,11250,11300,0,3053
20210222,11950,12050,11650,11650,400,305304,433368,-12097,1.24,338,11650,11650,11550,11550,-100,7756
20210219,12300,12300,11750,12050,200,434450,445465,1648,1.27,-43,12050,12050,12000,12050,0,1672
20210218,12000,12450,11900,12250,250,665407,443817,20794,1.26,12206,12300,12300,12200,12250,0,4319
20210217,11950,12100,11800,12000,50,411305,423023,17115,1.21,-49028,12000,12050,11900,11950,-50,3359
20210216,11800,12100,11650,11950,200,547612,405908,-32718,1.15,7322,11950,11950,11850,11900,-50,5394
20210215,11550,11800,11350,11750,250,449605,438626,-2285,1.25,-9253,11750,11750,11700,11700,-50,3533
20210210,11650,11700,11200,11500,200,864110,440911,15149,1.26,304,11550,11550,11500,11500,0,6485
