day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
19800104,4300,4300,4300,4300,8350,100,0,0,0.0,0,0,0,0,0,0,0
19800105,4280,4280,4280,4280,20,40,0,0,0.0,0,0,0,0,0,0,0
19800107,4290,4300,4290,4300,20,720,0,0,0.0,0,0,0,0,0,0,0
19800108,4500,4600,4500,4600,300,540,0,0,0.0,0,0,0,0,0,0,0
19800109,4800,4800,4750,4750,150,1710,0,0,0.0,0,0,0,0,0,0,0
19800110,4750,4800,4750,4790,40,1370,0,0,0.0,0,0,0,0,0,0,0
19800111,4690,4690,4690,4690,100,10,0,0,0.0,0,0,0,0,0,0,0
19800112,4390,4390,4390,4390,300,400,0,0,0.0,0,0,0,0,0,0,0
19800114,4390,4390,4390,4390,0,1410,0,0,0.0,0,0,0,0,0,0,0
19800115,4390,4390,4390,4390,0,10,0,0,0.0,0,0,0,0,0,0,0
19800116,4370,4370,4370,4370,20,490,0,0,0.0,0,0,0,0,0,0,0
19800117,4100,4100,4100,4100,270,140,0,0,0.0,0,0,0,0,0,0,0
19800118,4100,4100,4100,4100,0,20,0,0,0.0,0,0,0,0,0,0,0
19800119,4100,4100,4100,4100,0,0,0,0,0.0,0,0,0,0,0,0,0
19800121,4100,4100,4100,4100,0,200,0,0,0.0,0,0,0,0,0,0,0
19800122,4110,4110,4110,4110,10,100,0,0,0.0,0,0,0,0,0,0,0
19800123,4130,4150,4110,4150,40,3710,0,0,0.0,0,0,0,0,0,0,0
19800124,4150,4150,4100,4100,50,2670,0,0,0.0,0,0,0,0,0,0,0
19800125,4100,4100,4090,4100,0,3500,0,0,0.0,0,0,0,0,0,0,0
19800126,4110,4110,4110,4110,10,50,0,0,0.0,0,0,0,0,0,0,0
19800128,4110,4110,4110,4110,0,50,0,0,0.0,0,0,0,0,0,0,0
19800129,4110,4150,4110,4150,40,90,0,0,0.0,0,0,0,0,0,0,0
19800130,4150,4200,4150,4200,50,170,0,0,0.0,0,0,0,0,0,0,0
19800131,4210,4300,4210,4300,100,830,0,0,0.0,0,0,0,0,0,0,0
19800201,4320,4400,4320,4400,100,250,0,0,0.0,0,0,0,0,0,0,0
19800202,4400,4400,4300,4400,0,260,0,0,0.0,0,0,0,0,0,0,0
19800204,4500,4500,4430,4430,30,380,0,0,0.0,0,0,0,0,0,0,0
19800205,4430,4430,4430,4430,0,890,0,0,0.0,0,0,0,0,0,0,0
19800206,4430,4450,4430,4450,20,490,0,0,0.0,0,0,0,0,0,0,0
19800207,4450,4450,4450,4450,0,0,0,0,0.0,0,0,0,0,0,0,0
19800208,4450,4450,4450,4450,0,0,0,0,0.0,0,0,0,0,0,0,0
19800209,4400,4400,4400,4400,50,100,0,0,0.0,0,0,0,0,0,0,0
19800211,4410,4410,4410,4410,10,230,0,0,0.0,0,0,0,0,0,0,0
19800212,4400,4400,4400,4400,10,100,0,0,0.0,0,0,0,0,0,0,0
19800213,4400,4400,4380,4380,20,410,0,0,0.0,0,0,0,0,0,0,0
19800214,4380,4380,4380,4380,0,0,0,0,0.0,0,0,0,0,0,0,0
19800215,4390,4390,4390,4390,10,0,0,0,0.0,0,0,0,0,0,0,0
19800216,4390,4390,4390,4390,0,20,0,0,0.0,0,0,0,0,0,0,0
19800218,4400,4400,4400,4400,10,1660,0,0,0.0,0,0,0,0,0,0,0
19800219,4400,4450,4400,4450,50,570,0,0,0.0,0,0,0,0,0,0,0
19800220,4450,4450,4450,4450,0,600,0,0,0.0,0,0,0,0,0,0,0
19800221,4400,4400,4400,4400,50,40,0,0,0.0,0,0,0,0,0,0,0
19800222,4400,4400,4400,4400,0,470,0,0,0.0,0,0,0,0,0,0,0
