day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for_perc,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,10600,10850,10200,10300,-300,700803,3560077,0,5.81,-10335,10350,10350,10200,10200,-100,6459
20210325,10100,10700,9980,10600,600,1312447,3560077,264631,5.81,-6379,10600,10700,10600,10700,100,13446
20210324,9920,10150,9860,10000,50,447152,3295446,55418,5.38,5914,10000,10100,10000,10100,100,3445
20210323,9910,10200,9900,9950,40,465316,3239119,132268,5.28,-2019,9960,9980,9960,9960,10,6304
20210322,10150,10200,9800,9990,160,458267,3106851,-32519,5.08,10345,9970,9970,9930,9940,-50,5423
20210319,9950,10300,9940,10150,50,508585,3139370,93792,5.13,-27823,10200,10200,10100,10200,50,7611
20210318,9700,10150,9700,10100,280,769341,3045578,144657,4.97,10545,10100,10100,10050,10050,-50,5142
20210317,9970,9990,9700,9820,140,549495,2900921,-407,4.74,-22723,9810,9870,9780,9850,30,1792
20210316,9700,10150,9500,9960,160,1173655,2901328,149764,4.74,29747,9970,9990,9960,9960,0,8898
20210315,10750,11250,9800,9800,900,5346588,2751564,-247605,4.5,-15007,9610,9700,9610,9690,-110,31681
20210312,8780,8990,8550,8900,100,330324,2999169,-11354,4.9,-6139,8900,8910,8900,8900,0,3376
20210311,8930,9040,8700,8800,100,367844,3010523,-24320,4.92,-20125,8800,8800,8750,8760,-40,2070
20210310,8880,9120,8840,8900,60,589310,3034721,41495,4.96,7694,8890,8890,8860,8870,-30,3745
20210309,8510,8960,8380,8840,300,703618,2993226,10264,4.89,6521,8840,8840,8820,8820,-20,4746
20210308,8470,8640,8470,8540,80,312146,2982962,-5837,4.87,3491,8540,8560,8510,8540,0,5386
20210305,8180,8540,8090,8460,210,335828,2988799,-4277,4.88,83,8480,8480,8400,8430,-30,1975
20210304,8320,8350,8160,8250,170,276452,2993076,-71871,4.89,-20953,8250,8310,8250,8270,20,2222
20210303,8500,8680,8380,8420,300,370077,3064947,-23479,5.01,24643,8440,8500,8440,8440,20,1150
20210302,8190,8720,8110,8720,710,696338,3088426,83205,5.05,12912,8600,8660,8570,8580,-140,21241
20210226,7910,8010,7800,8010,90,362977,3005221,24118,4.91,-51466,8010,8010,8000,8000,-10,1137
20210225,7850,8100,7820,8100,260,256025,2981103,-10459,4.87,22519,8100,8120,8100,8100,0,2033
20210224,7950,8160,7840,7840,170,468663,2991562,9928,4.89,-22968,7800,7820,7800,7800,-40,8055
20210223,8020,8180,8000,8010,200,301859,2981634,-4051,4.87,-2924,8040,8040,8000,8000,-10,3443
20210222,8180,8290,8030,8210,10,333618,2985685,-33163,4.88,-24282,8210,8210,8150,8150,-60,2270
20210219,8230,8340,8180,8200,100,274261,3018848,-13906,4.92,6273,8230,8230,8200,8200,0,1694
20210218,8400,8530,8300,8300,190,327877,3032754,-26897,4.95,-3224,8330,8420,8330,8330,30,4036
20210217,8330,8510,8300,8490,110,370524,3059651,-48367,5.0,-15372,8490,8490,8470,8480,-10,1674
20210216,8240,8560,8200,8380,130,478261,3108018,-19957,5.08,-15464,8390,8440,8390,8410,30,4740
20210215,8320,8340,8100,8250,0,383955,3127975,-41930,5.11,33239,8250,8260,8250,8250,0,1689
20210210,7800,8250,7770,8250,280,551071,3169905,-73188,5.18,-408,8280,8280,8230,8250,0,4799
20210209,8170,8220,7950,7970,200,619755,3243093,-33305,5.3,-10116,7970,8000,7950,7950,-20,4988
20210208,8230,8230,8050,8170,90,404517,3276398,-25665,5.35,-6546,8150,8170,8140,8170,0,1195
20210205,8500,8500,8100,8260,180,789460,3302063,80807,5.4,-2976,8260,8260,8250,8250,-10,4248
20210204,8770,8770,8360,8440,350,752135,3221256,-53242,5.26,-29019,8440,8460,8440,8450,10,597
20210203,8760,8960,8300,8790,230,1085899,3274498,87396,5.35,-2698,8790,8810,8740,8750,-40,3588
20210202,9000,9160,8910,9020,80,351635,3187102,33519,5.21,-4220,9030,9030,9030,9030,10,654
20210201,8880,9100,8830,8940,40,365111,3153583,30,5.15,23779,8990,8990,8920,8920,-20,4227
20210129,9200,9230,8840,8900,240,810695,3153553,42258,5.15,-27202,8940,8970,8900,8970,70,2692
20210128,9320,9360,9110,9140,260,539964,3111295,-40283,5.08,-32395,9140,9180,9140,9150,10,5660
20210127,9550,9590,9370,9400,150,477588,3151578,-50496,5.15,-44535,9400,9400,9380,9380,-20,7037
20210126,9480,9700,9470,9550,10,485541,3202074,45168,5.23,-41407,9520,9530,9510,9520,-30,6748
20210125,9480,9610,9420,9560,140,357821,3156906,22324,5.16,26023,9560,9580,9540,9580,20,1959
20210122,9540,9570,9420,9420,150,376569,3134582,9613,5.12,-32399,9430,9500,9420,9430,10,4751
20210121,9560,9790,9530,9570,10,509943,3124969,20648,5.11,-43384,9570,9570,9540,9560,-10,4674
20210120,9450,9680,9450,9560,60,522808,3104321,45998,5.07,60449,9530,9600,9480,9600,40,4530
20210119,9350,9590,9320,9500,100,420389,3056257,5959,4.99,41925,9420,9530,9420,9490,-10,5064
20210118,9530,9530,9280,9400,130,598871,3050298,-66432,4.97,13081,9400,9400,9350,9350,-50,1616
20210115,9650,9750,9460,9530,100,472170,3116730,-14656,5.09,-53847,9540,9550,9540,9540,10,5281
20210114,9560,9650,9440,9630,70,521402,3131386,2406,5.12,-23085,9630,9700,9610,9680,50,6766
20210113,9580,9730,9500,9560,10,508465,3128980,-19544,5.11,-13084,9560,9560,9530,9560,0,5879
