day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,18200,18750,17900,18450,250,10237,2972,0,0.1,0,18550,18550,18400,18400,-50,52
20210325,18000,18450,18000,18200,150,3980,2972,-206,0.1,0,18200,18200,18200,18200,0,0
20210324,18200,18300,18000,18050,350,9972,3178,183,0.11,0,18050,18050,18050,18050,0,4
20210323,18550,18650,18200,18400,50,4003,2995,40,0.1,0,18400,18500,18400,18500,100,125
20210322,18600,18700,18200,18350,350,9394,2955,-61,0.1,0,18350,18350,18350,18350,0,120
20210319,18600,18950,18400,18700,100,6478,3016,-85,0.1,0,18700,18700,18700,18700,0,0
20210318,18900,19000,18600,18800,100,9582,3101,127,0.1,0,18800,18800,18800,18800,0,0
20210317,18700,18700,18200,18700,300,10799,2974,313,0.1,0,18700,18700,18700,18700,0,50
20210316,18750,18750,18300,18400,200,10775,2661,67,0.09,0,18600,18600,18450,18450,50,51
20210315,18500,18600,17800,18200,50,6929,2594,-136,0.09,0,18150,18200,18150,18150,-50,171
20210312,17700,18750,17700,18150,700,11488,2730,-23,0.09,0,18250,18250,18100,18200,50,30
20210311,17100,17750,17100,17450,350,5401,2753,-48,0.09,0,17450,17450,17450,17450,0,0
20210310,18150,18150,17100,17100,350,11215,2801,102,0.09,0,17400,17400,17350,17350,250,55
20210309,17950,18100,17200,17450,800,22992,2699,-93,0.09,0,17400,17400,17300,17400,-50,587
20210308,18950,18950,17950,18250,150,20810,2792,80,0.09,0,18200,18200,18050,18050,-200,185
20210305,18700,18700,18100,18400,350,15040,2712,80,0.09,0,18400,18400,18400,18400,0,40
20210304,19350,19350,18500,18750,500,21125,2632,-51,0.09,0,18750,18750,18700,18700,-50,125
20210303,18400,22400,18200,19250,850,226555,2683,-149,0.09,0,19650,19650,19200,19350,100,297
20210302,18750,18750,18200,18400,200,7758,2832,-165,0.09,0,18400,18400,18400,18400,0,318
20210226,18400,18600,17750,18200,800,28737,2997,349,0.1,0,18200,18250,18200,18250,50,293
20210225,19250,19400,18950,19000,400,9848,2648,-10,0.09,0,19200,19200,19200,19200,200,51
20210224,19400,19750,18600,18600,1000,25371,2658,-571,0.09,0,20200,20200,18600,20050,1450,555
20210223,19700,19850,19200,19600,400,15152,3229,-111,0.11,0,19800,19800,19500,19500,-100,239
20210222,20500,20550,19800,20000,650,18573,3340,-158,0.11,0,20000,20000,19700,19800,-200,942
20210219,20650,21000,19450,20650,250,20720,3498,217,0.11,0,20600,20600,20450,20550,-100,119
20210218,20950,21500,20800,20900,250,15088,3281,-118,0.11,0,20900,20900,20900,20900,0,4
20210217,21850,21850,21150,21150,700,17299,3399,271,0.11,0,21200,21350,21200,21250,100,435
20210216,22200,22650,21600,21850,350,17908,3128,-244,0.1,0,21850,21900,21850,21900,50,32
20210215,21700,23100,21400,22200,550,63069,3372,210,0.11,0,22350,22350,22200,22250,50,546
20210210,21650,22000,21400,21650,0,8685,3162,-80,0.11,0,21750,21850,21700,21700,50,114
20210209,21900,22000,21450,21650,0,9798,3242,-250,0.11,0,21650,21650,21400,21450,-200,462
20210208,22400,22400,21650,21650,350,21698,3492,-255,0.11,0,21650,21850,21650,21700,50,258
20210205,22800,22850,21350,22000,100,25666,3747,153,0.13,0,22000,22400,21800,21850,-150,226
20210204,21500,22400,21100,21900,950,53146,3594,738,0.11,0,22300,22300,22000,22200,300,875
20210203,21450,21450,20500,20950,50,19219,2856,-292,0.1,0,21150,21150,21150,21150,200,2
20210202,21300,21350,20400,20900,100,26474,3148,-307,0.11,0,21700,21700,20900,20900,0,30
20210201,20000,21700,19850,20800,800,47620,3455,18,0.11,0,20800,20850,20800,20850,50,627
20210129,22450,22700,19750,20000,2350,74743,3437,348,0.11,0,20500,20500,20000,20200,200,1007
20210128,22050,22450,21850,22350,500,47804,3089,39,0.1,0,22400,22400,22200,22250,-100,427
20210127,22800,24300,22200,22850,100,75212,3050,-1,0.1,0,22850,22950,22850,22850,0,293
20210126,23750,23750,22100,22750,950,81358,3051,1,0.1,0,22650,22850,22650,22700,-50,1673
20210125,23450,25350,22650,23700,500,327041,3050,-971,0.1,0,23750,23750,23550,23650,-50,640
20210122,21100,25400,20700,24200,4600,1894703,4021,-880,0.13,0,24200,24200,22950,22950,-1250,14716
20210121,19350,19850,19150,19600,250,39269,4901,2441,0.16,-14228,19600,20300,19600,20300,700,2805
20210120,19200,19350,19000,19350,150,19089,2460,172,0.08,-8290,19350,19400,19350,19400,50,403
20210119,19050,19250,18950,19200,150,16897,2288,-65,0.08,-8998,19200,19300,19200,19300,100,127
20210118,19300,19400,18850,19050,250,13675,2353,201,0.08,0,19050,19050,19000,19050,0,102
20210115,19500,19750,19300,19300,350,8464,2152,-25,0.07,-2500,19300,19300,19300,19300,0,11
20210114,19950,19950,19350,19650,0,10800,2177,-140,0.07,-27,19650,19650,19650,19650,0,3
