day,cur_pr,high_pr,low_pr,clo_pr,pr_diff,acc_vol,for_stor,for_stor_diff,for,com_buy_vol,oot_cur_pr,oot_high_pr,oot_low_pr,oot_clo_pr,oot_pr_diff,oot_vol
20210326,74600,74600,73600,74300,500,11411,140180,0,6.63,0,74500,74500,74500,74500,200,1
20210325,74700,74700,73300,73800,0,11203,140180,-902,6.63,0,74800,74800,73800,73800,0,49
20210324,73500,74100,72600,73800,0,14823,141082,-282,6.67,3053,73800,73800,73600,73800,0,54
20210323,73300,74700,72800,73800,100,18556,141364,-2117,6.69,77,73800,73800,72100,73500,-300,25
20210322,73800,74700,72700,73700,0,9151,143481,-2031,6.79,-3,73700,73700,73700,73700,0,0
20210319,71900,76200,71700,73700,200,8905,145512,-67,6.88,-182,73700,73800,73700,73800,100,14
20210318,74000,74800,73100,73500,400,10393,145579,-1011,6.89,10,73500,73500,73200,73300,-200,6
20210317,73800,74300,72500,73900,100,9742,146590,-2035,6.93,-2691,74000,74000,74000,74000,100,28
20210316,74100,75400,73600,73800,0,20998,148625,-2797,7.03,-2507,73800,74000,73800,74000,200,15
20210315,71200,74200,71200,73800,3000,36028,151422,-728,7.16,-2320,74000,74100,74000,74100,300,175
20210312,70200,70900,69600,70800,1100,12836,152150,-1095,7.2,-1500,70700,70700,70400,70500,-300,32
20210311,69000,70000,69000,69700,400,9839,153245,-1332,7.25,-685,69400,69400,69400,69400,-300,84
20210310,70500,70500,68500,69300,100,8332,154577,-678,7.31,131,69300,69300,69300,69300,0,4
20210309,68700,69800,67800,69400,1100,12272,155255,-598,7.34,910,69400,69400,69400,69400,0,1
20210308,69000,69500,67800,68300,100,14574,155853,-2627,7.37,0,68200,68200,68200,68200,-100,43
20210305,68300,69000,67600,68200,600,14223,158480,-1608,7.5,-4165,68500,68500,68300,68300,100,12
20210304,69100,70900,68600,68800,500,26077,160088,-16847,7.57,0,68800,68800,68800,68800,0,0
20210303,69700,71000,68200,69300,0,28291,176935,-16061,8.37,-258,69500,69600,69500,69600,300,55
20210302,72900,73000,68700,69300,1500,51142,192996,-16847,9.13,-1150,70100,70100,69900,69900,600,46
20210226,71300,72100,69300,70800,4300,59815,209843,118,9.93,-10474,71000,71000,70800,70800,0,241
20210225,71600,76300,70000,75100,5300,42865,209725,-3202,9.92,2530,75000,75000,72600,72600,-2500,2786
20210224,72600,72600,69500,69800,2100,22101,212927,205,10.07,-2531,71900,71900,71200,71400,1600,74
20210223,72000,72600,71800,71900,800,9281,212722,-405,10.06,-315,71900,71900,71800,71800,-100,146
20210222,73900,74200,72000,72700,400,10657,213127,-438,10.08,0,72700,72700,71800,72000,-700,74
20210219,72900,73100,71800,73100,200,12073,213565,306,10.1,-1871,73100,73100,73000,73100,0,203
20210218,72500,74000,72400,72900,300,18269,213259,-887,10.09,-218,72900,72900,72900,72900,0,35
20210217,74300,74300,72800,73200,500,10086,214146,-1298,10.13,-100,73200,73300,73100,73100,-100,54
20210216,74400,74700,73400,73700,0,11745,215444,-492,10.19,-749,74500,74500,74500,74500,800,10
20210215,74700,74700,73400,73700,1000,14212,215936,-2085,10.22,-200,73700,73800,73700,73800,100,8
20210210,76000,76000,71500,74700,900,21465,218021,-677,10.31,-1015,74700,74700,74700,74700,0,2
20210209,77200,77800,75600,75600,1600,12752,218698,-2322,10.35,164,75700,75700,75600,75600,0,107
20210208,77400,77500,76000,77200,600,14484,221020,-394,10.46,378,77200,77200,76900,77200,0,99
20210205,76700,77700,75600,76600,1200,18355,221414,-324,10.47,991,76600,76900,76600,76900,300,127
20210204,79400,80200,77000,77800,300,56016,221738,502,10.49,15500,77800,77800,77700,77800,0,109
20210203,77900,79000,76500,78100,1200,58671,221236,-4362,10.47,-1771,78400,78500,78400,78400,300,605
20210202,76300,79000,76200,76900,1000,61409,225598,-883,10.67,-2757,76900,77500,76900,77500,600,173
20210201,71500,76100,71400,75900,3600,54590,226481,-2995,10.71,2031,75900,75900,75500,75500,-400,662
20210129,76400,79000,70000,72300,3600,79881,229476,-12855,10.86,-1710,71100,71700,71100,71700,-600,779
20210128,74600,80200,73600,75900,1800,89069,242331,-15043,11.46,-7268,75300,75900,75300,75800,-100,1451
20210127,82300,83600,76800,77700,3300,94791,257374,-8088,12.18,1383,77700,78400,77500,78300,600,521
20210126,88300,89200,81000,81000,6700,209696,265462,-18535,12.56,21862,81000,81000,80100,80300,-700,1759
20210125,106500,106500,82000,87700,18800,661571,283997,-6193,13.43,-30928,87500,88100,87000,87400,-300,2532
