date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,22.35,10.92,3230,14452,27893.91,3962.12,6253.24,0,105,46383,-42637,-7977
2011-07-01,2.64,1.21,369,13960,22621.24,-2741.72,-5341.48,0,118,32287,-35167,8100
2011-10-01,0,0,-95,13300,24329.82,-2005.73,-2616.03,0,119,28559,-33893,5192
2012-01-01,0,0,-865,14263,23677.09,-2967.66,-2986.53,0,95,30059,-39387,21969
2012-04-01,0,0,-1620,14205,26463.22,-578.88,-766.38,0,101,25723,-38369,22204
2012-07-01,0,0,-809,14100,23841.63,-2030.84,-1631.49,0,96,23342,-50551,19210
2012-10-01,0,0,-228,14032,26035.89,-585.47,484.5,0,91,22117,-46983,19172
2013-01-01,2.9,1.53,419,14469,27752.26,2224.86,838.51,0,90,24137,-40838,-2729
2013-04-01,11.57,6.37,1859,16067,38599.45,10881.48,9350.35,0,82,34508,-42128,-4473
2013-07-01,18.25,10.94,3164,17339,39826.63,11072.58,11130.51,0,67,52660,-42909,-9629
2013-10-01,21.98,13.81,4045,18399,32784.75,7972.24,6650.3,0,59,63721,-48922,-15001
2014-01-01,25.24,15.84,4923,19506,37163.17,10861.96,8753.58,300,59,66368,-59569,-10895
2014-04-01,22.06,14.29,4525,20512,38163.94,10127.67,6518.87,300,54,69230,-55500,-12579
2014-07-01,20.62,13.95,4642,22505,42420.96,12773.99,10820.87,300,48,63643,-58830,-6994
2014-10-01,23.26,15.61,5763,24775,51189.09,16709.91,11624.29,300,49,58667,-60878,283
2015-01-01,24.51,17.12,6440,26272,47997.78,15715.45,12672.47,500,43,71939,-64015,-7688
2015-04-01,25.24,18,7038,27879,46419.58,13740.65,11341.9,500,40,75333,-70247,-4676
2015-07-01,24.45,17.3,6973,28525,48832.61,13547.4,10317.65,500,41,80979,-69644,-10191
2015-10-01,20.21,14.56,5937,29378,44557.95,7761.57,5858.78,500,39,93195,-71256,-14623
2016-01-01,16.17,11.65,4768,29479,34847.35,5163.02,4280.34,600,39,74315,-65692,-2398
2016-04-01,12.21,9.03,3639,29804,38498.74,4158.2,2843.71,600,35,65656,-56541,-5689
2016-07-01,9.99,7.53,3018,30221,40742.37,5825.42,4658.52,600,33,60124,-49683,-2937
2016-10-01,12.3,9.17,4057,32990,53242.65,14977.55,14767.65,600,34,55489,-62304,1169
2017-01-01,17.52,12.85,6054,34564,61958.97,23880.02,18723.37,1000,36,77192,-61564,-3208
2017-04-01,23.74,17.58,9052,38128,66570.32,29993.79,24375.44,1000,35,97205,-92847,-1174
2017-07-01,29.28,22.22,12428,42441,79746.11,36137.47,29385.55,1000,32,118839,-116498,-3807
2017-10-01,31.47,23.43,14617,46450,88913.99,43396.63,28623.61,1000,34,146906,-119192,-3519
2018-01-01,32.62,24.15,16296,49961,87458.34,43650.63,31946.53,1500,35,163942,-142320,-8304
2018-04-01,33.66,25.77,18853,56005,102542.7,54790.12,42058.29,1500,31,167548,-169028,810
2018-07-01,35.33,26.78,21105,59731,113355.6,63899.84,46111.44,1500,32,200431,-170432,-16810
2018-10-01,33.17,24.41,21346,64348,99889.84,43450.19,33954.6,1500,36,222273,-214287,-13953
2019-01-01,28.67,20.76,18575,64780,64203.3,12169.9,9442.76,1000,38,203345,-223745,-2873
2019-04-01,20.39,15.44,13363,65522,59957.13,3654.01,3772.35,1000,32,154616,-159474,4362
2019-07-01,11.46,8.68,7593,66283,63960.77,3089.13,4186.87,1000,32,108704,-152871,32488
2019-10-01,4.19,3.08,2755,65826,65086.35,919.35,-2559.04,1000,36,65498,-104508,38366
2020-01-01,3.22,2.31,2131,66251,69451.35,7213.8,6919.38,1170,39,62505,-96880,44469
2020-04-01,4.61,3.29,3130,67834,82355.01,17589.37,12036.27,1170,40,108332,-107617,27333
2020-07-01,5.67,4.13,3932,69339,78931.03,12135.23,8882.83,1170,37,117028,-112807,11844
2020-10-01,9.16,6.68,6532,71275,74512.48,8520.37,14339.93,1170,37,123145,-118404,2520
