date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,17.09,4.74,1498,8765,1496.27,10.62,-84.33,0,261,1288,2090,-3937
2011-07-01,11.52,2.88,896,7779,1226.76,-106.37,-429.28,0,300,1272,2463,-3936
2011-10-01,0,0,-2173,7200,1147.58,-299.97,-394.76,0,289,685,-992,-29
2012-01-01,0,0,-2496,6493,1427.82,-63.46,-163.15,0,329,444,-610,101
2012-04-01,0,0,-2390,6380,1574.85,45.81,-73.32,0,325,283,-460,125
2012-07-01,0,0,-1119,6682,1498.37,-13.26,134.43,0,309,440,-359,134
2012-10-01,0,0,-665,6558,1337.98,-113.38,-219.17,0,298,739,-493,-227
2013-01-01,0,0,-957,5916,1212,-72.08,-213.61,0,337,788,-210,-375
2013-04-01,0,0,-850,5882,1324.92,122.94,-47.32,0,350,655,-59,-395
2013-07-01,0,0,-1362,5559,1335.8,12.82,-105.55,0,353,485,-207,-525
2013-10-01,0,0,-1871,4616,1064.8,-157.61,-365.95,0,417,284,-144,-180
2014-01-01,0,0,-1735,4109,1185.74,8.55,-181.76,0,473,272,-314,-161
2014-04-01,0,0,-1795,3904,1437.51,100.9,-7.32,0,501,330,-428,-109
2014-07-01,0,0,-2257,3230,1478.7,120.93,-226.99,0,605,282,-410,53
2014-10-01,0,0,-1734,2720,1575.24,222.72,-167.13,0,716,481,-437,12
2015-01-01,4.07,0.76,168,4119,1455,182.66,626.31,0,439,477,-535,4
2015-04-01,16.94,3.73,856,5051,1513.46,275.93,255.97,0,354,767,-669,28
2015-07-01,38.13,9.29,2232,5853,1882.37,485.79,350.45,0,311,1125,-995,-25
2015-10-01,49.88,12.87,2856,5727,1815.12,299.35,41.97,0,288,1527,-122,-718
2016-01-01,33.07,9.19,2091,6322,1838.76,407.09,332.07,0,260,1975,-509,-713
2016-04-01,29.18,9.17,1966,6739,1900.51,440.66,236.07,0,218,2081,-478,-1672
2016-07-01,26.39,8.93,1913,7250,1982.17,456.15,367.69,0,195,2420,-287,-1893
2016-10-01,25.84,8.95,1992,7707,2009.96,413.97,-55.81,0,189,2483,-1211,-1186
2017-01-01,24.33,8.83,2010,8260,1904.61,515.47,335.67,250,176,2525,-1170,-1217
2017-04-01,24.13,9.86,2153,8920,1746.83,446.97,214.42,250,145,2483,-943,-1138
2017-07-01,18.82,7.75,1728,9177,1639,326.49,157.18,250,143,2078,-1046,-835
2017-10-01,24.17,11.08,2483,10273,1506.94,134.6,36.74,250,118,1831,-1019,-858
2018-01-01,17.78,8.2,1898,10672,1384.45,126.45,114.71,250,117,1449,-659,-820
2018-04-01,18.12,8.78,2078,11466,1740.61,338.57,352.29,250,106,1351,-955,41
2018-07-01,21.33,10.88,2593,12160,1837.4,406.01,302.1,250,96,1515,-780,-352
2018-10-01,15.55,8.14,1956,12577,1730.33,257.82,181.77,250,91,1804,-1174,-510
2019-01-01,18.02,9.3,2272,12608,1595.8,223.37,177.32,350,94,1797,-1146,-521
2019-04-01,16.56,8.63,2206,13315,2134.85,492.65,318.93,350,92,1660,-1845,-459
2019-07-01,17.24,9.81,2469,14322,2223.2,617.37,462.58,350,76,1810,-1321,-963
2019-10-01,16.23,9.61,2357,14520,2120.32,478.17,252.77,350,69,1610,-1240,-709
2020-01-01,20.96,12.51,3234,15426,2258.03,647.03,549.45,350,68,2030,-1819,-766
2020-04-01,22.13,14.53,3664,16556,2416.51,770.28,547.12,350,52,2334,-907,-1677
2020-07-01,21.12,14.26,3718,17604,2406.47,670.93,510.76,350,48,2747,-1852,-1038
2020-10-01,20.89,14.09,3739,17896,2278.19,303.65,49.25,350,48,3100,-2652,-760
