date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,0,0,-1003,3769,99.75,-16.68,-40.17,0,76,-10,7,3
2011-07-01,0,0,-1194,3380,101,-49,-27.77,0,91,-5,6,5
2011-10-01,0,0,-2558,1983,87.24,-40.92,-102.3,0,115,7,-8,-4
2012-01-01,0,0,-853,1089,125.95,-3.36,-13.24,0,105,-82,-38,115
2012-04-01,0,0,-752,1003,53.47,-29.17,-21.08,0,102,-59,-53,117
2012-07-01,0,0,-771,856,44.34,-24.93,-31.9,0,64,-72,-60,111
2012-10-01,0,0,-322,859,67.82,21.33,0,0,70,-78,-60,118
2013-01-01,0,0,-332,799,82,-12.21,-14.43,0,77,-16,-27,3
2013-04-01,0,0,-354,691,30.96,-23.28,-25.07,0,74,-13,-8,-17
2013-07-01,0,0,-251,821,40.28,-15.94,-19.42,0,48,-44,-36,63
2013-10-01,0,0,-390,823,59.96,-30.89,-37.72,0,41,-92,-6,89
2014-01-01,0,0,-316,710,60.02,-5.55,-4.25,0,49,-70,-11,83
2014-04-01,0,0,-255,687,51.36,-0.25,-8.55,0,42,-88,-19,103
2014-07-01,0,0,-182,693,60.34,9.03,3.56,0,50,-35,8,29
2014-10-01,0,0,-104,757,101.92,9.71,3.52,0,46,-3,-27,15
2015-01-01,0,0,-76,746,104.59,2.17,-0.44,0,66,-30,-17,39
2015-04-01,0,0,-41,756,76.53,3.45,3.34,0,49,-5,-10,29
2015-07-01,0,0,-14,789,69.04,10.44,10.14,0,48,-27,-1,19
2015-10-01,2.89,1.64,23,812,70.42,0.6,-4.95,0,76,1,1,94
2016-01-01,2.8,1.49,23,815,71.1,6.71,3.39,0,88,-26,-4,101
2016-04-01,0.53,0.28,4,822,64.86,-5.45,-7.07,0,86,-13,-37,111
2016-07-01,0,0,-96,782,82.85,-18.41,-25.25,0,132,-28,-91,199
2016-10-01,0,0,-265,601,86.1,-54.9,-61.55,0,193,-44,-100,121
2017-01-01,0,0,-307,564,56.45,-1.12,-10.27,0,192,7,-104,79
2017-04-01,0,0,-294,725,57.94,5.55,-2.38,0,123,-51,-42,73
2017-07-01,0,0,-191,877,82.36,9.2,6.42,0,82,-57,12,10
2017-10-01,3.94,2.46,37,948,80.37,5.33,15.9,0,60,-36,7,-17
2018-01-01,6.56,4.04,62,946,58.18,3.56,0.69,0,63,-48,10,-12
2018-04-01,6.64,4.02,63,955,89.87,7.85,4.72,0,65,-31,-18,-6
2018-07-01,6,4.26,66,1103,63.16,4.67,2.35,0,41,13,-15,-32
2018-10-01,6.46,4.85,78,1201,53.67,7.66,18.12,0,33,51,-46,-22
2019-01-01,8.01,5.42,103,1290,56.78,8.64,5.48,0,48,138,-173,67
2019-04-01,8.37,5.73,108,1287,57.72,7.46,2.54,0,46,163,-153,71
2019-07-01,7.82,5.74,108,1383,57.89,3.34,3.45,0,36,127,-220,80
2019-10-01,1.63,1.22,22,1356,76.8,11.81,5.12,0,34,92,-146,78
2020-01-01,0,0,-26,1487,41.36,1.65,0.24,0,15,-10,-3,-6
2020-04-01,0,0,-40,1487,33.15,2.05,-5.95,0,21,-10,-48,18
2020-07-01,0,0,-71,1637,29.54,-8.54,-9.35,0,65,-26,15,331
2020-10-01,0,0,-239,1426,19.58,-42.54,-81.97,0,80,74,-268,330
