date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,4.79,3.2,1071,22372,14.12,-2.11,25,200,28,4381,-4268,-357
2011-07-01,6.52,4.35,1487,22824,14.46,-5.04,15.97,200,28,4569,-3936,184
2011-10-01,8.02,5.4,1857,23141,13.79,-4.4,-5.39,200,27,4929,-4006,30
2012-01-01,8.42,5.63,1993,23666,288.95,263.76,276.02,225,27,4528,-3252,41
2012-04-01,8.75,5.95,2117,24204,28.27,-0.01,82.57,225,26,4040,-4469,37
2012-07-01,8.71,6.01,2149,24663,29.59,-4.38,19.87,225,25,3945,-4617,-411
2012-10-01,7.83,5.41,1936,24737,28.4,0.97,15.17,225,24,3465,-4400,-292
2013-01-01,7.18,4.81,1823,25391,339.27,301.82,299.68,250,27,3540,-4567,-193
2013-04-01,7.13,4.87,1853,25995,49.14,6.92,24.52,250,25,4110,-3065,-276
2013-07-01,7.28,5.07,1926,26463,49.51,3.41,31.55,250,24,4607,-3238,-198
2013-10-01,7.67,5.19,2038,26577,48.16,5.8,21.62,250,26,5399,-4117,128
2014-01-01,9.7,6.51,2676,27576,577.33,512.08,538.62,325,27,5671,-4435,16
2014-04-01,9.66,6.58,2715,28117,66.79,-23.74,-16.36,325,25,5987,-4893,-44
2014-07-01,9.79,6.59,2818,28782,74.07,-13.99,3.92,325,26,6631,-5171,-79
2014-10-01,9.59,6.36,2781,28983,97.34,19.5,32.58,325,27,6914,-5944,-438
2015-01-01,9,5.83,2686,29859,470.56,402.15,424.34,390,29,7912,-5839,-482
2015-04-01,9.65,6.49,2966,30730,69.17,8.91,18.17,390,26,8200,-5940,-652
2015-07-01,9.55,6.42,2999,31384,55.53,-14.6,-5.24,390,25,7617,-5553,-762
2015-10-01,10.28,6.87,3256,31667,90.44,-3.78,-11.88,390,26,7365,-834,-706
2016-01-01,11.43,7.39,3766,32939,598.63,522.1,503.27,460,28,8288,-3007,-850
2016-04-01,12.3,8.47,4211,34245,79.03,-5.16,-4.49,460,23,8004,-3283,-1225
2016-07-01,12.46,8.33,4369,35050,78.03,-5.37,-11.45,460,25,8876,-2718,-1101
2016-10-01,12.09,7.86,4143,34279,75.58,-37.29,-37.23,460,27,8767,-8142,-989
2017-01-01,10.81,7,3784,34998,773.15,645.14,644.99,360,28,8729,-6337,-609
2017-04-01,8.54,5.85,3043,35613,77.6,4.25,10.84,360,23,7151,-3811,-772
2017-07-01,7.63,5.36,2759,36152,76.91,-4.96,6.18,360,21,6348,-4463,-757
2017-10-01,6.76,4.6,2451,36265,74.75,4.85,78.04,360,24,5898,-2435,-873
2018-01-01,6.08,4.05,2249,37008,536.94,466.54,474.41,310,25,5073,-2849,-987
2018-04-01,6.1,4.24,2295,37637,65.46,-15.03,-21.41,310,22,6992,-5524,-936
2018-07-01,5.36,3.98,2032,37906,65.81,-6.6,8.7,310,17,6809,-6234,-1012
2018-10-01,4.56,3.34,1722,37735,65.18,3.12,32.82,310,18,7307,-5405,-1024
2019-01-01,4.17,2.7,1596,38259,515.6,452.97,483.15,300,27,6380,-3846,-1958
2019-04-01,3.76,2.45,1428,37999,68.73,-2.07,15.77,300,27,5788,-3465,-3256
2019-07-01,4.39,2.85,1693,38531,891.47,822.71,831.02,300,27,7667,-2567,-4084
2019-10-01,3.97,2.59,1622,40836,61.22,-22.84,-146.67,300,28,8302,-4333,-2874
2020-01-01,3.08,2.02,1224,39808,411.53,349.36,354.35,230,27,7447,-6649,-4334
2020-04-01,2.07,1.4,825,39814,43.11,-17.49,-4.44,230,25,7366,-5383,-3132
2020-07-01,0.82,0.56,325,39844,41.02,-9.66,1.34,230,24,6373,-4709,-3051
2020-10-01,0.32,0.22,126,39407,28.32,-13.87,-460.6,230,24,6660,-4302,-4368
