date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,13.79,11.41,1790,12984,228.97,38.61,55.37,400,21,211,-240,-106
2011-07-01,11.18,8.65,1452,12987,229.45,30.01,-1.06,400,29,282,-224,-108
2011-10-01,9.25,6.95,1196,12937,324.53,3.86,32.44,400,33,266,-65,-133
2012-01-01,9.4,7.45,1260,13397,260.7,18.13,39.33,400,26,203,41,-91
2012-04-01,8.65,6.99,1202,13896,291.64,34.25,49.63,400,24,187,-164,-31
2012-07-01,12.24,10.08,1769,14456,300.48,31.77,55.72,400,21,71,-21,-29
2012-10-01,11.09,8.44,1558,14056,414.75,48.76,2.27,400,31,134,-110,-28
2013-01-01,9.89,7.7,1380,13946,277.01,0.76,2.19,200,28,144,-178,-28
2013-04-01,7.42,5.86,1048,14126,324.89,15.74,17.54,200,27,145,43,-31
2013-07-01,3.87,3.04,548,14166,303.45,9.75,13.55,200,27,100,-52,-34
2013-10-01,4.47,3.5,643,14376,428.79,28.06,21.66,200,28,112,164,-35
2014-01-01,3.85,3.17,552,14346,278.3,14.2,16.21,300,21,121,-172,-35
2014-04-01,4.59,3.77,672,14635,339.68,36.67,22.1,300,22,104,-188,-18
2014-07-01,5.45,4.53,808,14825,312.84,23.05,10.61,300,20,173,-141,-15
2014-10-01,5.96,4.81,903,15165,397.99,36.8,2.97,300,24,178,-240,-17
2015-01-01,5.52,4.51,826,14965,257.06,3.81,6.49,500,22,210,-123,-19
2015-04-01,5.02,4.14,762,15195,304.59,17.92,11.95,500,21,223,-18,-28
2015-07-01,5.64,4.74,876,15524,302.64,35.08,34.17,500,19,193,39,-28
2015-10-01,7.39,6.12,1191,16114,458.85,64.89,61.4,500,21,190,-33,-26
2016-01-01,8.25,6.75,1308,15844,268.96,12.14,15.05,700,22,213,153,-26
2016-04-01,8.4,6.82,1358,16154,328.49,22.92,26.27,700,23,246,-219,-43
2016-07-01,8.55,7.07,1411,16503,370.47,41.59,34.42,700,21,183,-311,-43
2016-10-01,8.5,6.81,1460,17183,440.19,74.43,68.55,700,25,244,-298,-43
2017-01-01,8.89,6.98,1495,16823,323.21,18.19,19.63,800,27,205,-520,-43
2017-04-01,9.27,7.5,1592,17183,351.62,35.96,35.56,800,23,246,-286,-61
2017-07-01,9.83,8,1742,17722,385.18,47.52,50.05,800,23,317,-281,-61
2017-10-01,8.85,7.28,1626,18372,416.18,67.72,58.91,800,22,244,-280,-61
2018-01-01,9.99,7.76,1744,17453,368.57,22.08,30.68,900,29,322,-175,-61
2018-04-01,11.02,8.5,1991,18062,391.2,43.94,59.91,900,30,337,-40,-69
2018-07-01,11.89,9.42,2238,18821,385.03,46.5,74.15,900,26,324,-173,-69
2018-10-01,11.75,9.33,2282,19421,420.71,65.66,52.65,900,26,314,-82,-69
2019-01-01,12.46,9.57,2374,19051,383.23,25.89,37.67,900,30,284,-218,-69
2019-04-01,11.56,9.15,2261,19550,404.22,47.58,46.64,900,26,208,-328,-78
2019-07-01,9.92,8.02,1989,20040,419.82,53.17,48.44,900,24,195,-203,-78
2019-10-01,9.31,7.36,1912,20549,422.79,53.72,56.72,900,26,226,-254,-81
2020-01-01,9.18,6.94,1845,20110,392.53,30.59,34.11,900,32,249,-187,-82
2020-04-01,9.39,7.17,1945,20709,432.4,50,55.38,900,31,375,-5,-83
2020-07-01,9.41,7.35,1999,21249,408.23,55.19,51.88,900,28,380,-176,-94
2020-10-01,8.58,6.63,1855,21628,493.1,62.54,40.46,900,29,376,-310,-90
