date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,6.59,6.27,373,5653,74.2,10.41,11.93,0,5,36,-30,4
2011-07-01,6.73,6.35,389,5785,72.92,5.95,11.97,0,6,44,-17,4
2011-10-01,5.92,5.51,366,6173,99.76,18.4,19.05,0,7,25,-34,4
2012-01-01,10.44,8.26,656,6287,91.73,5.52,41.67,0,26,163,-148,4
2012-04-01,14.83,13.19,1099,7407,178.57,64.72,59.79,0,12,155,-149,7
2012-07-01,20.93,19.11,1647,7866,170.29,54.03,73.68,0,10,221,-219,9
2012-10-01,22.46,20.38,1804,8034,153.3,36.5,30.13,0,10,261,-213,-1
2013-01-01,26.16,23.63,2217,8474,159.54,50.84,85.39,0,11,156,-101,-5
2013-04-01,22.48,20.88,1972,8774,136.41,20.31,32.77,0,8,186,-142,-6
2013-07-01,16.02,14.98,1429,8924,113.5,3.59,15.13,0,7,117,-100,-9
2013-10-01,18.13,16.53,1723,9506,151.68,7.24,64.95,0,10,107,-102,1
2014-01-01,11.05,10.22,1065,9638,170.86,20.21,11.58,0,8,91,-118,7
2014-04-01,18.44,16.77,2014,10926,345.66,166.81,131.77,0,10,125,-117,13
2014-07-01,32.87,28.97,5505,16746,795.04,457.72,408.02,0,13,473,-467,17
2014-10-01,37.64,31.74,6990,18571,740.03,354.23,227.81,0,19,830,-809,16
2015-01-01,45.08,36.91,9299,20626,819.29,350.44,267.57,0,22,1074,-1001,16
2015-04-01,46.52,38.74,9529,20482,957.75,393.83,301.97,0,20,1309,-1226,27
2015-07-01,23.97,21.33,8812,36768,1026.35,414.78,312.2,0,12,1308,-1215,1810
2015-10-01,24.72,21.61,9776,39549,1343.2,469.75,351.73,0,14,1380,-2463,1810
2016-01-01,26.19,23.03,11263,42999,1305,589.78,458.51,1400,14,1566,-2915,1809
2016-04-01,25.59,22.67,11794,46092,1216.78,475.86,373.36,1400,13,1684,-2922,1790
2016-07-01,24.19,21.59,11727,48485,1134.26,398.79,298.73,1400,12,1699,-2899,3
2016-10-01,23.9,21.32,11792,49340,1294.13,409.38,356.19,1400,12,1560,-1313,-196
2017-01-01,21.73,19.78,11035,50785,1165.57,494.6,362.58,1400,10,1429,-1419,-372
2017-04-01,20.45,18.64,11001,53800,1251.7,481.96,371.26,1400,10,1303,-1142,-360
2017-07-01,20.56,18.73,11692,56861,1216.89,489.58,393.43,1400,10,1358,-1440,-359
2017-10-01,18.71,16.98,11063,59122,1285.19,455.91,276.74,1400,10,1345,-1820,-159
2018-01-01,18.22,16.48,11046,60622,1127.6,389.84,403.68,1400,11,1491,-1234,-158
2018-04-01,17.11,15.78,10864,63481,1240.34,364.11,349.28,1400,8,1334,-1514,-169
2018-07-01,15.35,14.24,10079,65680,1194.1,378.82,295.43,1400,8,1254,-1173,-170
2018-10-01,15.36,14.26,10072,65579,1232.01,324.4,254.49,1400,8,1286,-776,-441
2019-01-01,14.55,13.09,9603,65991,1057.15,298.79,302.08,1400,11,1303,-641,-532
2019-04-01,14.48,13.45,9884,68275,1209.3,320.97,378.75,1400,8,1198,-474,-628
2019-07-01,14.3,13.32,10115,70738,1150.07,316.72,350.69,1400,7,1230,-603,-630
2019-10-01,12.16,11.19,8690,71461,1205.26,345.98,128.36,1400,9,1298,-893,-372
2020-01-01,11.99,11.06,8658,72199,973.94,250.22,322.37,1500,8,959,-884,-315
2020-04-01,10.92,10.03,8066,73854,1470.17,409.36,327.91,1500,9,1175,-868,-346
2020-07-01,9.31,8.51,7016,75354,1265.52,277.39,189.48,1500,9,1197,-622,-352
2020-10-01,8.26,7.69,6244,75625,1320.39,278.6,-23.8,1500,7,1026,-447,-350
