date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,9.48,1.56,3661,38631,7185.61,1055.07,845.84,673.08,485,-4534,-1927,2839
2011-07-01,8.89,1.42,3467,38997,10948.49,704.4,507.88,673.08,501,-10442,-772,7164
2011-10-01,5.76,1.12,2304,40014,4524.35,128.7,120.04,673.08,397,-11093,-3398,12764
2012-01-01,5.28,1.03,2177,41199,2616.16,187.09,-126.57,625,396,-6700,1621,6292
2012-04-01,4.24,0.82,1745,41100,7152.32,444.48,379.04,625,403,-9620,2413,7304
2012-07-01,4.56,0.83,1905,41763,7619.52,690.14,517.67,625,434,5060,1202,-2686
2012-10-01,4.95,0.92,2060,41603,5203.55,59.95,91.6,625,419,-412,2050,-423
2013-01-01,4.9,0.85,2077,42420,5471.66,523.99,266.03,96.15,459,-8953,2626,5166
2013-04-01,4.19,0.71,1753,41863,10596.8,147.38,125.57,96.15,467,722,129,-728
2013-07-01,2.86,0.45,1201,42005,4458.15,99.6,75.53,96.15,509,-20023,-549,16625
2013-10-01,2.13,0.34,891,41825,5812.5,-174.71,-117.24,96.15,497,-19434,-1710,19585
2014-01-01,1.55,0.26,660,42595,7077.36,600.52,470.88,625,485,-1758,-5658,7893
2014-04-01,1.38,0.21,582,42220,7076.03,-95.21,-76.86,625,534,-16243,-2833,20109
2014-07-01,5.23,0.79,2325,44445,8247.78,679.71,1680.51,625,562,-9246,58,13537
2014-10-01,6.7,0.89,2912,43487,8023.71,419.56,360.7,625,652,-15172,-2949,20271
2015-01-01,7.89,0.96,3449,43734,11332.18,1047.13,800.44,961.54,718,-28470,-2187,34634
2015-04-01,11.13,1.23,5047,45357,8069.08,1698.09,1213.6,961.54,803,-39043,-2289,45382
2015-07-01,7.99,0.93,3678,46048,14156.65,690.68,417.76,961.54,757,-28708,-4720,32773
2015-10-01,7.81,0.89,3490,44718,5243.55,275.75,143.96,961.54,780,-14172,-8397,23933
2016-01-01,6.99,0.73,3021,43193,15309.33,619.04,462.16,625,864,-5278,-13317,16773
2016-04-01,4.78,0.49,2107,44076,9292.79,631.93,479.87,625,882,9425,-19304,9686
2016-07-01,4.89,0.51,2169,44383,10575.35,601.2,461.86,625,851,9374,-23170,17145
2016-10-01,4.55,0.52,2211,48565,8433.72,117.88,229.53,625,768,14669,-25340,15222
2017-01-01,4.41,0.55,2057,46679,14494.39,739.38,556.71,1000,708,21738,-24103,9758
2017-04-01,4.66,0.56,2219,47636,8010.18,836.62,635.36,1000,733,13626,-18814,8494
2017-07-01,5.44,0.63,2644,48619,10226.64,1097.99,833.01,1000,757,-2862,-19522,24778
2017-10-01,6.16,0.72,3042,49380,11502.94,765.78,543.58,1000,760,-7890,-11666,20892
2018-01-01,7.81,0.87,3901,49973,12898.79,1828.4,1355.48,1400,801,-14982,-6699,20215
2018-04-01,8.3,0.99,4272,51468,11467.25,1256.98,917.01,1400,738,-9791,6711,2605
2018-07-01,7.71,0.92,4007,51994,9383.96,888.04,615.96,1400,733,-8324,23529,-15475
2018-10-01,7.17,0.87,3741,52207,14284.96,458.61,318.88,1400,722,-15202,27996,-11967
2019-01-01,6.81,0.8,3569,52372,21474.3,1413.98,1099.34,1700,756,-22807,29119,-6882
2019-04-01,6.58,0.74,3526,53568,15254.48,1258.84,911.82,1700,792,-32143,15814,17919
2019-07-01,6.97,0.8,3803,54543,14854.48,1171.88,862.77,1700,769,-30829,7873,22456
2019-10-01,7.92,0.88,4388,55423,13688.52,1093.43,828.21,1700,804,-39480,1887,38717
2020-01-01,6.04,0.52,3248,53815,57934.82,88.11,90.3,2200,1059,-47500,-6440,64612
2020-04-01,6.56,0.57,3645,55597,7999.74,1652.65,1215.95,2200,1053,-39111,-7353,61884
2020-07-01,9.05,0.78,5267,58223,15515.16,3078.69,2238.93,2200,1054,-22635,-28362,72540
2020-10-01,9.55,0.8,5686,59542,26716.57,1590.88,1186.27,2200,1101,-40231,-19452,75186
