date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,11.77,2.32,16534,140502,45410.11,3559.81,2724.96,3750,407,24091,-20127,-2532
2011-07-01,12.6,2.44,18100,143662,44666.6,2767.85,2102.49,3750,416,20964,-16960,-2736
2011-10-01,10.75,2.07,16304,151714,43806.08,1441.68,857.63,3750,419,36440,-30086,-1310
2012-01-01,10.29,2.03,16780,163034,38411.93,2810.21,2160.21,3750,406,29832,-26333,-640
2012-04-01,10.01,1.9,16328,163110,48591.55,3323.75,2511.8,3750,425,40662,-34902,-1993
2012-07-01,9.26,1.79,16176,174642,50013.02,2259,1848.83,3750,417,55846,-49657,-5008
2012-10-01,9.4,1.78,16794,178655,48768.26,1666.08,1206.42,3750,427,54118,-49260,-6311
2013-01-01,8.79,1.71,16603,188849,45205.71,2651.08,2037.79,2750,415,56817,-48114,-6313
2013-04-01,9.11,1.57,15523,170431,50926.07,2455.35,1888.05,2750,477,49399,-44732,-4735
2013-07-01,8.61,1.47,14939,173528,52541,2371.65,1831.63,2750,485,43911,-40915,-2419
2013-10-01,9.07,1.44,15068,166086,48584.73,1837.27,1332.61,2750,527,43642,-36634,-5390
2014-01-01,9.5,1.5,16097,169521,49365.98,3145.7,2425.04,4500,532,41480,-33685,-6592
2014-04-01,8.9,1.51,17068,191697,54812.32,3129.99,2375.8,4500,490,41282,-40945,-155
2014-07-01,9.04,1.54,18012,199153,52046.39,2845.03,2214.11,4500,485,38554,-38279,195
2014-10-01,8.78,1.44,17645,201085,50528.07,1516.85,951.19,4500,510,34294,-33142,-476
2015-01-01,8.55,1.48,18791,219685,50624.23,3823.57,2936.95,5150,476,31077,-33519,-1262
2015-04-01,8.94,1.46,18710,209322,57601.39,3108.7,2389.59,5150,512,28065,-23699,-6186
2015-07-01,8.22,1.36,17948,218331,54730.29,2275.99,1770.65,5150,503,34301,-28609,-5638
2015-10-01,8.06,1.28,17126,212584,50908.31,1261.76,729.95,5150,527,27011,-23574,-5202
2016-01-01,7.47,1.22,16619,222341,52033.99,3667.41,2842.87,6100,512,29364,-21074,-7291
2016-04-01,6.83,1.17,16474,241199,53885.77,2478.08,2313.47,6100,483,29021,-21489,-7383
2016-07-01,6.93,1.23,17621,254159,55115.1,2996.89,2399.52,6100,464,15702,-10141,-7383
2016-10-01,7.81,1.26,18112,232020,52324.64,1299.17,853.25,6100,520,16461,-11415,-4177
2017-01-01,9.46,1.55,22735,240376,56061.72,4303.85,5029.98,10000,509,12735,-12607,-100
2017-04-01,9.24,1.57,23795,257439,54311.72,3757.09,2767.88,10000,488,17555,-12277,-2601
2017-07-01,8.94,1.52,23416,261965,55086.86,2980.59,2246.33,10000,488,20255,-15830,-2601
2017-10-01,8.78,1.39,22224,253139,50677.75,159.9,-479.94,10000,533,25947,-20285,-2601
2018-01-01,7.44,1.12,17999,242014,53724.95,4102.15,3011.16,11500,566,15692,-13091,-2600
2018-04-01,8.06,1.22,19767,245150,57903.37,4955.47,3645.16,11500,561,11222,-8869,-4257
2018-07-01,7.82,1.21,20070,256522,54709.51,3208.38,2371.04,11500,545,12924,-8832,-4256
2018-10-01,8.65,1.35,22544,260640,52925.29,2097.14,1543.22,11500,542,21262,-14527,-4255
2019-01-01,7.76,1.23,21081,271613,54824.43,3111.08,2308.25,8500,531,23632,-17686,-4510
2019-04-01,6.01,0.99,17473,290631,58583.23,2619.37,1952.58,8500,505,24389,-17610,-5467
2019-07-01,5.22,0.89,15949,305681,58115.1,2186.08,1597.8,8500,488,20043,-14731,-5694
2019-10-01,4.5,0.76,13574,301877,54940.43,426.43,233.69,8500,495,9099,-9875,-5611
2020-01-01,4.32,0.69,12467,288320,59939.92,2272.55,1640.49,8800,525,19099,-14082,-5932
2020-04-01,4.54,0.76,13994,307923,60175.24,3641.4,2693.16,8800,496,5926,-1717,-4571
2020-07-01,4.57,0.78,14648,320682,59795.36,2641.1,1955.64,8800,482,10018,-6116,-4555
2020-10-01,4.64,0.82,15938,343276,56948.28,1638.43,1379.04,8800,469,14840,-2841,-4887
