date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,14.09,2.67,1347,9556,16188.35,944.13,710.87,67.31,428,603,189,-325
2011-07-01,14.42,2.64,1435,9949,17202.68,688.37,519.17,67.31,447,535,200,-325
2011-10-01,9.63,1.66,957,9937,17539.79,-34.93,-147.25,67.31,479,789,205,-326
2012-01-01,2,0.36,209,10468,16695.42,-858.68,-648.57,245.1,453,34,-21,1021
2012-04-01,0,0,-393,10513,19228.94,270.11,201.99,245.1,467,18,-12,1282
2012-07-01,0,0,-598,11092,17959.25,431.02,324.87,245.1,458,1625,-18,1283
2012-10-01,0,0,-124,11206,20921.03,556.34,418.97,245.1,452,95,-18,1283
2013-01-01,9.99,1.93,1175,11757,17550.77,537.81,409.52,181.37,417,1237,-14,-65
2013-04-01,13.92,2.59,1658,11909,20571.4,758.52,573.6,181.37,437,7683,-6883,-283
2013-07-01,15.22,2.88,1846,12129,19315.11,663.72,499.87,181.37,428,5608,-6548,-283
2013-10-01,13.43,2.56,1619,12054,19556.38,269.52,215.02,181.37,425,6708,-7074,-283
2014-01-01,9.45,1.74,1143,12101,19087.23,178.51,134.24,225,443,6159,-7885,-479
2014-04-01,9.36,1.7,1204,12866,21822.71,848.7,641.72,225,451,1414,-3171,-196
2014-07-01,7.82,1.46,1048,13399,18852.74,419.65,315.43,225,434,1108,-2774,-197
2014-10-01,6.39,1.39,976,15278,19786.28,122.55,71.8,225,360,45,-2280,1921
2015-01-01,8.56,1.92,1361,15899,20590.92,792.69,599.94,350,345,-899,-67,1858
2015-04-01,9.14,2.03,1495,16360,21872.91,1086.9,815.36,350,351,915,-978,1808
2015-07-01,9.09,1.99,1532,16861,20245.46,474.23,359.15,350,358,-1498,-287,1808
2015-10-01,9.25,2.08,1549,16755,21355.47,98.19,87.98,350,345,1143,-1435,-366
2016-01-01,8.37,1.92,1444,17257,19738.69,624.88,472.43,325,337,3652,-4011,-509
2016-04-01,7.2,1.64,1285,17851,22369.06,798.76,603.94,325,338,-184,-495,-513
2016-07-01,6.88,1.6,1235,17961,20874.12,394.81,299.42,325,329,3081,-2387,-511
2016-10-01,7.58,1.67,1330,17543,22388.48,272.34,249.6,325,354,4170,-3692,-504
2017-01-01,7.23,1.67,1264,17476,21091.48,516.57,388.83,300,334,4443,-3822,-101
2017-04-01,8.5,1.92,1552,18271,22677.51,1270.19,962.27,300,342,5444,-5675,-471
2017-07-01,8.12,1.81,1494,18390,22589.74,325.37,247.2,300,350,5907,-5888,-473
2017-10-01,6.15,1.32,1105,17970,24507.12,-361.23,-272.99,300,365,5597,-5789,-476
2018-01-01,6.74,1.47,1217,18066,22686.1,695.69,530.4,275,358,5605,-6112,-476
2018-04-01,4.9,1.08,909,18551,25847.45,748.23,562.25,275,356,4709,-4513,-445
2018-07-01,3.25,0.69,602,18526,23486.39,-187.22,-142.65,275,370,4729,-3995,-445
2018-10-01,4.6,0.96,855,18589,26818.01,166.16,77.04,275,380,3090,-2194,-445
2019-01-01,5,1.06,943,18873,25034.65,844.08,637.74,500,371,1964,-658,-491
2019-04-01,5.17,1.09,1011,19565,26400.54,893.9,687.77,500,373,3404,-364,-467
2019-07-01,7.23,1.49,1442,19953,26094.62,502.3,380.33,500,384,2961,-108,-477
2019-10-01,7.68,1.61,1568,20404,29020.95,269.72,205.82,500,378,3097,-590,-617
2020-01-01,6.95,1.37,1380,19867,26680.48,595.34,450.19,450,409,2362,1114,-1077
2020-04-01,6.85,1.34,1398,20413,29171.04,950.41,731.56,450,413,738,1349,-1618
2020-07-01,6.09,1.17,1242,20410,26429.94,236.57,188.54,450,419,1669,-326,-1836
2020-10-01,5.78,1.13,1180,20403,29947.97,250.67,133.4,450,410,5176,-2346,-1684
