date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,17.71,6.15,683,3855,2062.26,59.7,64.89,100,188,-227,-395,617
2011-07-01,20.94,7.69,897,4283,3144.46,338.64,169.55,100,172,608,-492,142
2011-10-01,27.56,10.11,1299,4715,2704.64,286.97,223.28,100,172,99,-274,372
2012-01-01,28.46,13.47,1420,4990,2351.25,132.37,110.43,120,111,211,-169,181
2012-04-01,29.2,12.92,1537,5263,2369.67,179.37,111.35,120,126,306,-212,176
2012-07-01,28.84,13.34,1689,5858,3489.5,259.06,230.59,120,116,-55,-276,475
2012-10-01,21.81,8.73,1278,5858,2544.91,34.28,61.9,120,150,408,-732,266
2013-01-01,19.74,7.54,1177,5960,2625.3,141.97,89.76,150,162,185,-651,608
2013-04-01,15.38,5.48,923,6000,2689.25,111.32,61.64,150,180,245,-764,582
2013-07-01,15.44,5.98,1021,6613,3513.86,262.07,261.37,150,158,214,-733,492
2013-10-01,15.66,6.24,1065,6803,2919.04,152.45,128.57,150,151,270,-595,449
2014-01-01,17.63,7.17,1242,7048,2949.94,202.1,151.64,200,146,492,-806,306
2014-04-01,21.88,9.24,1625,7425,2765.16,149.7,167.91,200,137,780,-734,-106
2014-07-01,18.88,7.7,1529,8098,3694.93,352.57,241.35,200,145,1148,-914,227
2014-10-01,18.66,7.88,1544,8273,3013.64,270.3,153.97,200,137,965,-828,132
2015-01-01,18.18,7.9,1546,8505,2999.1,276.44,224.91,250,130,1115,-781,-122
2015-04-01,17,6.59,1514,8908,3077.75,240.95,180.17,250,157,143,-758,709
2015-07-01,19.82,7.37,1955,9860,4909.56,548.39,358.08,250,168,-36,-903,1119
2015-10-01,24.3,10.42,2586,10640,3655.59,342.12,223.89,250,133,144,-551,1237
2016-01-01,24.4,11.26,2641,10823,3541.87,260.02,215.81,330,117,424,-728,1015
2016-04-01,23.28,10.32,2591,11130,3250.16,216.39,152.09,330,126,635,-825,628
2016-07-01,18.9,7.71,2226,11780,4096.34,289.93,274.66,330,117,877,-1079,629
2016-10-01,10.43,4.06,1174,11255,3331.39,92.58,-196.9,330,125,569,-502,422
2017-01-01,9.4,3.89,1039,11053,2999.04,48.49,154.82,450,115,443,-1036,255
2017-04-01,7.47,3.02,835,11178,3181.08,112,55,450,120,1007,-1093,-68
2017-07-01,6.6,2.69,774,11743,4250.61,310.33,210.98,450,120,907,-266,-924
2017-10-01,9.09,3.94,1081,11893,3115.53,25.65,-44.98,450,109,717,-1295,-671
2018-01-01,5.14,2.19,577,11225,2784.66,-99.23,-18.38,450,112,599,-152,-381
2018-04-01,2.33,0.93,258,11098,2987.65,76.17,-105.66,450,123,143,-89,-162
2018-07-01,1.75,0.68,205,11703,4234.01,208.24,126.52,450,134,-33,-621,398
2018-10-01,0,0,-1268,10305,3160.06,93.24,-670.28,450,138,-213,-251,198
2019-01-01,0,0,-971,9963,3205.87,120.93,114.77,500,151,93,-544,99
2019-04-01,0,0,-608,10180,3304.73,185.5,91.53,500,153,-4,-303,229
2019-07-01,0,0,-674,10613,4871.41,339.03,136.25,500,162,242,54,-216
2019-10-01,0,0,-5,9945,3957.75,132.49,-226.7,500,159,879,-154,-270
2020-01-01,0,0,-470,9180,3352.49,109.27,-88.63,500,167,567,-172,-439
2020-04-01,0,0,-417,9303,3800.54,-28.4,82.97,500,192,121,1,275
2020-07-01,1.55,0.53,163,10525,5778.92,427.26,357.25,500,169,489,-117,87
2020-10-01,10.66,4.4,1123,10535,3641.33,32.02,83.05,500,142,507,-35,-310
