date,roe,roa,eps,bps,sales,margin,net_margin,dps,debt_ratio,run_money,invest_money,financial_money
2011-04-01,8.27,1.12,1031,12470,8218.33,424.72,346.77,160,637,732,587,1957
2011-07-01,6.32,0.82,514,8144,14668.65,432.96,381.35,160,666,18291,-10965,-3853
2011-10-01,3.95,0.75,459,11613,9681.13,251.48,238.64,160,429,13839,-3737,-2437
2012-01-01,4.2,0.74,499,11888,-3238.41,1029.13,748.92,120,465,822,-2148,4593
2012-04-01,4.11,0.7,484,11794,8808.74,207.24,218.98,120,488,5291,-5652,3173
2012-07-01,4.9,0.76,588,12005,10983.16,512.92,405.17,120,542,-9675,2342,16168
2012-10-01,4.6,0.78,551,11964,6985.84,149.73,93.7,120,494,-13074,7484,6459
2013-01-01,3.55,0.56,430,12124,4464.35,352.14,273.36,0,528,-23627,13803,16318
2013-04-01,3,0.45,359,11948,12654.38,7.05,40.44,0,561,-28994,17304,21424
2013-07-01,1.4,0.2,167,11867,10025.54,-8.47,-25.63,0,591,-18656,9025,10254
2013-10-01,0.3,0.04,35,11695,264.69,-349.37,-352.67,0,564,-5842,-8533,15902
2014-01-01,0.42,0.06,50,11911,8607.96,590.84,446.81,250,589,25634,-22629,663
2014-04-01,1.52,0.22,183,12012,12150.49,554.74,453.98,250,601,23169,-28782,4049
2014-07-01,3.98,0.58,492,12376,17753.59,1365.31,979.23,250,586,33988,-26341,-2213
2014-10-01,4.92,0.67,614,12470,-371.63,41.75,48.14,250,633,10917,-30809,10371
2015-01-01,6.44,0.79,809,12559,14362.17,1339,1043.13,330,716,-13812,-5958,8761
2015-04-01,7.83,0.96,1009,12879,13096.59,1494.45,1143.77,330,711,-20254,-5850,15149
2015-07-01,6.7,0.84,882,13154,24010.15,692,510.05,330,700,-23930,-6797,18000
2015-10-01,4.95,0.6,508,10260,-1995.26,263.71,161.17,330,723,-38436,-35,41128
2016-01-01,2.28,0.27,296,12982,17027.89,619.51,471.53,50,743,-38042,-12209,52413
2016-04-01,0.94,0.11,123,13141,13797.53,489.27,395.25,50,765,-27574,-3471,43171
2016-07-01,0.81,0.1,106,13145,16694.3,594.91,476.91,50,731,-52217,1711,58216
2016-10-01,0.59,0.07,118,19866,-6065.15,-1270.77,-1065.47,50,759,50146,-539,-33634
2017-01-01,1.65,0.18,160,9733,29127.8,914.69,702.56,220,790,57030,-737,-40661
2017-04-01,2.92,0.3,309,10569,19508.02,1658.99,1262.89,220,862,52317,-10294,-34766
2017-07-01,4.04,0.36,433,10716,20291.59,1648.93,1256.74,220,1012,38300,-11577,-20959
2017-10-01,6.84,0.56,738,10793,25720.66,1309.59,1022.09,220,1127,-41446,-4585,40500
2018-01-01,7.36,0.62,889,12084,30316.14,1816.08,1718.66,220,1075,-30956,-15457,42167
2018-04-01,7.13,0.57,890,12483,33928.92,2254.65,1457.19,220,1141,-54515,-11057,58753
2018-07-01,6.39,0.49,799,12502,18518.22,909.47,645.41,220,1199,-33774,-12819,45692
2018-10-01,5.49,0.39,694,12629,29990.01,432.08,519.6,220,1314,-48756,-28419,80542
2019-01-01,5.04,0.33,645,12788,39985.68,811.14,674.94,260,1413,-54452,-15067,69153
2019-04-01,5.58,0.36,740,13255,35887.92,2160.22,1506.78,260,1421,-44485,-21500,79696
2019-07-01,6.05,0.41,836,13812,33447.02,1695.04,1327.41,260,1383,-40925,-31726,77378
2019-10-01,7.22,0.5,1001,13865,18255.53,1356.24,978.08,260,1348,-33753,-21600,59158
2020-01-01,6.55,0.5,911,13902,84431.23,923.03,647.42,200,1195,-26476,-5470,65308
2020-04-01,7.16,0.5,1057,14765,12622.02,3330.23,2486.65,200,1310,9995,-12111,39352
2020-07-01,8.14,0.58,1199,14727,22590.17,2856.79,2013.82,200,1296,8016,-15033,22222
2020-10-01,8.87,0.63,1274,14363,32309.56,3991.23,759.43,200,1301,8439,-17028,5058
