date,open,high,low,close,volume
20110401,65900,66900,65000,66800,1345147
20110404,66700,67500,65900,66100,922612
20110405,66300,66800,64700,65500,697964
20110406,65300,65900,63800,64600,772366
20110407,64300,64500,63200,63700,817926
20110408,63600,64900,63200,64800,847822
20110411,64000,64100,62200,63100,1278882
20110412,63800,64300,62700,62800,808879
20110413,64400,65300,64000,64700,1207714
20110414,65100,65200,64000,64900,670435
20110415,64600,66000,64000,65600,833716
20110418,66100,66200,63600,64200,991159
20110419,63500,64600,62700,63500,615083
20110420,63900,64200,63000,63700,867077
20110421,63300,63900,61700,62600,1378672
20110422,62300,62600,61200,61900,915958
20110425,62600,64500,62500,63400,1277234
20110426,63800,63900,62500,63200,608583
20110427,64100,65000,63400,64500,1263939
20110428,64900,65300,63600,64900,1014780
20110429,65200,65500,63400,65500,1109085
20110502,66400,70000,65900,69800,2939039
20110503,68800,70000,67200,69300,1728708
20110504,70500,70900,69100,69300,1382514
20110506,71300,71800,69600,70400,1960106
20110509,71000,71500,68200,69200,965507
20110511,68100,70000,67200,69100,1016037
20110512,70100,70700,67900,67900,839030
20110513,68000,68900,66700,67100,605705
20110516,66300,67500,65200,66500,555942
20110517,67300,68500,67100,67200,603013
20110518,67600,69700,67500,68800,693394
20110519,68400,69300,67600,68400,535284
20110520,69300,69300,67800,67900,312018
20110523,67900,67900,65100,65500,581522
20110524,65700,66700,64100,65800,553182
20110525,65900,66000,63200,63400,651465
20110526,63600,64100,62600,63500,706101
20110527,63800,64000,62400,62800,951792
20110530,63200,63600,62600,62600,375945
20110531,62600,63900,62600,63200,391668
20110601,63300,64300,62800,63000,721918
20110602,62600,63400,62200,63000,433241
20110603,63500,63700,61900,62300,582212
20110607,61600,63100,61400,62800,513292
20110608,63700,64600,63300,63800,685996
20110609,63500,65400,62700,64700,712601
20110610,64700,65300,64000,64100,457831
20110613,64800,65100,64100,64400,310030
20110614,64700,65400,64300,65000,465806
20110615,65600,68100,65400,67100,841280
20110616,67700,68000,66600,67000,515493
20110617,68000,68400,66100,67100,455953
20110620,67600,69200,67600,68600,813971
20110621,69000,69300,67600,68900,545107
20110622,68900,69000,66800,66800,946752
20110623,66000,68000,65800,67300,377444
20110624,69900,70400,69100,70200,1523482
20110627,70000,70800,69500,70200,549192
20110628,70400,70500,69000,70100,625244
20110629,70400,70700,69700,70100,413431
20110630,69600,69900,68400,69700,706639
20110701,70400,70600,69500,70100,629077
20110704,70900,73000,70900,72300,1140044
20110705,72000,72100,71200,71700,685070
20110706,71100,72100,70500,72000,712303
20110707,73000,73000,70700,71200,805367
20110708,70800,71100,69100,70700,1194735
20110711,70500,71700,70100,71400,461859
20110712,70600,71500,70400,70800,384493
20110713,70500,72300,69700,72000,609917
20110714,71300,71300,69100,69900,912237
20110715,70200,70700,69400,70000,392962
20110718,70500,70500,68200,69000,592806
20110719,68700,70400,68700,70100,522459
20110720,70600,72000,70600,71400,766242
20110721,71700,72300,71100,71400,438427
20110722,72000,72100,70800,71500,428569
20110725,70800,71200,70000,70800,408195
20110726,70700,70800,68900,69200,692562
20110727,69000,69300,67900,68400,748692
20110728,67400,68500,67000,68500,701716
20110729,68000,68500,67100,67200,502128
20110801,67500,68300,67400,67500,423476
20110802,67100,67400,64900,65900,1121667
20110803,65200,66900,64200,66000,589127
20110804,66900,68300,66200,67200,913784
20110805,64200,66000,64000,65900,885638
20110808,65100,66900,63000,65200,922029
20110809,64200,64500,59400,64300,899544
20110810,65500,67000,63100,64200,956708
20110811,62000,64200,61000,63300,606099
20110812,63300,63500,61000,61300,793945
20110816,62000,62900,61400,62100,692659
20110817,61800,62700,61200,61800,517119
20110818,61600,62000,58200,59000,884218
20110819,56600,57000,54700,55200,754047
20110822,54300,56400,53300,55700,497416
20110823,56900,58300,55400,57600,822103
20110824,58100,58600,55400,56400,552752
20110825,56700,57400,55000,55400,525639
20110826,54900,56400,54900,56200,310657
20110829,57200,58900,56300,57900,830935
20110830,58600,59300,57500,57700,372194
20110831,58000,58700,57200,58100,364374
20110901,58900,59400,56300,56800,859515
20110902,56400,57000,55400,55500,497827
20110905,54600,55000,52700,53100,616424
20110906,51900,55800,51600,54900,842899
20110907,56100,60100,55800,59000,1094030
20110908,59100,60300,58200,59200,665342
20110909,59100,59300,58300,58600,240334
20110914,56400,57500,55200,56200,658710
20110915,57100,57600,53500,55400,648732
20110916,55900,56800,55700,55900,404782
20110919,55700,57000,53900,54400,492895
20110920,53500,54600,52700,53600,627564
20110921,53600,54100,53100,53600,404773
20110922,52200,52800,49400,49750,1339349
20110923,47050,47450,42300,43250,2038645
20110926,44400,45200,39400,41200,1730896
20110927,42700,44250,42300,44250,1098338
20110928,44000,44350,42900,43000,752947
20110929,42700,43750,41350,43750,1197186
20110930,43900,44700,43600,44200,639670
20111004,40700,41200,39850,40500,1004909
20111005,40800,41000,38050,38550,1017371
20111006,39950,42250,39650,41850,790257
20111007,43000,45450,43000,45000,966649
20111010,44600,45500,43850,44500,490558
20111011,45850,46200,44800,45100,823409
20111012,44800,44800,43850,44300,632781
20111013,45400,50800,45300,49000,2034810
20111014,48850,49500,47650,48600,700766
20111017,49200,51000,49200,50300,969523
20111018,48500,49500,48000,48500,861665
20111019,49050,50400,48000,49800,646955
20111020,49950,50000,46300,46750,779536
20111021,47600,47950,45150,47000,632415
20111024,48050,51300,48000,51100,1118262
20111025,50900,51400,50000,50200,466902
20111026,49250,50200,48950,50200,406571
20111027,50800,52100,49650,52000,864445
20111028,53500,54000,51600,52100,992812
20111031,52300,52300,50000,50000,478036
20111101,49000,49750,48800,49400,517458
20111102,47950,48650,47200,48600,445233
20111103,48600,48900,47200,47800,354531
20111104,48950,49200,48600,49200,475600
20111107,49300,49400,48650,49150,234134
20111108,49250,49350,47000,47100,852970
20111109,47500,48000,46300,46750,597555
20111110,45050,45100,43150,43150,822565
20111111,44200,45150,43850,44850,459851
20111114,45600,46150,45100,45300,529759
20111115,45150,45450,44200,44500,325300
20111116,44800,45250,43850,43900,340190
20111117,43500,43750,42850,43750,456998
20111118,42900,43250,42500,42750,493702
20111121,42500,43350,42150,42700,341617
20111122,41850,42450,41800,42100,430018
20111123,42400,43050,42050,42500,660534
20111124,42600,44600,42000,44150,954970
20111125,44000,44650,43550,43850,386557
20111128,44500,45150,44400,45150,445082
20111129,45500,45500,44500,45500,547162
20111130,45500,46550,45400,45900,565058
20111201,47200,47450,46650,47200,794734
20111202,47100,47200,45950,46700,442733
20111205,47000,47050,46250,47000,289853
20111206,47000,47250,45500,45950,395096
20111207,46200,47450,45950,47450,435956
20111208,47200,48900,47050,48400,730323
20111209,47800,48900,47350,48250,452660
20111212,49100,49150,48350,48800,408340
20111213,48200,48200,47000,47500,255634
20111214,47500,47500,46000,46850,287379
20111215,46400,46450,45750,46050,386816
20111216,46600,46650,45050,45600,479406
20111219,45450,45450,41500,42200,1024745
20111220,42550,43050,41900,42750,545184
20111221,43600,43850,43150,43700,429367
20111222,43700,43800,43250,43700,162370
20111223,44000,44150,43600,43700,371261
20111226,43900,44200,43400,43550,231643
20111227,43100,43800,42800,42800,284981
20111228,42600,43300,42300,42400,365719
20111229,42100,43700,42100,43500,337795
20120102,43750,44400,43250,43500,332926
20120103,43900,44900,43900,44700,572606
20120104,45000,45000,44050,44400,376736
20120105,44400,44600,43300,44000,478889
20120106,43550,44100,42700,43150,382897
20120109,42750,42800,42300,42600,327611
20120110,42850,43550,42700,42900,469177
20120111,43100,43100,42100,42450,588567
20120112,42700,42850,42300,42850,371693
20120113,43000,44500,43000,44500,1170929
20120116,43950,45450,43550,45050,904034
20120117,45300,47150,45200,47000,1287833
20120118,46600,47050,46100,46450,672894
20120119,46850,47700,46550,47100,591213
20120120,47300,48000,47100,47550,476126
20120125,47400,48000,46650,47300,420198
20120126,47050,49000,47050,48600,868283
20120127,48900,50900,48650,50300,1307124
20120130,50700,51100,49800,50600,671205
20120131,50600,52200,49700,50900,702601
20120201,51000,54800,50900,54100,1340598
20120202,55800,57300,55300,56400,1468378
20120203,56400,56500,54400,55600,661394
20120206,56400,56400,54200,55900,492394
20120207,55300,56100,53900,54500,488712
20120208,54900,57500,54100,57100,901918
20120209,57700,58800,56300,57500,632746
20120210,56700,57700,56300,56900,381608
20120213,56900,57100,55700,56200,394079
20120214,55500,57500,55500,56300,529933
20120215,56500,58300,56400,57800,541059
20120216,57500,58000,56500,56800,412221
20120217,57100,58500,57100,58100,664159
20120220,57500,58900,56100,56600,583546
20120221,56600,56700,52400,53000,2180002
20120222,52400,53100,51700,52800,923196
20120223,52600,53300,52000,52400,483843
20120224,51900,52800,51900,52800,351656
