date,open,high,low,close,volume
20110401,69000,69100,67800,68700,3206379
20110404,70700,70700,68700,69100,3026757
20110405,68700,70000,68200,69900,1961873
20110406,70100,73400,69700,72900,4963256
20110407,73600,74300,72000,72500,3621502
20110408,72200,73500,72100,72800,2274287
20110411,72800,73400,71800,72300,2485236
20110412,72400,72700,70100,70300,3760186
20110413,70000,73600,70000,73500,3439067
20110414,73500,76500,73100,75300,4864084
20110415,75000,75900,74100,75600,3088541
20110418,75700,78100,75600,77200,3989253
20110419,76500,77800,76000,76700,3750780
20110420,77500,77500,76100,76700,3396990
20110421,76900,78800,75600,77300,4959892
20110422,77900,79900,77200,78000,3690131
20110425,78800,80500,78500,80500,3043089
20110426,81500,84600,81400,82400,6190624
20110427,83400,83800,76100,77600,10296217
20110428,76600,79700,76000,79700,8527942
20110429,81800,82000,76500,76900,8130361
20110502,76800,77600,75500,77300,5477350
20110503,76500,76700,71900,73300,9365228
20110504,72900,75500,72500,74200,6580194
20110506,73100,74200,71700,72500,3669468
20110509,72700,74900,72000,74500,3158384
20110511,75000,76000,74600,76000,3184634
20110512,75200,75900,74500,74500,2552843
20110513,75000,75200,71200,72100,5147889
20110516,71200,71700,70300,70300,3041226
20110517,70400,72500,70000,72100,3007155
20110518,72800,74900,72400,74800,3403601
20110519,75000,75500,71700,71800,4397370
20110520,72600,74200,72100,72500,2877479
20110523,69800,70400,69100,69100,4738112
20110524,68400,71300,66700,70400,6229531
20110525,71500,73100,70200,70200,3447812
20110526,71900,75100,71500,74900,5119796
20110527,75300,76800,73900,75100,4388751
20110530,75900,76000,73900,74600,2011528
20110531,74200,76000,73900,75700,3581491
20110601,76000,76400,72400,72900,4675646
20110602,71000,73900,71000,72700,3288954
20110603,73600,74600,72700,73100,2002184
20110607,73000,74100,72200,72300,2133662
20110608,72700,72900,70400,71100,2935574
20110609,70600,71300,69500,70500,2837766
20110610,71200,72500,70200,70500,2396926
20110613,70000,71400,70000,70800,1893885
20110614,70800,73300,70700,73200,2708667
20110615,74000,74000,72000,72600,2626884
20110616,71300,71500,70300,70500,2966807
20110617,71000,71200,66900,69000,6601540
20110620,69600,70600,68100,68200,3469570
20110621,69300,69700,66100,68400,3584875
20110622,69700,69700,68900,69400,1942997
20110623,68800,69100,67200,67500,3151609
20110624,68000,70200,68000,70200,3591353
20110627,70100,71000,69700,70400,2086655
20110628,71300,71500,69700,69700,1815672
20110629,71100,71900,71000,71600,2342119
20110630,72200,72700,71500,72300,2274002
20110701,73200,74200,72700,74000,2993284
20110704,75400,76000,74700,74900,2494284
20110705,75500,75900,74800,75400,2167195
20110706,75200,76200,74800,76000,2273585
20110707,76100,76900,75600,76600,2223546
20110708,77400,77800,76700,76900,2162875
20110711,76500,76500,74500,74800,2437755
20110712,73300,73600,71700,71800,3671320
20110713,72500,74200,71900,74200,2748848
20110714,74100,75200,73300,75200,2090837
20110715,75400,76300,74800,75200,1951859
20110718,75500,75600,74200,75100,1495845
20110719,74600,76500,74600,75600,2322562
20110720,77000,77300,75600,76400,2520594
20110721,76800,77200,74500,75000,2531070
20110722,75800,77300,75500,77300,3438240
20110725,77800,78900,77300,78300,3229065
20110726,78800,79000,77500,78600,2079664
20110727,78000,79700,77600,79400,2620490
20110728,77700,79100,77200,77500,2462458
20110729,78500,79200,77400,77400,2638913
20110801,79000,80900,78500,80900,4424762
20110802,80100,80400,77100,77700,4559058
20110803,75400,77000,74600,75700,4841219
20110804,76500,76600,73000,73400,3187213
20110805,69000,74100,66500,72800,8268260
20110808,72100,73600,66000,70000,8579565
20110809,68400,70500,63800,69000,12973634
20110810,73100,73300,70000,70000,6698343
20110811,67100,71500,67100,70300,5760534
20110812,70700,71300,66400,66600,7204079
20110816,68400,70100,68400,69700,3570803
20110817,69600,70900,69300,69800,2393624
20110818,69900,70200,66700,67600,3299792
20110819,64500,65000,62500,62500,5827062
20110822,62100,63300,58100,59000,5496741
20110823,60100,65200,59000,64500,6636851
20110824,65400,67800,64000,64000,5965625
20110825,66100,67200,65000,65200,2991834
20110826,64900,67000,64200,67000,2754716
20110829,68700,69200,67400,68300,3193420
20110830,69000,69600,67700,68900,2411279
20110831,69500,70800,68900,70600,2751398
20110901,71000,71800,69500,69500,3435456
20110902,70000,70500,68800,69100,2527053
20110905,68100,68200,66000,66000,2050294
20110906,64200,67700,63600,67200,2816516
20110907,68800,69500,67800,69400,1791528
20110908,70400,70500,68600,69700,1947734
20110909,69000,69500,68100,68500,1322023
20110914,68400,68500,65500,65900,2386863
20110915,67900,68300,66300,67500,1825553
20110916,69000,70000,68200,70000,3154719
20110919,70000,70500,69100,69600,1525502
20110920,69000,71500,68500,71500,2859289
20110921,71800,72700,70600,72200,2531368
20110922,70200,72000,70100,71600,2431140
20110923,69000,70200,67600,67700,4021104
20110926,68700,69200,65300,67000,3512553
20110927,68800,71000,68400,71000,3182475
