date,open,high,low,close,volume
20201230,139200,141100,138600,139500,130855
20201229,140100,140400,138100,139100,127194
20201228,138700,140000,137500,140000,157656
20201224,136000,142100,135700,137600,243215
20201223,135000,137000,134200,135700,127023
20201222,135900,136500,134800,134800,116678
20201221,135700,136600,134400,136500,96712
20201218,136500,137400,135400,135400,111427
20201217,138600,139300,135900,136200,178689
20201216,135400,139700,135000,139700,176559
20201215,136800,136900,134300,135000,124834
20201214,136700,137900,135300,135900,128909
20201211,136800,137800,135200,137000,155436
20201210,134700,137700,134600,137300,156476
20201209,137500,137500,135500,136100,95142
20201208,134000,138000,134000,135800,159114
20201207,136800,136900,133100,134000,121468
20201204,136900,137300,135000,137000,101704
20201203,135000,137600,134500,136900,149751
20201202,133800,135000,133000,133600,78970
20201201,134600,134600,132800,133300,120432
20201130,137300,137900,133200,133200,155979
20201127,137900,138300,136600,137000,76528
20201126,137000,137800,135300,137500,84760
20201125,139200,139500,134700,136900,134149
20201124,136000,138000,135000,137900,127991
20201123,134900,136200,133900,135200,114298
20201120,134200,136500,133800,135500,94139
20201119,134100,134400,132400,134200,126629
20201118,136200,137200,134700,135100,72151
20201117,136000,136100,134000,135700,77553
20201116,134200,136000,133700,135200,68918
20201113,135500,135500,133000,133500,92292
20201112,137100,138200,135600,136000,80703
20201111,135000,137700,134000,137700,106220
20201110,138300,138900,133900,134700,131465
20201109,133900,135600,133300,134300,84571
20201106,137000,137000,132600,133100,119659
20201105,134500,137500,133900,135500,82733
20201104,132800,135600,131100,134400,78355
20201103,132400,134100,131500,131800,53979
20201102,131500,133200,130100,131200,73696
20201030,136700,136700,131000,131500,69820
20201029,134400,137300,133400,136800,72499
20201028,131200,137400,130200,137100,99559
20201027,131000,133000,129700,131100,1202580
20201026,135900,136500,129600,130400,155386
20201023,136100,137600,134600,137000,55738
20201022,139400,140200,135400,135400,86098
20201021,139600,140400,137500,140300,52348
20201020,136200,139800,135600,139500,87618
20201019,139100,140800,137100,137300,93234
20201016,137200,138500,134800,137400,99892
20201015,143000,144300,136900,137200,237389
20201014,145000,146800,140500,142500,178426
20201013,147200,149000,142500,145500,135404
