,광주신세계,A037710,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,536.08,537.45,566.61,504.71,508.27,558.44,527.56,495.66,500.51,542.34,525.99,493.61,505.3,523.3,518.8,485.81,503.72,544.99,529.73,503.74
,영업이익,115.98,175.44,152.72,142.32,106.02,180.8,141.12,138.22,106.63,173.85,136.59,127.73,106.76,147.28,136.13,127.65,113.34,170.6,139.57,132.48
,순이익,111.48,153.84,140.29,131.46,104.32,161.62,128.59,133.83,86.24,137.04,111.16,102.63,88.95,119.62,112.85,106.54,96.86,142.75,117.77,101.56
,영업이익율(%),21.63,32.64,26.95,28.2,20.86,32.38,26.75,27.89,21.3,32.06,25.97,25.88,21.13,28.14,26.24,26.28,22.5,31.3,26.35,26.3
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,515.48,555.29,517.38,507.53,505.18,566.38,513.21,488.07,527.05,0,371.43,351.77,379.78,445.81,332.95,389.39,327.46,425.29,0,
,영업이익,115.58,172.84,130.16,136.47,114.89,181.37,128.94,113.95,115.44,0,137.11,112.16,127.32,174.43,100.15,130.59,88.16,164.2,0,
,순이익,102.18,134.04,114.39,123.12,104.77,136.19,113.7,104.39,105.95,0,134.37,105.13,115.02,122.16,96.67,117.84,87.31,129.78,0,
,영업이익율(%),22.42,31.13,25.16,26.89,22.74,32.02,25.12,23.35,21.9,0,36.91,31.88,33.52,39.13,30.08,33.54,26.92,38.61,0,
