,와이엔텍,A067900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,112.18,131.82,137.03,138.35,96.87,112.93,84.96,108.82,94.27,116.24,96.9,120.47,124.54,144.43,99.5,127.55,133.27,127.18,112.23,122.56
,영업이익,18.42,15.89,20.92,28.57,13.21,7.58,11.34,22.5,13.55,22.79,14.25,16.99,11.89,27.25,5.28,25.58,30.49,14.79,16.02,18.72
,순이익,13.79,5.31,14.03,19.63,7.18,2.56,7.95,16.46,9.23,16.01,8.68,17.12,2.24,9.45,2.13,15.46,13.1,7.76,14.16,12.03
,영업이익율(%),16.42,12.05,15.27,20.65,13.64,6.71,13.35,20.68,14.37,19.61,14.71,14.1,9.55,18.87,5.31,20.05,22.88,11.63,14.27,15.27
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,126.63,141.54,144.39,151.52,156.71,152.61,136.35,150.28,152.62,178.47,167.08,209.94,232.03,253.33,262.38,262.93,240.41,234.04,0,
,영업이익,23.68,23.33,15.06,32.13,38.45,25.85,24.9,31.99,33.29,47.16,35.17,54.79,76.77,61.92,73.57,89.42,82.57,54.01,0,
,순이익,26.38,0.53,17.35,22.73,29.01,18.95,18.77,20.22,24.54,30.42,26.92,41.41,62.01,37.41,55.38,66.87,59.25,22.21,0,
,영업이익율(%),18.7,16.48,10.43,21.21,24.54,16.94,18.26,21.29,21.81,26.42,21.05,26.1,33.09,24.44,28.04,34.01,34.35,23.08,0,
