,제넥신,A095700,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,지배순이익YOY(%),29.69,-311.79,-260.69,-85.21,84.82,156.8,0.14,69.06,-1516.26,-125.28,396.46,-229.3,64.94,-496.26,-145.24,49.59,693.83,238.67,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,12.18,0,13.8,26.29,8.11,14.31,3.51,10.91,15.88,27.25,43.38,53.02,59.64,10.51,30.27,82.17,6.97,205.78,28.71,20.41
,영업이익,0.54,0,-4.76,0.51,-9.55,-13.12,-12.92,-14.77,-15.19,-27.62,7.35,-3.64,-14.35,-41.44,-16.01,20.15,-84.44,91.17,-28.1,-100.74
,순이익,4.05,0,-4.26,0.72,-4.17,-14.66,-15.4,-16.82,-17.19,-40.58,3.32,-13.53,-23.54,-40.39,4.77,14.25,-95.63,62.34,-30.91,-79.15
,영업이익율(%),4.43,0,-34.49,1.94,-117.76,-91.68,-368.09,-135.38,-95.65,-101.36,16.94,-6.87,-24.06,-394.29,-52.89,24.52,-1211.48,44.3,-97.88,-493.58
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,6.76,57.65,22.02,17.79,59.98,184.76,19.07,17.92,21.35,70.48,7.16,27.76,41.44,36.67,77.03,17,6.82,84.59,0,
,영업이익,-58.87,-45.56,-61.98,-55.44,-29,-122.16,-93,-136.94,-89.45,-61.44,-127.64,-136.84,-50.05,-130.83,-49.06,-97.74,-116.96,-123.53,0,
,순이익,-67.24,-73.01,-82.7,-73.26,40.31,-77.65,-111.33,-45.36,-165.02,-18.96,297.89,-214.34,-89.56,-159.08,-68.81,-89.3,330.1,10.44,0,
,영업이익율(%),-870.86,-79.03,-281.47,-311.64,-48.35,-66.12,-487.68,-764.17,-418.97,-87.17,-1782.68,-492.94,-120.78,-356.78,-63.69,-574.94,-1714.96,-146.03,0,
