,인트론바이오,A048530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,24.86,29.19,18.92,23.28,20.38,19.16,20.27,23.49,22.77,26.24,21.2,24.62,24,29.98,22.9,24.1,21.73,49.62,23.32,24.23
,영업이익,2.82,1.62,-1.37,-3.8,-2.16,-3.83,1.88,0.03,0.02,-1.35,2.17,3.55,3,2.53,3.01,1.91,0.16,16.24,-1.81,-1.88
,순이익,3.3,2.17,-0.82,-6.26,-2.9,-1.86,2.22,0.34,0.37,0.61,1.58,3.32,3.47,-8.16,1.84,0.68,0.81,12.25,-1.76,-1.94
,영업이익율(%),11.34,5.55,-7.24,-16.32,-10.6,-19.99,9.27,0.13,0.09,-5.14,10.24,14.42,12.5,8.44,13.14,7.93,0.74,32.73,-7.76,-7.76
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,22.17,32.49,24.06,30.86,22.58,32.13,23.59,25.15,19.04,138.06,17.62,25.24,18.59,22.01,32.66,233.57,70.07,118.04,0,
,영업이익,-4.41,-3.65,-3.79,-3.62,-5.64,-6.18,-9.51,-8.8,-18.75,89.38,-10.28,-8.49,-12.23,-10.54,-8.15,116.47,8.91,43.31,0,
,순이익,-3.65,1.51,2.52,-32.81,3.37,-44.8,-12.04,37.65,-43.47,105.61,29.8,32.81,-26.86,-66.61,-4.85,96.39,21.18,40.27,0,
,영업이익율(%),-19.89,-11.23,-15.75,-11.73,-24.98,-19.23,-40.31,-34.99,-98.48,64.74,-58.34,-33.64,-65.79,-47.89,-24.95,49.87,12.72,36.69,0,
