,파세코,A037070,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,431.41,289.99,141.75,116.02,462.93,328.63,110.27,269.41,609.63,281.84,173.43,286.75,563.79,357.17,142.42,261.82,548.14,261.78,136.94,205.64
,영업이익,41.64,18.52,-14.05,-14.66,56.3,23.01,-21.52,15.12,102.71,6.95,-11.24,-1.1,72.21,23.62,-15.35,2.67,69.55,17.75,-11.62,-4.78
,순이익,39.32,7.75,-15.79,-16.37,57.05,15.9,-25.1,12.34,94.08,-6.32,-11.78,-2.5,59.58,14.66,-16.71,2.82,56.91,15.84,-9.17,-1.89
,영업이익율(%),9.65,6.39,-9.91,-12.64,12.16,7,-19.52,5.61,16.85,2.47,-6.48,-0.38,12.81,6.61,-10.78,1.02,12.69,6.78,-8.49,-2.32
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,392.4,284.55,151.39,264.22,472.81,324.44,183.33,311.47,477.15,522.16,250.21,470.23,642.32,441.33,300.3,701.02,555.94,423.83,0,
,영업이익,25.37,20.58,-18.67,1.23,34.69,22.07,-11.46,-0.87,21.63,43.81,-12.66,31.55,58.07,30.86,-20.73,96.92,66.13,26.43,0,
,순이익,27.19,12.33,-11.63,-0.61,32.49,16.47,-7.21,0.34,16.36,38.01,-4.88,29.1,45.86,16.35,-8.81,72.82,55.08,22.64,0,
,영업이익율(%),6.47,7.23,-12.33,0.47,7.34,6.8,-6.25,-0.28,4.53,8.39,-5.06,6.71,9.04,6.99,-6.9,13.83,11.9,6.24,0,
