,한일현대시멘트,A006390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,668.04,831.33,464.16,917.7,728.61,857.31,607.55,1037.61,713.53,897.58,625.21,940.28,790.21,895.02,642.21,1026.38,961.39,1001.9,780.73,1090.27
,영업이익,39.79,88.49,-159.94,176.49,91.59,144.23,-58.49,284.12,100.12,130.91,-30.63,221.28,124.48,171.71,-0.28,275.07,137.43,112.99,36.07,255.98
,순이익,-141.09,-527.69,-195.03,132.54,68.34,-399.31,-108.15,-150.55,84.55,-3299.63,1988.96,-611.15,631.75,819.88,-1670.37,1115.62,-356.28,801.22,-658.97,-2170.93
,영업이익율(%),5.96,10.64,-34.46,19.23,12.57,16.82,-9.63,27.38,14.03,14.58,-4.9,23.53,15.75,19.19,-0.04,26.8,14.29,11.28,4.62,23.48
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,886.01,1031.55,747.83,1028.24,842.71,868.06,637.27,1064.07,709.32,985.48,798.65,1143.7,913.24,985.54,725.97,956.25,744.33,916.13,0,
,영업이익,101.85,139.82,-195.72,212.87,139.5,92.34,-77.59,121.9,-5.65,165.94,-48.17,214.56,129.7,56.15,-48.08,259.5,179.39,180.45,0,
,순이익,164.19,1165.9,91.87,326.04,-109.22,306.31,-40.22,-376,-5.71,128.39,-21.09,202.77,92.22,139.29,61.83,168.17,141.64,256.18,0,
,영업이익율(%),11.5,13.55,-26.17,20.7,16.55,10.64,-12.18,11.46,-0.8,16.84,-6.03,18.76,14.2,5.7,-6.62,27.14,24.1,19.7,0,
