,네이처셀,A007390,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,지배순이익YOY(%),-915.71,-614.23,-32.21,-12.47,178.11,98.24,327.38,-405.78,40.58,4643.33,-66.84,96.28,-290.75,-32.06,-579.69,-3142.31,-215.72,-694.33,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,65.2,56.72,52.13,84.82,82.26,52.85,45.56,105.49,74.87,66.17,51.5,61.75,73.21,67.1,55.93,96.44,82.92,70.25,65.18,69.8
,영업이익,-1.89,0.21,-1.57,1.39,3.02,-7.41,-1.3,6.46,2.71,3.53,0.63,-8.64,-1.44,-3.6,-5,-4.33,-1.33,-0.98,-4.87,-5.36
,순이익,-2.36,-3.31,-2.74,-5.13,-0.8,-10.33,-2.38,-25.22,-3.62,-3.87,16.65,-10.61,16.64,-3.73,-6.65,-2.62,0.7,-4.78,-3.26,-3.69
,영업이익율(%),-2.9,0.37,-3.01,1.64,3.67,-14.02,-2.85,6.12,3.62,5.33,1.22,-13.99,-1.97,-5.37,-8.94,-4.49,-1.6,-1.4,-7.47,-7.68
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,69.64,63.25,74.2,75.76,75.73,46.47,60.16,44.78,67.55,94.66,50.59,54.2,40.16,85.77,34.68,34.61,29.19,68.72,0,
,영업이익,-3.64,-22.42,0.13,1.46,4.6,-11.44,-3.5,-24.36,5.47,34.66,0.56,0.45,-8.37,24.96,-10.54,-17.93,-21.42,-14.22,0,
,순이익,-5.71,-19.57,0.43,2.71,6.51,-14.26,9.8,-20.99,6.27,27.26,3.25,-0.78,-11.96,18.52,-15.59,-25.29,-37.76,-110.07,0,
,영업이익율(%),-5.23,-35.45,0.18,1.93,6.07,-24.62,-5.82,-54.4,8.1,36.62,1.11,0.83,-20.84,29.1,-30.39,-51.81,-73.38,-20.69,0,
