,대한그린파워,A060900,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,지배순이익YOY(%),89.26,108.34,100,-5.83,-3428.17,-573.62,0,32.7,37.49,-124.14,26.05,-27.74,-154.98,65.08,-3.76,-79.06,59.05,-456.18,0,
,,,,,,,,,,,,,,,,,,,,,
,개별 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,76.59,82.55,65.13,71.76,68.29,61.96,47.98,45.39,46.77,62.52,42.69,55.9,26.04,0,7.05,4.52,92.64,51.96,56.87,62.33
,영업이익,3.87,2.53,6.13,3.68,-4.85,-13.41,-5.73,-8.4,-15.11,-7.94,-8.86,-18.52,-2.09,0,-15.54,-15.13,-0.56,-41.57,-7.53,8.42
,순이익,3.33,-2.43,3.75,1.28,-4.36,-57.57,-10.04,-39.02,-17.92,-48.86,-14.54,-37.72,-10.46,0,52.9,-54.1,-6.61,-69.26,-10.28,-19.74
,영업이익율(%),5.05,3.06,9.41,5.13,-7.1,-21.64,-11.94,-18.51,-32.31,-12.7,-20.75,-33.13,-8.03,0,-220.43,-334.73,-0.6,-80,-13.24,13.51
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,66.55,146.07,116.92,53.92,65.35,85.21,160.67,54.04,11.05,55.04,14.56,30.33,76.24,16.82,3.1,4.43,8.78,22.14,0,
,영업이익,2.69,0.15,4.29,-14.28,-15.26,-37.01,-17.54,-7.59,-9.49,-34.24,-15.59,-18.98,-34.6,-11.95,-15.01,-27.16,-11.71,-9.01,0,
,순이익,-0.71,6.9,0,-20.89,-25.05,-32.68,-20.88,-13.93,-17.07,-65.35,-16.51,-26.29,-39.19,-27.24,-17.01,-31.92,-9.28,-146.49,0,
,영업이익율(%),4.04,0.1,3.67,-26.48,-23.35,-43.43,-10.92,-14.05,-85.88,-62.21,-107.07,-62.58,-45.38,-71.05,-484.19,-613.09,-133.37,-40.7,0,
