date,open,high,low,close,volume,korcom
20191226,52400,54900,50000,54100,798766,143709
20191227,53200,54400,52700,54000,66735,9368
20191230,53900,55900,53600,54600,51972,7020
20200102,54700,55800,53500,54900,46472,25389
20200103,55800,56200,54500,54500,30370,3209
20200106,53700,55000,53600,54000,30172,13853
20200107,54000,57500,54000,56400,95709,54706
20200108,56500,57300,55300,55500,42793,15155
20200109,56200,56600,55200,55200,29647,7658
20200110,55500,57200,55400,57000,46043,23201
20200113,57800,60800,57100,59800,61427,18823
20200114,60000,61200,59100,59600,23448,-1850
20200115,59600,60600,59600,60100,16699,-624
20200116,60100,60900,59300,60900,23249,14488
20200117,60700,61700,60000,60200,22730,5536
20200120,60200,61000,56100,56600,47037,-2533
20200121,56700,57700,55700,56000,13939,-2989
20200122,56500,56900,55200,56700,13141,1198
20200123,56000,56600,54700,55000,18894,-603
20200128,52000,52400,50400,51000,34854,-11537
20200129,51200,52500,50300,51700,22784,-3678
20200130,51200,51500,48500,49200,24121,-4690
20200131,49850,49900,48450,48450,13029,-1441
20200203,47250,49850,47250,49800,14651,2938
20200204,49800,50500,48500,49750,11485,-404
20200205,50400,50500,45650,45950,35523,-18120
20200206,46500,47000,45900,46800,16418,-922
20200207,46950,46950,46250,46300,6232,-1732
20200210,46700,46700,45700,46000,6433,-1491
20200211,46100,47150,46050,46450,5250,283
20200212,46900,48300,46450,48300,7116,384
20200213,49100,49400,47650,48000,21914,-7038
20200214,48700,48800,47950,48150,6877,-3497
20200217,48800,50100,48250,49450,12308,3577
20200218,49300,49300,47950,48050,9021,1144
20200219,48200,48500,47150,47850,5524,-868
20200220,48000,48000,46650,47150,5791,-1041
20200221,46850,47750,46000,46000,11114,-1592
20200224,44600,45000,44050,44150,9114,33
20200225,44000,45950,43400,45200,12935,5945
20200226,45000,45000,44300,44800,15237,1035
20200227,44200,45650,44000,44350,7975,1631
20200228,44300,44300,41350,42600,17224,477
20200302,42450,43750,41750,43250,11303,2019
20200303,43700,44300,42050,42650,15609,-492
20200304,42650,43450,42400,43450,4924,2291
20200305,43700,44700,43100,43850,11927,33
20200306,43450,43450,42200,42700,7714,-2151
20200309,42000,42000,40850,41600,7597,-316
20200310,41600,42000,40600,41950,11392,5767
20200311,42000,42200,39200,39700,18669,-3018
20200312,39200,39200,35400,37950,27409,3256
20200313,35000,36000,32700,36000,52727,15588
20200316,36900,37000,33850,34900,8717,727
20200317,32800,35900,32600,35900,16991,6525
20200318,35900,37500,34900,36000,25755,6672
20200319,36000,36350,32050,33500,17401,-185
20200320,33500,34150,31300,34150,21265,-2152
20200323,32950,32950,29600,30800,12175,-2705
20200324,30950,31750,30100,31700,10456,-1077
