date,open,high,low,close,volume,korcom
20201230,8080,8310,8060,8260,28577,0
20201229,8120,8120,7970,8080,28790,0
20201228,8190,8270,8030,8030,22264,0
20201224,8200,8340,8160,8200,13542,0
20201223,8290,8440,8160,8200,26073,0
20201222,8380,8650,8270,8290,38435,0
20201221,8400,8420,8270,8410,19124,0
20201218,8440,8440,8360,8400,20555,0
20201217,8440,8480,8350,8440,15467,0
20201216,8440,8440,8350,8420,16284,0
20201215,8370,8470,8290,8350,25671,0
20201214,8550,8640,8440,8440,20648,0
20201211,8690,8690,8520,8630,25992,0
20201210,8630,8720,8470,8570,11327,0
20201209,8480,8850,8390,8630,26340,0
20201208,8400,8500,8390,8400,15532,0
20201207,8490,8570,8390,8400,30001,0
20201204,8800,8800,8540,8570,33143,0
20201203,8780,8880,8690,8800,21422,0
20201202,8700,8880,8700,8770,20123,0
20201201,8840,8840,8680,8760,25722,0
20201130,9050,9050,8820,8840,13599,0
20201127,9140,9140,8850,9000,15249,0
20201126,9000,9010,8610,8870,21875,0
20201125,9110,9190,8870,9000,28753,0
20201124,9170,9200,9050,9100,25994,0
20201123,9340,9340,9120,9160,30410,0
20201120,9000,9390,8900,9330,91269,0
20201119,9040,9050,8920,8990,9409,0
20201118,9000,9170,8900,9040,13261,0
20201117,9200,9310,8930,8990,22954,0
20201116,9350,9350,9130,9200,23946,0
20201113,9190,9290,9040,9140,21752,0
20201112,9010,9360,9010,9190,23721,0
20201111,9120,9120,8660,9080,21257,0
20201110,9240,9270,9100,9120,25315,0
20201109,9140,9290,9140,9240,49018,0
20201106,8580,9760,8580,9100,317573,0
20201105,8210,8550,8210,8510,22944,0
20201104,8200,8310,8120,8260,10407,0
20201103,8000,8250,7910,8170,20014,0
20201102,7980,8130,7910,8000,11198,0
20201030,8240,8410,7980,7980,24688,0
20201029,8220,8390,8200,8280,8815,0
20201028,8200,8610,8170,8510,28426,0
20201027,8040,8290,7990,8200,30294,0
20201026,8800,8800,8160,8190,33831,0
20201023,8740,8920,8590,8610,22859,0
20201022,8620,9410,8620,8740,74495,0
20201021,8690,8790,8570,8730,16510,0
20201020,8440,8680,8320,8600,52111,0
20201019,8850,8930,8630,8720,13653,0
20201016,8920,9070,8700,8840,33922,0
20201015,9220,9280,8870,9010,32244,0
20201014,9460,9460,9110,9220,19949,0
20201013,9380,9600,8920,9450,32870,0
20201012,9430,9660,9270,9450,20153,0
20201008,9300,9710,9250,9430,40804,-400
20201007,9050,9320,8950,9320,27502,0
20201006,9250,9370,9130,9230,21814,0
20201005,9390,9390,9120,9240,18494,0
20200929,9290,9290,9110,9240,23905,0
20200928,8800,9170,8670,9160,38955,0
20200925,8680,8890,8250,8620,33574,0
20200924,8820,9030,8600,8680,48167,0
20200923,9170,9420,8960,9080,37983,0
20200922,9600,9700,9130,9230,62228,0
20200921,10100,10100,9600,9690,76188,0
20200918,9900,10150,9900,9990,31255,0
20200917,10350,10350,9940,9940,61215,0
20200916,10400,10600,10100,10300,64473,0
20200915,10500,10500,10250,10400,44566,0
20200914,10350,10450,10200,10450,48267,0
20200911,10250,10300,10100,10200,35255,0
20200910,10800,10800,10200,10350,57880,-300
20200909,10400,10500,10150,10300,87178,0
20200908,9980,10950,9980,10650,172179,0
20200907,9900,10300,9850,10100,64473,-1
20200904,9830,10150,9710,9980,105857,0
20200903,10600,10600,10200,10350,98702,0
20200902,9950,11050,9850,10600,295960,-500
20200901,9970,10050,9730,9930,29670,0
20200831,10050,10100,9840,9970,45531,0
20200828,9650,10150,9520,9910,73226,-500
20200827,10000,10000,9530,9600,92846,0
20200826,10250,10300,9960,10050,65974,0
20200825,9800,10450,9800,10300,100040,0
20200824,9870,10000,9100,9890,53740,0
20200821,9500,9950,9450,9870,76879,-300
20200820,9710,10050,9330,9490,112934,0
20200819,9700,10100,9700,9930,80791,0
20200818,10350,10400,9710,9760,174369,0
20200814,10650,10650,10350,10500,71263,0
20200813,10600,10750,10450,10450,52566,0
20200812,11000,11000,10450,10450,121990,0
20200811,11000,11100,10800,11000,61126,0
20200810,11500,11500,10850,11000,88399,0
20200807,11350,11550,11150,11300,63828,0
20200806,11750,11900,11250,11450,84195,0
20200805,11750,12050,11500,11700,110896,0
20200804,11200,12050,11200,11900,179772,0
20200803,11200,11350,10750,11250,131090,0
20200731,11500,11550,11150,11200,77649,0
20200730,11550,11750,11300,11450,86477,0
20200729,11700,11750,11450,11550,85025,0
20200728,12050,12050,11700,11750,59973,0
20200727,11750,12100,11600,11800,90407,0
20200724,12000,12050,11650,11750,123283,0
20200723,12600,12600,12000,12100,184822,0
20200722,12600,13050,12400,12450,146161,0
20200721,13000,13000,12700,12700,98862,0
20200720,13150,13400,12850,12900,160514,-300
20200717,12800,13050,12750,13050,107315,0
20200716,12900,13250,12600,12800,172748,0
20200715,12750,12900,12450,12900,115494,0
20200714,12950,12950,12400,12650,151118,0
20200713,13200,13400,12900,12950,154145,0
20200710,13400,13400,12900,13000,134161,0
20200709,13550,13750,13300,13400,184498,0
20200708,13400,13800,13150,13400,280308,0
20200707,13200,13500,12700,13450,243321,0
20200706,12600,13400,12200,13150,379188,0
20200703,12650,12650,12250,12450,78126,0
20200702,12950,12950,12250,12450,122819,0
20200701,12800,13200,12450,12600,150675,0
20200630,12900,13050,12300,12800,155343,0
20200629,12450,13400,12000,12350,344652,-600
20200626,13000,13700,12650,12800,230818,0
20200625,12700,13200,12650,12850,195445,0
20200624,13300,14200,13050,13350,415054,-3099
20200623,12900,14850,12900,13250,1226245,-201
20200622,12900,12900,12350,12850,164244,0
20200619,12250,13800,12200,12950,1165966,1300
20200618,12200,12250,11750,11950,120801,0
20200617,12200,12400,11650,11900,180709,-10757
20200616,11800,12650,11700,12400,343903,-12775
20200615,13000,13150,11250,11250,578106,-44823
20200612,13450,13850,12600,13200,720772,-212725
20200611,15400,15450,14250,14450,342832,0
20200610,15150,16000,15100,15550,646830,0
20200609,15350,15500,14800,15150,223903,0
20200608,15100,15700,14650,15350,551880,0
20200605,14200,14850,13800,14850,460792,0
20200604,13850,13950,13000,13900,200253,-1187
20200603,14400,14400,13600,13750,227866,-500
20200602,14100,14400,13550,14300,243325,0
20200601,13800,14350,13600,14150,324260,500
20200529,14300,14350,13450,13650,373975,0
20200528,15850,15850,14000,14500,714825,-361
20200527,16150,16200,15400,15650,597487,0
20200526,15850,17100,15550,16450,1809247,600
20200525,15600,17300,15350,15900,3477953,-1730
20200522,15200,17100,14950,15250,3544936,0
20200521,15750,16300,14950,14950,2378619,0
20200520,14600,18350,14350,15850,15356000,-4300
20200519,11600,14850,11600,14850,13729759,-1200
20200518,11800,12000,11350,11450,922013,0
20200515,11850,13400,11450,12150,4629696,-900
20200514,11400,12850,11200,11600,4481650,-26790
20200513,11650,11950,10950,11650,3594411,-12800
20200512,9070,11800,9070,11800,10215834,-6576
20200511,9200,9370,9010,9110,836462,0
20200508,8450,9750,8400,9400,3755028,-48942
20200507,8310,8620,8160,8280,488767,-42638
20200506,8230,8500,8060,8320,832220,-36076
20200504,7800,8030,7560,7900,227822,0
20200429,8000,8210,7930,7980,314478,-1880
20200428,8190,8320,7880,7920,370372,0
20200427,8060,8400,7960,8200,729493,12994
20200424,8100,8430,7830,7890,1770156,-8160
20200423,7500,8090,7360,7900,1164653,-8618
20200422,7250,7400,7050,7400,211334,-38
20200421,7540,7810,7030,7370,680743,0
20200420,7590,7850,7440,7480,529513,-1483
20200417,7440,7670,7110,7590,677868,0
20200416,7160,7440,6850,7350,831200,-100
20200414,6450,7560,6430,7150,2081055,-50935
20200413,7050,7060,6370,6380,495046,-25416
20200410,7410,7430,6930,7050,361326,9451
20200409,7630,7960,7310,7360,674840,0
20200408,7750,7750,7400,7560,449893,-7
20200407,7600,8110,7470,7770,1367950,-10
20200406,7210,7530,6970,7350,1030877,0
20200403,7350,7350,6820,7040,537847,-2894
20200402,7200,7370,6790,7200,897170,-13
20200401,5730,7310,5720,7290,2762164,-63174
20200331,5600,5870,5400,5630,549212,25227
20200330,5120,5630,5010,5480,526838,2095
20200327,5470,5610,4950,5150,628735,8587
20200326,5350,5700,5190,5280,844303,-9490
20200325,5410,5510,5110,5300,779821,2335
20200324,5010,5370,4930,5290,894842,2247
20200323,4510,5190,4510,5150,2083628,-2544
20200320,4200,4830,4115,4500,950319,-309
20200319,5340,5400,3925,4050,797099,-1031
20200318,6200,6250,5130,5200,919673,-12
20200317,5700,6450,5530,6040,1132556,16
20200316,7460,7660,6220,6220,1477845,-742
20200313,7800,7800,6250,7100,2201163,24571
20200312,11250,12000,8550,8800,8809329,-1443309
