date,open,high,low,close,volume,korcom
20201230,12420,12470,12390,12445,7914,593
20201229,12510,12590,12495,12500,3491,-993
20201228,12545,12560,12525,12530,2163,157
20201224,12525,12525,12460,12520,6280,-1862
20201223,12320,12390,12285,12380,4308,-1580
20201222,12465,12470,12420,12460,3379,-2072
20201221,12565,12565,12490,12555,1193,19
20201218,12575,12640,12540,12570,3671,1527
20201217,12600,12645,12600,12640,1356,-465
20201216,12640,12685,12605,12685,2503,-509
20201215,12550,12550,12435,12440,4828,-823
20201214,12610,12655,12555,12600,3967,-146
20201211,12675,12710,12655,12700,6817,-903
20201210,12660,12730,12625,12725,2634,719
20201209,12645,12725,12640,12725,4691,-827
20201208,12605,12685,12605,12685,3020,-1073
20201207,12740,12775,12665,12765,3760,2067
20201204,12550,12595,12545,12595,9416,-492
20201203,12500,12540,12500,12540,2641,-303
20201202,12350,12460,12350,12420,10362,-913
20201201,12285,12285,12260,12260,12241,-974
20201130,12530,12540,12505,12535,1370,379
20201127,12535,12635,12530,12535,4685,-745
20201126,12575,12645,12530,12645,9523,-970
20201125,12500,12745,12500,12670,11599,885
20201124,12360,12385,12300,12380,7046,350
20201123,12160,12160,12060,12160,2205,-180
20201120,12130,12215,12115,12215,1721,-80
20201119,12120,12210,12090,12210,8097,-581
20201118,12295,12365,12295,12360,4761,567
20201117,12335,12370,12305,12330,4960,50
20201116,12040,12075,11800,12015,2767,311
20201113,11965,11965,11770,11795,5317,-399
20201112,12010,12070,12010,12060,3487,-290
20201111,12070,12175,12070,12175,10411,-167
20201110,11955,11975,11870,11960,11302,5631
20201109,11180,11235,10905,11225,1379,16
20201106,11395,11395,11290,11290,1273,77
20201105,11135,11135,11110,11130,2318,-465
20201104,11505,11505,11305,11385,3840,122
20201103,11180,11205,11105,11205,3345,-722
20201102,10915,10915,10815,10910,594,147
20201030,10895,10920,10815,10920,1655,618
20201029,10770,10770,10670,10770,3750,-2911
20201028,11050,11105,11050,11105,997,-106
20201027,11320,11320,11225,11265,2811,2
20201026,11455,11500,11445,11445,7926,4290
20201023,11315,11520,11315,11445,1971,952
20201022,11245,11315,11215,11315,1782,-476
20201021,11310,11335,11300,11300,655,41
20201020,11275,11275,11240,11265,975,684
20201019,11340,11405,11305,11365,4722,-144
20201016,11370,11370,11310,11310,845,395
20201015,11305,11305,11235,11300,499,264
20201014,11340,11345,11310,11340,581,114
