date,open,high,low,close,volume,korcom,forvol
20101001,559000,568000,557000,568000,25963,-4108,18921332
20101004,568000,580000,568000,580000,57287,-6164,18937642
20101005,578000,578000,573000,578000,30120,-3626,18943803
20101006,577000,591000,577000,590000,30369,-7882,18960242
20101007,580000,585000,573000,580000,14394,289,18961969
20101008,572000,572000,558000,568000,16821,-868,18960209
20101011,564000,568000,553000,561000,20555,-1659,18960793
20101012,558000,560000,544000,547000,44500,2185,18947931
20101013,555000,555000,546000,548000,81592,-194,18946056
20101014,552000,556000,549000,553000,15485,192,18946566
20101015,553000,560000,550000,560000,43852,488,18946728
20101018,560000,561000,551000,551000,7020,1219,18945816
20101019,552000,554000,550000,553000,14083,-17,18946629
20101020,548000,557000,548000,557000,15951,-1100,18948919
20101021,560000,562000,552000,556000,31102,-2039,18950439
20101022,559000,561000,556000,560000,31292,-71,18951250
20101025,561000,562000,558000,559000,12150,-841,18953404
20101026,559000,560000,556000,558000,22746,-7198,18962508
20101027,558000,561000,556000,557000,9289,-603,18964637
20101028,558000,564000,558000,562000,10848,612,18965431
20101029,562000,562000,544000,553000,30640,596,18964508
20101101,547000,555000,547000,553000,12111,37,18965089
20101102,560000,561000,551000,556000,20820,-1660,18967684
20101103,556000,561000,551000,558000,15469,2110,18968195
20101104,559000,578000,556000,576000,31766,1860,18971800
20101105,584000,591000,580000,588000,17397,655,18975712
20101108,593000,593000,588000,592000,20403,182,18979750
20101109,588000,595000,582000,592000,18073,-396,18982441
20101110,589000,600000,588000,600000,16147,401,18985869
20101111,595000,598000,593000,596000,11451,-172,18985645
20101112,595000,596000,588000,595000,16316,-5719,18992888
20101115,595000,602000,590000,598000,27676,3692,18987092
20101116,599000,605000,590000,598000,28395,3261,18984475
20101117,591000,596000,588000,592000,7456,3075,18981984
20101118,598000,598000,586000,594000,17937,1168,18979007
20101119,595000,607000,595000,604000,39135,-656,18980908
20101122,601000,605000,598000,600000,35725,14992,18957217
20101123,600000,604000,597000,600000,30429,-308,18956081
20101124,582000,600000,582000,599000,18258,7799,18948178
20101125,600000,601000,589000,596000,19731,2109,18945960
20101126,597000,599000,590000,597000,22141,303,18952429
20101129,595000,596000,590000,590000,13074,3592,18946839
20101130,588000,594000,578000,578000,61493,-1881,18947184
20101201,585000,586000,578000,581000,16894,-5092,18951652
20101202,586000,615000,584000,613000,38015,-2292,18963749
20101203,616000,630000,615000,621000,57952,10134,18955980
20101206,626000,626000,616000,621000,14815,1416,18955185
20101207,622000,632000,615000,623000,52344,8247,18944150
20101208,623000,626000,615000,623000,24298,9421,18935927
20101209,625000,632000,623000,632000,31005,3158,18932375
20101210,625000,632000,624000,630000,59599,-3611,18936596
20101213,637000,637000,629000,632000,25051,1782,18932264
20101214,635000,644000,630000,634000,30680,3209,18929284
20101215,632000,633000,619000,630000,23864,-417,18926328
20101216,625000,625000,615000,615000,13272,4497,18914929
20101217,620000,626000,619000,626000,11529,3706,18912146
20101220,623000,630000,623000,630000,16929,-4921,18920650
20101221,630000,634000,627000,630000,16543,3394,18915972
20101222,630000,638000,630000,634000,28159,695,18916625
20101223,633000,638000,632000,638000,24757,672,18919475
20101224,636000,638000,634000,636000,13576,75,18920591
20101227,636000,639000,634000,636000,12285,1431,18922445
20101228,636000,646000,636000,640000,15406,1509,18921124
20101229,638000,643000,637000,641000,23699,6826,18917089
20101230,640000,657000,640000,649000,15020,-122,18920563
20110103,653000,687000,649000,687000,12012,-4244,18928637
20110104,690000,692000,679000,691000,18492,-3862,18936384
20110105,677000,680000,669000,679000,17744,3364,18931159
20110106,680000,680000,663000,671000,11746,3164,18927334
20110107,655000,665000,651000,663000,23607,4000,18919278
20110110,659000,668000,655000,663000,29376,-11860,18932128
20110111,664000,668000,654000,658000,24566,1515,18929304
20110112,658000,663000,656000,662000,22512,856,18926568
20110113,668000,668000,650000,653000,15469,2668,18918610
20110114,656000,658000,643000,658000,10477,1004,18915913
