date,open,high,low,close,volume,korcom
20201230,14335,14640,14320,14640,62,-6
20201229,14315,14355,14230,14335,151,0
20201228,14200,14200,14080,14110,4856,0
20201224,13915,14055,13880,14050,1692,-32
20201223,13740,13825,13635,13810,38081,2028
20201222,13875,13875,13640,13665,15763,-8
20201221,13790,13915,13695,13915,107,-25
20201218,13830,13835,13755,13790,50,9
20201217,13760,13770,13610,13760,17687,21
20201216,13795,13800,13735,13785,50,20
20201215,13750,13750,13630,13725,63710,0
20201214,13745,13775,13715,13725,50,0
20201211,13710,13735,13670,13720,123,42
20201210,13500,13685,13500,13630,107,0
20201209,13450,13630,13450,13630,59,27
20201208,13460,13460,13380,13390,916,9
20201207,13405,13535,13320,13420,1666,-11
20201204,13420,13485,13420,13475,221,-1
20201203,13235,13320,13220,13320,10421,299
20201202,13230,13260,13170,13260,141,0
20201201,12980,13070,12960,13065,308,-1
20201130,13065,13065,12855,12855,1376,-1
20201127,13000,13050,13000,13045,1933,6
20201126,12985,13050,12930,13050,52,2
20201125,13200,13200,12915,12975,159,-2
20201124,13035,13145,13010,13105,818,116
20201123,12780,13005,12735,12990,178,-115
20201120,12635,12780,12635,12780,862,0
20201119,12595,12705,12595,12700,570,-1
20201118,12735,12765,12645,12705,1073,7
20201117,12795,12805,12710,12745,50,0
20201116,12645,12780,12645,12745,11241,-1
20201113,12395,12500,12355,12495,302,-12
20201112,12495,12540,12440,12485,1082,0
20201111,12415,12520,12415,12500,53,-1
20201110,12380,12380,12295,12350,58,0
20201109,12295,12375,12275,12275,245,-25
20201106,12180,12220,12110,12130,60,1
20201105,12050,12170,12050,12165,557,0
20201104,11955,12000,11875,11965,71,1
20201103,11770,11900,11770,11900,56,6
20201102,11570,11675,11475,11670,69,0
20201030,11705,11725,11510,11510,40,0
20201029,11785,11835,11705,11835,498,0
20201028,11825,11920,11790,11920,75,0
20201027,11775,11920,11775,11835,1651,0
20201026,12065,12065,11875,11905,187,9
20201023,12005,12060,11970,12040,40,0
20201022,11985,12040,11960,12015,50,0
20201021,12035,12065,12015,12060,2433,-1773
20201020,11825,11995,11820,11995,1923,0
20201019,11925,11960,11870,11870,50,0
20201016,11885,11885,11730,11815,40,0
20201015,11995,11995,11855,11915,133,0
20201014,12085,12115,11950,12010,142,-3
