date,open,high,low,close,volume,korcom
20201230,37350,37800,37150,37550,247385,26745
20201229,37650,37700,37100,37300,411524,-114665
20201228,37700,38300,37550,38250,617132,174178
20201224,37000,37500,37000,37500,244796,29604
20201223,37300,37550,36750,36800,341470,-93773
20201222,38000,38150,37200,37250,299262,-20922
20201221,38300,38350,37800,38200,273467,54268
20201218,38100,38450,37900,38050,326493,62454
20201217,38000,38500,37600,38050,357421,58624
20201216,37800,38150,37700,38000,277909,5298
20201215,37800,37900,37400,37550,294898,20570
20201214,38300,38300,37700,37950,370384,-11428
20201211,38250,38550,37900,38400,557747,34979
20201210,37500,37950,37200,37650,727626,-133754
20201209,37050,37850,36750,37700,524068,117657
20201208,36450,37050,36050,37050,368648,-47549
20201207,36750,36800,36100,36450,247976,-32481
20201204,36900,37100,36200,36450,389141,-36571
20201203,37350,37400,36550,36700,315861,-13372
20201202,36900,37150,36350,37050,402973,-14375
20201201,35500,36900,35450,36700,520788,151337
20201130,37550,37600,35050,35050,1359600,-72178
20201127,37450,37600,37100,37350,223342,-13750
20201126,37800,37850,37150,37650,249910,-48855
20201125,39050,39350,37400,37800,624455,-38760
20201124,37900,38800,37850,38200,531931,-8961
20201123,37350,37650,36850,37500,231961,5401
20201120,36900,37500,36400,37450,235232,43353
20201119,37100,37200,36300,36900,309796,-4138
20201118,37400,37550,37050,37400,210634,-29454
20201117,38750,39100,37400,37700,399679,-21709
20201116,36750,38100,36750,38050,441698,10401
20201113,37300,37500,36200,36500,419488,-50948
20201112,38100,38700,37500,37850,642123,-110067
20201111,37000,38900,36750,38500,1045977,214631
20201110,36300,37000,35600,36850,1208620,316023
20201109,33900,34700,33600,34500,295074,70335
20201106,33900,34200,33750,34000,182406,-8473
20201105,33800,34500,33600,34250,199751,-6047
20201104,34250,34500,33650,33800,267411,29331
20201103,33400,34450,33300,34250,371431,54734
20201102,33150,33400,33000,33150,137764,3088
20201030,33800,33800,33000,33000,276499,773
20201029,33800,34100,33300,33800,267095,26893
20201028,33550,34650,33050,34550,240708,70069
20201027,34600,34650,33550,33600,371362,-50103
20201026,35050,35550,34750,34850,329386,93473
20201023,35300,35300,34650,35200,176056,17727
20201022,34900,35500,34600,35250,249923,-4997
20201021,34300,35300,34150,35250,449279,117817
20201020,33900,34650,33650,34150,275551,43809
20201019,33550,34550,33400,34200,472887,206744
20201016,34250,34300,33050,33250,313777,49123
20201015,32750,34250,32650,34050,488796,85872
20201014,33600,33700,32800,32900,286009,18922
20201013,33250,33700,33050,33700,279549,17635
20201012,32200,33500,31950,33450,632054,64510
20201008,31850,32100,31650,31950,358684,-75871
20201007,31250,31850,31100,31750,273692,26988
20201006,31700,31850,31250,31500,213632,-22858
20201005,30950,31550,30600,31550,275274,20231
20200929,31300,31450,31000,31000,204381,2059
20200928,30850,31100,30650,30950,141303,-6496
20200925,30500,30700,30300,30550,147582,-22761
20200924,30800,31000,30300,30300,341586,-25841
20200923,32000,32000,31200,31250,373332,-60802
20200922,32550,32650,31900,32000,336048,-54692
20200921,32800,33050,32550,32700,243909,-7438
20200918,33000,33150,32800,32800,269846,-23619
20200917,33100,33300,32900,33000,349560,50801
20200916,33100,33300,32900,32900,315120,-29372
20200915,33450,33550,33000,33100,385323,-30201
20200914,33450,34450,33200,33650,406772,66674
20200911,32900,33350,32850,33350,189754,-22174
20200910,33300,33550,33000,33000,249415,-75692
20200909,33250,33250,32900,33150,292143,-83399
20200908,33500,34450,33400,33650,278772,6671
20200907,33350,33650,33050,33500,203592,-39815
20200904,32800,33650,32750,33450,350177,-102547
20200903,33500,34050,33150,33500,339095,-44683
20200902,32700,33650,32700,33650,264978,-2983
20200901,32550,32800,32400,32650,213176,-14419
20200831,33300,33600,32500,32500,414193,-32654
20200828,33000,33500,32850,33250,216242,-2424
20200827,33300,33350,32700,32850,291530,-73516
20200826,33250,33250,32600,33200,255479,-73232
20200825,32800,33250,32750,33200,411729,-150781
20200824,32650,32800,32250,32500,333247,-82523
20200821,33000,33400,32600,32900,393710,-151159
20200820,34450,34550,33000,33000,538532,-130938
20200819,34650,35000,34450,34850,291927,-82411
20200818,35950,35950,34500,34550,501111,-18327
20200814,36100,36100,35400,35950,372956,-59533
20200813,36450,36800,35850,35850,480465,-74735
20200812,35400,36450,35350,36150,568532,-50929
20200811,35000,35700,34950,35500,697120,-81799
20200810,35400,35450,34700,35000,552855,-184246
20200807,35300,36150,35100,35600,480115,-104187
20200806,35250,35950,35050,35300,450476,-163503
20200805,34850,35350,34550,35250,362971,-120537
20200804,34300,34800,34150,34800,219579,-61990
