date,open,high,low,close,volume,korcom
20201230,12350,12400,11950,12000,312089,658
20201229,12150,12400,11950,12300,368956,-13794
20201228,12000,12500,11850,12050,518259,66754
20201224,12050,12500,11700,11900,484975,18211
20201223,12800,13000,11900,12050,662363,13765
20201222,13050,13300,12550,12750,1153440,16510
20201221,12000,13750,11900,13100,3217423,41103
20201218,11800,12300,11300,12200,1140819,12289
20201217,11200,12550,11200,11950,2629302,37829
20201216,10150,11500,10100,11000,2634424,46863
20201215,10100,10100,9890,9950,184113,10172
20201214,10100,10400,9920,10100,394487,26004
20201211,9930,9970,9810,9880,188581,-62
20201210,9830,10150,9820,9960,256415,2181
20201209,9900,10050,9780,9910,207918,918
20201208,10300,10300,9800,9900,311969,-3015
20201207,10700,11100,10050,10150,959099,300
20201204,9700,10250,9650,10150,1019622,-4829
20201203,10050,10100,9680,9700,520820,0
20201202,10200,10300,10000,10150,428146,-11
20201201,10900,10950,10050,10150,906632,0
20201130,9620,11600,9620,10850,4746041,-395
20201127,9160,9610,9110,9400,783505,0
20201126,8870,9280,8870,9060,442108,0
20201125,8910,8940,8770,8870,92216,-2720
20201124,8880,8970,8820,8860,138034,-28483
20201123,8890,8970,8780,8880,126394,-40680
20201120,8860,9000,8820,8900,144309,-67325
20201119,8820,8850,8610,8830,159476,-55981
20201118,8670,8820,8650,8820,73644,152
20201117,8840,8890,8650,8710,157109,947
20201116,9000,9000,8810,8840,211730,8457
20201113,9000,9050,8750,9000,153941,-60487
20201112,8880,9230,8800,9060,322814,-64826
20201111,8880,8920,8730,8850,98697,-209
20201110,8900,8900,8720,8820,115891,-1589
20201109,8600,8930,8570,8900,244969,-3272
20201106,8590,8590,8480,8560,56060,-3850
20201105,8530,8600,8500,8600,75764,1645
20201104,8570,8620,8420,8530,62945,3934
20201103,8550,8670,8500,8530,69337,545
20201102,8360,8510,8360,8500,66255,712
20201030,8450,8510,8340,8340,76366,-4491
20201029,8450,8500,8360,8450,72847,962
20201028,8440,8650,8440,8540,70528,5239
20201027,8430,8590,8340,8500,99835,-2226
20201026,8490,8930,8380,8490,503442,698
20201023,8420,8540,8380,8490,80778,-2673
20201022,8480,8550,8390,8400,59576,-403
20201021,8400,8570,8370,8480,91456,3055
20201020,8500,8500,8270,8370,115672,148
20201019,8390,8660,8230,8460,244214,-322
20201016,8530,8590,8100,8200,147463,27
20201015,8160,9020,8160,8580,1051969,-275
20201014,8270,8270,8090,8120,43278,-729
20201013,8240,8310,8200,8240,54425,-586
20201012,8040,8280,8010,8220,83925,-1335
20201008,8100,8140,7970,8020,52710,529
20201007,7960,8130,7920,8110,41469,-213
20201006,8040,8120,7970,8020,36244,-2348
20201005,7900,8050,7800,8040,49640,2444
20200929,7790,7900,7700,7900,59970,-1068
20200928,7580,7830,7580,7790,33978,-399
20200925,7670,7820,7560,7640,42149,1240
20200924,7790,7790,7570,7620,106786,0
20200923,8010,8070,7760,7880,66128,-1119
20200922,8230,8240,7750,8000,133850,283
20200921,8370,8500,8130,8200,105800,-339
20200918,8510,8580,8330,8490,57488,-522
20200917,8620,8660,8330,8500,105181,-2675
20200916,8400,8760,8400,8570,197708,446
20200915,8440,8460,8300,8400,79032,-4139
20200914,8150,8490,8140,8460,167391,-1405
20200911,8310,8310,8090,8140,79179,-16092
20200910,8340,8540,8210,8210,182941,-1738
20200909,8050,8360,8040,8240,157476,1352
20200908,8310,8310,8100,8160,117689,2630
20200907,8200,8340,8170,8250,161685,2370
20200904,7860,8340,7820,8170,327511,-6218
20200903,8390,8410,8080,8170,199676,1733
20200902,8100,8380,7970,8160,465887,-227
20200901,7980,8080,7820,8070,123595,-1256
20200831,8100,8120,7800,7980,223953,-194
20200828,7510,8140,7470,8000,693162,-135
20200827,7500,7550,7290,7360,115057,-24620
20200826,7290,7550,7210,7500,162819,-5627
20200825,7260,7360,7250,7350,57379,1185
20200824,7270,7340,7120,7250,82704,891
20200821,7250,7370,7160,7350,57216,712
20200820,7670,7720,7190,7230,214442,-3777
20200819,7620,7750,7600,7670,80218,-981
20200818,7900,7950,7540,7600,327085,-23319
20200814,8710,8720,7920,7950,545289,4393
20200813,7830,8670,7830,8650,894625,45753
20200812,7880,7880,7660,7820,73010,-1874
20200811,7950,7950,7810,7840,90969,-123
20200810,7900,7930,7850,7890,68341,-13
20200807,7900,7930,7800,7900,72855,-4065
20200806,7740,7850,7720,7850,63142,542
20200805,7860,7870,7730,7770,60697,2044
20200804,7650,7920,7650,7800,173997,365
20200803,7680,7700,7620,7670,27936,-404
20200731,7700,7720,7610,7680,47624,-2609
20200730,7700,7730,7640,7710,52265,-2460
20200729,7630,7750,7590,7660,100634,-152
20200728,7650,7670,7490,7580,127465,2070
20200727,7590,7730,7580,7600,55594,-478
20200724,7560,7650,7520,7590,30384,-684
20200723,7680,7700,7550,7620,74384,-5519
20200722,7780,7780,7670,7710,33377,-1369
20200721,7700,7790,7660,7750,36060,-111
20200720,7750,7800,7600,7690,35441,-566
20200717,7770,7780,7670,7730,38429,-211
20200716,7700,7790,7690,7750,24463,-1116
20200715,7770,7830,7670,7730,63580,-487
20200714,7660,7750,7650,7690,26206,-123
20200713,7660,7780,7630,7660,52185,-1301
20200710,7790,7790,7610,7650,47997,-1138
20200709,7570,7820,7570,7800,100562,-114
20200708,7520,7700,7520,7640,68153,-527
20200707,7550,7600,7470,7600,81100,-385
20200706,7520,7560,7470,7550,31153,-553
20200703,7430,7500,7390,7500,23379,0
20200702,7440,7440,7310,7410,46546,-392
20200701,7390,7450,7350,7390,38365,-435
20200630,7350,7380,7260,7370,21709,-76
20200629,7320,7420,7240,7310,38934,-1109
20200626,7370,7480,7290,7380,36670,-232
20200625,7500,7510,7310,7370,82589,-521
20200624,7730,7730,7530,7550,85674,-215
20200623,7740,7830,7620,7690,54382,-34
20200622,7800,7890,7740,7760,118672,-24
20200619,7500,7860,7480,7720,240945,-582
20200618,7320,7410,7320,7400,36439,-164
20200617,7300,7440,7210,7330,37336,0
20200616,7360,7450,7250,7330,37101,-66
20200615,7470,7580,7100,7190,129331,-163
20200612,7200,7470,7120,7470,62210,-173
20200611,7690,7690,7490,7520,54296,-620
20200610,7760,7760,7670,7680,22978,-250
20200609,7840,7880,7700,7750,65603,-230
20200608,7820,7880,7780,7840,57673,-1069
20200605,7750,7840,7720,7820,41622,-903
20200604,7770,7840,7700,7750,43919,-891
20200603,7840,7860,7710,7760,80474,-47
20200602,7630,7780,7630,7760,79778,-183
20200601,7590,7730,7590,7660,74448,-440
20200529,7590,7590,7420,7530,87133,-95
20200528,7690,7740,7500,7580,60247,-71
20200527,7750,7800,7610,7660,61628,0
20200526,7630,7770,7600,7690,95836,-351
20200525,7620,7630,7520,7580,76247,0
20200522,7870,7890,7470,7580,223809,-161
20200521,7950,7970,7800,7870,61919,-12
20200520,8010,8010,7860,7910,67337,-52
20200519,7950,8030,7790,7920,105731,-35
20200518,8280,8280,7780,7880,236802,-30391
20200515,7920,8320,7900,8200,268966,-14189
20200514,7850,7990,7850,7910,56347,-16847
20200513,7900,7980,7830,7940,27142,-843
20200512,8140,8140,7800,7980,76033,-9688
20200511,8200,8230,8000,8110,82677,183
20200508,8130,8240,8060,8180,76430,-87
20200507,8100,8120,7960,8120,70301,2102
20200506,8130,8140,7960,8100,70660,7622
20200504,8020,8170,7890,8060,108530,-118
20200429,7760,8050,7710,8010,179952,4617
20200428,7650,7770,7620,7710,63620,-122
20200427,7490,7670,7440,7640,94968,-78
20200424,7580,7590,7400,7480,77441,49
20200423,7400,7620,7400,7580,97071,523
20200422,7350,7400,7100,7400,67553,4804
20200421,7610,7610,7000,7400,125091,-77
20200420,7620,7740,7540,7660,69107,-233
20200417,7750,7800,7640,7690,65991,0
20200416,7550,7770,7300,7690,76320,13899
20200414,7490,7650,7490,7550,100632,124
20200413,7730,7780,7420,7470,90606,5209
20200410,7450,7730,7340,7730,192206,36607
20200409,7500,7550,7340,7440,94921,-40
20200408,7300,7570,7170,7450,174012,-2314
20200407,7340,7400,7100,7250,87315,-346
20200406,6990,7270,6980,7230,90144,-551
20200403,6990,6990,6810,6920,59405,-72
20200402,6840,6890,6600,6850,62368,0
20200401,6810,7070,6750,6870,89048,0
20200331,7000,7100,6700,6910,110742,0
20200330,6450,6780,6350,6650,67128,0
20200327,6860,6870,6490,6600,88567,-3097
20200326,6240,6680,6100,6680,120587,-166
20200325,6120,6290,6120,6230,130433,539
20200324,5850,6000,5610,6000,125733,-364
20200323,5600,5600,5250,5510,144384,-990
20200320,5380,5850,5380,5770,160426,-330
20200319,5910,6050,5270,5330,171190,-2427
20200318,6080,6250,5870,5870,127650,-3009
20200317,5700,6210,5360,6060,209208,-604
20200316,6320,6650,5980,5980,128415,-1199
20200313,6000,6500,5780,6350,208156,-232
20200312,7380,7380,6640,6800,351599,-1671
20200311,7930,7930,7270,7440,244140,-1309
20200310,7690,7840,7590,7840,197686,-580
20200309,8330,8500,7820,7850,301127,-2618
20200306,8400,8540,8230,8480,196360,-87
20200305,8330,8590,8250,8450,288833,-1782
20200304,7890,8360,7850,8230,314419,-258
20200303,7900,8000,7780,7890,131596,1264
20200302,7730,7850,7590,7710,158775,-7
