date,open,high,low,close,volume,korcom
20101201,6250,6260,6010,6150,89231,-7100
20101202,6170,6170,6090,6130,43320,-3400
20101203,6140,6170,5990,6120,80900,-19000
20101206,6120,6170,6000,6150,22502,0
20101207,6100,6150,6050,6100,39874,9490
20101208,6140,6140,6000,6050,75043,-24071
20101209,6010,6050,5970,6050,68272,-36970
20101210,6050,6060,5880,5920,73610,-30000
20101213,5990,5990,5830,5860,53398,-25000
20101214,5830,5930,5760,5840,89636,-37660
20101215,5810,5930,5810,5840,91210,-60000
20101216,5930,5940,5790,5800,78674,-54374
20101217,5800,5800,5750,5800,87490,-42860
20101220,5730,5780,5630,5750,54263,-140
20101221,5800,5920,5800,5850,95955,-71004
20101222,5820,6060,5820,6020,39351,-9240
20101223,6010,6110,5920,6000,26681,0
20101224,5950,6020,5920,5940,32421,0
20101227,5920,6080,5910,6080,46680,0
20101228,6080,6160,6020,6140,26864,-2
20101229,6070,6080,5890,5940,28390,0
20101230,6050,6050,5800,5950,24420,0
20110103,5870,5910,5700,5780,44564,0
20110104,5740,5830,5730,5830,48150,9990
20110105,5900,6000,5810,5990,62739,5510
20110106,6000,6200,6000,6110,58270,0
20110107,6050,6270,6040,6150,46081,0
20110110,6250,6270,6100,6130,42645,-209
20110111,6110,6220,6050,6120,17309,-10
20110112,6120,6140,5990,6000,33147,5000
20110113,6090,6110,5970,6020,23910,0
20110114,6000,6050,5910,6000,53048,-135
20110117,6000,6140,6000,6120,21350,-564
20110118,6170,6170,5930,6030,49230,0
20110119,6000,6000,5850,5930,39195,8970
20110120,5920,5920,5830,5890,14119,-5328
20110121,5950,5990,5800,5890,20132,0
20110124,5830,5890,5780,5840,11562,0
20110125,5800,5920,5750,5900,54964,19452
20110126,5900,5930,5830,5900,23900,-240
20110127,5930,6050,5880,6000,31014,1019
20110128,5940,6040,5940,6000,59302,5797
20110131,6000,6030,5850,6000,67450,6130
20110201,6050,6050,5990,6030,49329,-13706
20110207,5960,6100,5960,6030,27494,258
20110208,6030,6100,6010,6070,36380,-9060
20110209,6050,6100,5970,5970,53265,-9976
20110210,6000,6300,5970,6160,36082,0
20110211,6200,6250,6020,6250,50900,8130
20110214,6220,6310,6000,6040,41250,5350
20110215,6130,6130,5990,5990,12596,5000
20110216,6030,6150,5980,6130,52400,14960
20110217,6180,6240,6070,6100,33160,1000
20110218,6040,6260,6040,6220,39157,-270
20110221,6330,6330,6090,6100,36395,0
20110222,6100,6100,5820,5930,58890,5000
20110223,5760,5990,5760,5870,25149,1000
20110224,5800,5900,5590,5670,34352,0
20110225,5700,5800,5650,5800,30581,0
20110228,5700,5780,5600,5630,27370,0
20110302,5560,5620,5220,5430,72397,8322
20110303,5430,5600,5430,5580,35791,1010
20110304,5650,6080,5600,6080,77190,-6
20110307,6000,6080,5950,6050,9050,0
20110308,6050,6070,5950,6040,30750,-7420
20110309,6060,6060,5950,6020,10220,0
20110310,6070,6150,6000,6140,42568,5240
20110311,6060,6150,6040,6070,21047,3800
20110314,6030,6080,5850,5900,20615,5650
20110315,5900,5990,5550,5970,91141,14740
20110316,5850,6000,5850,5970,24570,1560
20110317,5970,5970,5840,5950,43311,9449
20110318,5900,6090,5900,6000,9751,-142
20110321,6000,6490,6000,6430,46150,0
20110322,6430,6490,6220,6390,24085,-30
20110323,6280,6400,6230,6370,35510,-140
20110324,6300,6450,6270,6390,28940,-2790
20110325,6400,6470,6290,6340,19613,-10
20110328,6290,6350,6280,6330,8214,0
20110329,6300,6430,6270,6330,12774,0
20110330,6330,6450,6330,6390,18192,-10
20110331,6480,6490,6300,6400,17751,-290
20110401,6410,6460,6230,6360,29693,0
20110404,6360,6360,6060,6220,25883,-370
20110405,6210,6210,6100,6200,12741,-140
20110406,6180,6200,6060,6140,30180,6000
20110407,6120,6150,6030,6150,64381,5000
20110408,6200,6200,5980,6120,64826,-720
20110411,6120,6120,5960,6020,67492,3880
20110412,6090,6150,6050,6060,17550,0
20110413,6010,6080,6000,6080,9580,-10
20110414,6100,6100,5970,6000,21398,0
