date,open,high,low,close,volume,korcom
20201230,5590,5640,5540,5640,513793,-1308
20201229,5650,5680,5570,5630,625995,143433
20201228,5900,5930,5840,5890,1079106,-397233
20201224,5940,5980,5810,5870,748140,-405436
20201223,5900,5930,5830,5920,381719,-59652
20201222,5920,5980,5910,5910,305916,-46442
20201221,5870,5930,5810,5900,400158,-172115
20201218,5940,5960,5860,5860,471309,-58487
20201217,6220,6220,5920,5920,707647,-93890
20201216,6030,6250,6030,6250,1413387,-150473
20201215,5900,6070,5900,6070,1434592,43765
20201214,5860,5960,5850,5900,1162890,-138762
20201211,5740,5900,5730,5860,885832,-60296
20201210,5650,5770,5560,5700,916329,-49712
20201209,5540,5670,5510,5650,560532,-140139
20201208,5560,5560,5470,5510,393752,-73770
20201207,5600,5600,5490,5540,563392,-175966
20201204,5650,5650,5550,5580,576887,-164961
20201203,5660,5680,5560,5620,510669,-295270
20201202,5680,5680,5550,5640,622784,-285050
20201201,5520,5680,5520,5630,516278,-153246
20201130,5700,5730,5470,5470,838265,-46285
20201127,5780,5790,5650,5680,344557,-100899
20201126,5760,5820,5710,5770,427602,-116513
20201125,5950,5960,5720,5800,614402,-163605
20201124,5850,5860,5810,5860,578239,-67326
20201123,5740,5850,5740,5840,531861,-22684
20201120,5810,5840,5740,5740,586188,-129707
20201119,5860,5890,5730,5800,445681,-15767
20201118,6020,6040,5800,5860,659865,59903
20201117,6090,6100,5920,6010,499214,94202
20201116,5910,6080,5900,6060,692100,263341
20201113,5920,6020,5860,5960,578168,59782
20201112,5860,6000,5800,5940,924614,240700
20201111,5590,5980,5590,5880,1271307,548387
20201110,5510,5600,5470,5580,1030743,319745
20201109,5480,5480,5410,5420,270226,-19139
20201106,5460,5480,5410,5450,273247,1026
20201105,5390,5470,5360,5470,531576,-48332
20201104,5450,5480,5320,5350,622628,9424
20201103,5330,5450,5330,5390,744626,178055
20201102,5100,5350,5100,5320,751655,149021
20201030,5130,5200,5090,5100,688298,146252
20201029,5090,5130,5060,5130,653013,54125
20201028,5000,5090,4990,5070,363138,-17052
20201027,5040,5040,4940,5010,569897,199790
20201026,5160,5160,5020,5050,483984,164240
20201023,5070,5170,5000,5130,824359,316335
20201022,4910,5080,4890,5020,1582662,201461
20201021,4860,4940,4815,4915,385819,87101
20201020,4810,4835,4770,4835,337946,43227
