,Unnamed: 0,name,code,class,market_cap,reg_day,per
128,128,현대모비스,A012330,kospi,281535,1989-09-05,18.47
108,108,한온시스템,A018880,kospi,96084,1996-07-31,86.96
129,129,현대위아,A011210,kospi,21702,2011-02-21,35.59
45,45,한국앤컴퍼니,A000240,kospi,16697,1968-12-27,9.85
12,12,에스엘,A005850,kospi,11593,1988-11-08,17.66
