,Unnamed: 0,name,code,class,market_cap,reg_day,per
37,37,삼성전자,A005930,kospi,5062376,1975-06-11,22.08
76,76,SK하이닉스,A000660,kospi,1026483,1996-12-26,21.59
54,54,삼성전자우,A005935,kospi,613051,1975-06-11,19.40
92,92,DB하이텍,A000990,kospi,25529,1975-12-12,15.42
48,48,한미반도체,A042700,kospi,13107,2005-07-22,27.46
