date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120,ma5,ma10,ma20,ma60,ma120
20101201,14750,14950,14500,14900,4852,0,,,,,,,,,,
20101202,14900,16100,14800,15950,16728,0,,,,,,,,,,
20101203,15700,16500,15200,16450,32035,0,,,,,,,,,,
20101206,16500,16550,15750,16150,8850,0,,,,,,,,,,
20101207,16200,16400,15600,16400,9412,0,564.4466316668036,,,,,15970.0,,,,
20101208,16300,16350,15950,16250,3600,0,180.0000000000001,,,,,16240.0,,,,
20101209,16400,16400,15800,15900,3514,0,196.46882704388509,,,,,16230.0,,,,
20101210,16200,16300,15800,16300,3390,70,170.29386365926416,,,,,16200.0,,,,
20101213,16150,16350,15900,16300,3711,0,172.04650534085266,,,,,16230.0,,,,
20101214,16300,16300,16050,16100,2078,0,153.6229149573723,425.55845661906426,,,,16170.0,16070.0,,,
20101215,15850,16200,15750,16050,3662,0,153.6229149573723,176.13914953808538,,,,16130.0,16185.0,,,
20101216,15850,16100,15700,16000,6650,0,126.49110640673537,170.0,,,,16150.0,16190.0,,,
20101217,15850,16050,15850,16000,3190,0,111.35528725660065,154.02921800749363,,,,16090.0,16145.0,,,
20101220,15850,16100,15600,16100,1370,0,44.72135954999632,154.5962483374031,,,,16050.0,16140.0,,,
20101221,16000,16000,15750,15900,2400,0,66.33249580710834,142.828568570857,,,,16010.0,16090.0,,,
20101222,16100,16100,15700,15950,2020,0,66.33249580710834,137.4772708486752,,,,15990.0,16060.0,,,
20101223,16050,16050,15700,15950,2905,0,67.82329983125302,132.38202294873727,,,,15980.0,16065.0,,,
20101224,15800,15900,15750,15900,1920,0,73.48469228349566,114.56439237389601,,,,15960.0,16025.0,,,
20101227,15650,15900,15500,15700,4480,-10,92.7361849549573,111.91514642799696,,,,15880.0,15965.0,,,
20101228,15700,15750,15400,15550,4530,0,159.37377450509243,157.797338380595,330.7567081708245,,,15810.0,15910.0,15990.0,,
20101229,15550,15800,15350,15550,1520,0,169.11534525287774,182.75666882497063,242.1130934088447,,,15730.0,15860.0,16022.5,,
20101230,15650,15650,15350,15550,1870,0,137.8404875209024,197.54746265138408,262.9044503236869,,,15650.0,15815.0,16002.5,,
20110103,15600,15600,14500,14500,23880,0,438.86216514983386,431.30615576409286,403.0818775385467,,,15370.0,15665.0,15905.0,,
20110104,14450,14750,14100,14150,25531,0,610.2458520956943,598.8321968631948,550.885650566431,,,15060.0,15470.0,15805.0,,
20110105,14100,14450,13350,13800,25540,0,720.69410986909,758.2216034906944,685.4742883580683,,,14710.0,15260.0,15675.0,,
20110106,13850,14100,13800,13900,6750,0,632.9296959378663,818.6727062752244,772.7022388993058,,,14380.0,15055.0,15557.5,,
20110107,13950,14250,13750,13950,4180,0,247.7902338672773,819.8932857390649,843.1488599292535,,,14060.0,14855.0,15460.0,,
20110110,13800,14000,13400,13450,14705,0,230.2172886644268,836.8990381163071,925.9150878995332,,,13850.0,14610.0,15317.5,,
20110111,13350,13600,13050,13100,9750,0,321.55870381627057,861.3942186943211,1014.5534732087808,,,13640.0,14350.0,15157.5,,
20110112,13150,13450,13150,13250,6100,0,341.46742157927747,816.1494961096283,1070.7590765433654,,,13530.0,14120.0,15015.0,,
