date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,1760,1860,1740,1810,528605,0,,,,,
20201229,1740,1770,1740,1760,122172,0,,,,,
20201228,1775,1805,1720,1730,236199,0,,,,,
20201224,1755,1790,1740,1775,146888,0,,,,,
20201223,1755,1775,1705,1760,244996,0,25.999999999999996,,,,
20201222,1820,1855,1740,1755,392739,0,14.628738838327791,,,,
20201221,1855,1855,1800,1815,388951,0,28.03569153775237,,,,
20201218,1840,1875,1835,1855,196073,0,37.89459064299283,,,,
20201217,1860,1890,1820,1845,268644,0,41.7612260356422,,,,
20201216,1830,1875,1820,1865,255271,0,39.698866482558415,45.011109739707614,,,
20201215,1870,1880,1810,1825,280718,0,18.547236990991408,45.66453766326778,,,
20201214,1865,1895,1840,1870,250668,0,16.0,48.241579576129155,,,
20201211,1900,1920,1865,1865,289060,0,16.852299546352718,42.67317658670376,,,
20201210,1865,1950,1865,1880,645552,0,18.81488772222678,42.488233665333766,,,
20201209,1825,1925,1820,1900,440719,0,24.61706725018234,38.874799034850355,,,
20201208,1855,1875,1810,1825,343418,-2101,24.61706725018234,25.636887486588574,,,
20201207,1905,1920,1850,1875,510765,0,24.779023386727733,22.522211259110456,,,
20201204,1925,1975,1885,1925,1476171,-24061,33.075670817082454,29.516944286290915,,,
20201203,1795,1955,1765,1930,2597547,0,38.39270764090493,33.74907406137244,,,
20201202,1780,1795,1740,1795,250750,0,53.47896782848375,41.641325627314046,56.35601121442156,,
20201201,1785,1795,1740,1780,272846,0,63.198101237299845,48.08586070769662,57.33890476805438,,
20201130,1765,1805,1760,1775,269425,0,70.95068710026705,54.95452665613636,56.49059656261393,,
20201127,1750,1775,1735,1775,188423,0,59.94997914928745,59.7411081249754,53.17189107037673,,
20201126,1740,1755,1710,1750,271345,0,14.491376746189438,64.85368146836386,54.82415070021613,,
20201125,1790,1800,1705,1740,470956,0,15.937377450509228,66.07571414672718,56.313297719100134,,
20201124,1765,1790,1755,1780,287103,0,15.937377450509228,66.90478308760893,54.8429576153585,,
20201123,1790,1805,1730,1765,466617,0,15.033296378372908,64.73214039408863,56.73623181001721,,
20201120,1875,1875,1780,1790,632255,0,18.439088914585774,49.9599839871872,57.128692440839295,,
20201119,1790,1845,1745,1845,767321,0,34.84250278036869,27.060118255469643,57.128692440839295,,
20201118,1780,1820,1760,1790,416254,0,27.09243436828813,26.81417535558387,57.02192560761175,,
20201117,1800,1815,1745,1780,773037,0,27.09243436828813,26.81417535558387,57.82030352739432,,
20201116,1780,1870,1745,1825,2340882,0,24.779023386727733,30.06659275674584,56.764865894318895,,
20201113,1695,1835,1695,1795,4723229,-10678,24.20743687382041,30.06659275674584,56.004464107783484,,
20201112,1615,1875,1610,1690,10619369,8740,45.5411901469428,40.74309757492674,60.29303442355517,,
20201111,1635,1650,1600,1615,258456,0,77.42092740338364,63.76715455467651,69.48875808359226,,
20201110,1645,1680,1600,1635,310997,0,84.23775875461075,74.80641683706018,76.94925275790538,,
20201109,1555,1645,1555,1645,580395,2572,64.37390775772433,81.2649986156402,79.44927627109016,,
20201106,1565,1565,1535,1555,133711,0,44.0,96.28733042306241,84.41674893052924,,
20201105,1570,1605,1555,1565,137741,0,36.55133376499413,95.85014345320513,83.57481678113335,,
20201104,1560,1580,1545,1570,104030,12031,38.0,95.50523545858626,89.60015345969006,,
20201103,1545,1600,1535,1545,288490,12030,35.552777669262355,93.82963284591922,96.52849320278447,,
20201102,1505,1535,1490,1530,134632,0,14.352700094407323,77.18322356574647,103.02032566440474,,
20201030,1520,1530,1470,1510,97944,0,22.22611077089287,54.58021619598077,109.27717053438019,,
20201029,1500,1520,1475,1515,187233,3333,21.77154105707724,45.7739008606433,114.28336493120952,,
