date,open,high,low,close,volume,korcom,standard deviation5,standard deviation10,standard deviation20,standard deviation60,standard deviation120
20201230,14305,14355,14285,14355,30,10,,,,,
20201229,14150,14150,14100,14100,14,-14,,,,,
20201228,14150,14150,14150,14150,10,-10,,,,,
20201224,14145,14145,14145,14145,0,0,,,,,
20201223,13855,14185,13855,14185,28,24,88.23831367382306,,,,
20201222,13840,13840,13780,13780,66,64,148.4789547377001,,,,
20201221,13805,13895,13805,13895,21,-19,162.70832799829267,,,,
20201218,14135,14135,14120,14125,16,-10,159.32357013323542,,,,
20201217,14200,14200,14200,14200,1,-1,168.77796064652514,,,,
20201216,14375,14375,14290,14290,11,-11,190.96072894707956,162.13034879380226,,,
20201215,14270,14270,14185,14185,201,-201,132.94359706281455,144.8525111967341,,,
20201214,14010,14235,14010,14080,4283,-2,71.37226352022184,145.0525766748043,,,
20201211,14160,14160,14160,14160,10,10,67.64613810115097,145.40374823229274,,,
20201210,14075,14220,14050,14085,1425,638,76.8765243751302,144.84560745842444,,,
20201209,14065,14320,14065,14320,165,-39,87.25823743349386,157.97468151574157,,,
20201208,14010,14010,13815,13950,19,-3,121.09500402576478,127.54999019992113,,,
20201207,14010,14010,13925,13925,20,-20,144.658217879248,122.25383429569797,,,
20201204,14300,14370,14085,14170,202,-119,145.7051817884319,122.74058008662,,,
20201203,13880,14160,13880,14160,148,32,148.2565344259739,121.248711333358,,,
20201202,13525,13585,13525,13545,43,-21,226.7818334876054,202.94334184693022,186.48374594049756,,
20201201,13400,13580,13400,13580,22,8,270.8025110666443,242.40719873799122,206.85200023205005,,
20201130,13440,13470,13405,13405,53,13,326.19932556643954,297.70791054320335,249.7212195629359,,
20201127,13180,13375,13180,13375,28,-4,284.54525123431597,328.6034844611359,283.8371011689628,,
20201126,13285,13285,13155,13240,765,312,122.8576411950026,364.3912732215194,323.03821368376845,,
20201125,13625,13630,13295,13295,90,-18,116.16367762773353,337.59776361818507,345.7284881232671,,
20201124,13520,13560,13415,13560,354,86,109.31605554537722,324.6417255991595,352.43252900377973,,
20201123,13430,13525,13430,13525,357,-357,125.27569596693526,309.56784393731846,360.6309574897863,,
20201120,13245,13300,13245,13300,11,-11,131.5826736314474,249.49999999999994,374.7248990926544,,
20201119,13095,13495,13095,13310,6546,244,118.6001686339442,121.73844914405628,379.4746368336098,,
20201118,12900,12900,12850,12850,11,-11,253.14817795117546,200.03499693803576,409.93780015997555,,
20201117,12785,12965,12785,12830,118,64,275.78252301405905,235.02978534645342,435.52059365775125,,
20201116,12905,12905,12880,12880,1034,970,221.86482371029436,256.4473630201722,452.181586865277,,
20201113,12790,12880,12790,12795,20018,-20018,190.51509126575775,278.666915869107,461.389206635786,,
20201112,12730,12760,12730,12760,36,36,41.90465367951393,300.94393165505096,468.4252208197164,,
20201111,12395,12810,12395,12765,33,-11,44.654227123532216,310.30831442293,444.12160496872934,,
20201110,12125,12310,12125,12255,1967,1963,222.20261024569447,344.10899436079836,483.6085064388343,,
20201109,12100,12170,12075,12105,10,-8,294.76092006912995,360.6313907579316,522.6315025904964,,
20201106,11985,11985,11985,11985,30,-30,328.54832216890105,387.60837194260904,533.6211202716775,,
20201105,11995,12050,11990,12050,53,-53,281.02668912400475,357.3321284183665,517.2061967919565,,
20201104,11850,11890,11830,11890,13,11,122.1720098876989,385.6296798743582,550.0238063029636,,
20201103,11845,11845,11695,11695,31,-31,144.04860290887933,417.36195322525504,583.7938420367245,,
20201102,11725,11775,11725,11775,11,-11,130.59096446538712,399.85153494766024,606.0886898796249,,
20201030,11900,11900,11710,11710,83,57,132.2648857406984,371.9462326734873,623.4057166083738,,
20201029,12035,12105,11970,12060,1257,-229,135.6981945347837,299.83995731056257,618.5840181414325,,
20201028,12165,12375,12120,12375,282,250,261.66008484291217,214.90695661146006,596.7639294561964,,
20201027,12160,12375,12160,12215,20805,-175,253.58627723124135,210.2593636440479,550.1638392333688,,
